Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Слесарь аварийно-восстановительных работ,"Нефть, газ, добыча ресурсов",от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Темир-Газ""",Вакансия опубликована 18.01.2023,Адреса нет,полный день,Проектная работа,Осмотр подземных газопроводов и сооружений на них;,https://enbek.kz/ru/vacancy/slesar-avariino-vosstanovitelnykh-rabot~2859878,Первое рабочее место,
Сборщик (общий профиль),Производство,от 103 500 тенге,ИП Бейсен Маратбек,Вакансия опубликована 18.01.2023,Адреса нет,полный день,Проектная работа,Сборка пространственных каркасов;,https://enbek.kz/ru/vacancy/sborshchik-(obshchii-profil)~2851994,Первое рабочее место,Сервисное обслуживание/производство
Бухгалтер,Финансы и бухучет,от 103 500 тенге,LIDER,Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/bukhgalter~2855257,Молодежная практика,Финансы
Учитель математики (алгебра и геометрия),Образование и воспитание,от 103 500 тенге,LIDER,Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,Планирование учебного занятия;,https://enbek.kz/ru/vacancy/uchitel-matematiki-(algebra-i-geometriya)~2855256,Молодежная практика,
Учитель иностранного языка,Образование и воспитание,от 103 500 тенге,LIDER,Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,Преподавание предметов на английском языке;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka~2855258,Молодежная практика,
Логопед-дефектолог,Образование и воспитание,от 103 500 тенге,LIDER,Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,Ведение и составление документов;,https://enbek.kz/ru/vacancy/logoped-defektolog~2855259,Молодежная практика,
Учитель начальных классов,Образование и воспитание,от 103 500 тенге,LIDER,Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,Организация учебно-воспитательного процесса;,https://enbek.kz/ru/vacancy/uchitel-nachalnykh-klassov~2857620,Первое рабочее место,
Учитель казахского языка и литературы,Образование и воспитание,от 103 500 тенге,LIDER,Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,Преподавание предметов на казахском языке;,https://enbek.kz/ru/vacancy/uchitel-kazakhskogo-yazyka-i-literatury~2857621,Первое рабочее место,
Учитель иностранного языка,Образование и воспитание,от 103 500 тенге,LIDER,Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,Преподавание предметов на английском языке;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka~2857622,Первое рабочее место,
"Судебный исполнитель, частный",Юриспруденция,от 103 500 тенге,Частный судебный исполнитель Грибенюк Татьяна Клавдиевна,Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,"Умение работать с информацией и готовить доклады, справки и т.д.;","https://enbek.kz/ru/vacancy/sudebnyi-ispolnitel,-chastnyi~2856834",Молодежная практика,Юриспруденция
