Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Помощник юриста,Юриспруденция,от 91 890 тенге,"Республиканское государственное учреждение ""Департамент Судебной администрации Республики Казахстан по Костанайской области""",Вакансия опубликована 22.09.2022,Адреса нет,полный день,Проектная работа,Проверка соответствия законодательству документов;,https://enbek.kz/ru/vacancy/pomoshchnik-yurista~2627119,Молодежная практика,Юриспруденция
Учитель начальных классов,Образование и воспитание,от 91 890 тенге,"Частное учреждение ""Үндестік""",Вакансия опубликована 09.09.2022,Адреса нет,полный день,Проектная работа,Организация учебно-воспитательного процесса;,https://enbek.kz/ru/vacancy/uchitel-nachalnykh-klassov~2597763,Молодежная практика,
Бухгалтер,Финансы и бухучет,от 91 890 тенге,"Государственное учреждение ""Отдел занятости и социальных программ акимата города Костаная""",Вакансия опубликована 02.09.2022,Адреса нет,полный день,Проектная работа,Организация бухгалтерского учета и финансово-хозяйственной деятельности;,https://enbek.kz/ru/vacancy/bukhgalter~2578390,Молодежная практика,Финансы
Юрисконсульт,Юриспруденция,от 91 890 тенге,"Государственное учреждение ""Отдел занятости и социальных программ акимата города Костаная""",Вакансия опубликована 02.09.2022,Адреса нет,полный день,Проектная работа,Ведение документации;,https://enbek.kz/ru/vacancy/yuriskonsult~2578391,Молодежная практика,Юриспруденция
Учитель начальных классов,Образование и воспитание,от 91 890 тенге,"Государственное учреждение ""Аппарат акима Костанайской области""",Вакансия опубликована 01.09.2022,Адреса нет,полный день,Проектная работа,Организация учебно-воспитательного процесса;,https://enbek.kz/ru/vacancy/uchitel-nachalnykh-klassov~2574675,Молодежная практика,
Техник по обслуживанию компьютерных сетей и систем,IT и телекоммуникации,от 91 890 тенге,"Товарищество с ограниченной ответственностью ""КаmLitKZ""",Вакансия опубликована 27.08.2022,Адреса нет,полный день,Проектная работа,Подключение и первичная настройка активных сетевых устройств;,https://enbek.kz/ru/vacancy/tekhnik-po-obsluzhivaniyu-kompyuternykh-setei-i-sistem~2554837,Первое рабочее место,IT
Техник-электрик,Энергетика,от 91 890 тенге,"Товарищество с ограниченной ответственностью ""КаmLitKZ""",Вакансия опубликована 27.08.2022,Адреса нет,полный день,Проектная работа,"ТО устройств и систем сигнализации, централизации и блокировки;",https://enbek.kz/ru/vacancy/tekhnik-elektrik~2554838,Первое рабочее место,Сервисное обслуживание/производство
Юридический секретарь,Юриспруденция,от 91 890 тенге,"Товарищество с ограниченной ответственностью ""КаmLitKZ""",Вакансия опубликована 27.08.2022,Адреса нет,полный день,Проектная работа,Разработка документов;,https://enbek.kz/ru/vacancy/yuridicheskii-sekretar~2554839,Первое рабочее место,Юриспруденция
Бухгалтер-кассир,Финансы и бухучет,от 91 890 тенге,"Товарищество с ограниченной ответственностью ""КаmLitKZ""",Вакансия опубликована 27.08.2022,Адреса нет,полный день,Проектная работа,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/bukhgalter-kassir~2554840,Первое рабочее место,Финансы
Наладчик технологического оборудования,Производство,от 91 890 тенге,"Товарищество с ограниченной ответственностью ""КаmLitKZ""",Вакансия опубликована 27.08.2022,Адреса нет,полный день,Проектная работа,"ТО сложных узлов и механизмов машин и аппаратов, агрегатов, технологических трубопроводов;",https://enbek.kz/ru/vacancy/naladchik-tekhnologicheskogo-oborudovaniya~2554841,Первое рабочее место,Сервисное обслуживание/производство
Плавильщик металла и сплавов,Производство,от 91 890 тенге,"Товарищество с ограниченной ответственностью ""КаmLitKZ""",Вакансия опубликована 27.08.2022,Адреса нет,полный день,Проектная работа,Заполнение форм расплавленным сплавом;,https://enbek.kz/ru/vacancy/plavilshchik-metalla-i-splavov~2554843,Первое рабочее место,Сервисное обслуживание/производство
Бухгалтер,Финансы и бухучет,от 91 890 тенге,"Товарищество с ограниченной ответственностью ""СарыаркаАвтоПром""",Вакансия опубликована 09.08.2022,Адреса нет,полный день,Проектная работа,"Ведение кассовых, организационно-распорядительных, отчетных документов;",https://enbek.kz/ru/vacancy/bukhgalter~2505016,Молодежная практика,Финансы
Методист по спорту,Культура и спорт,от 91 890 тенге,"Государственное учреждение ""Отдел культуры и развития языков акимата города Костаная""",Вакансия опубликована 08.08.2022,Адреса нет,полный день,Проектная работа,Разработка и проведение оздоровительных мероприятий;,https://enbek.kz/ru/vacancy/metodist-po-sportu~2512120,Молодежная практика,
Бухгалтер,Финансы и бухучет,от 95 400 тенге,"Государственное учреждение ""Отдел внутренней политики акимата города Костаная""",Вакансия опубликована 27.07.2022,Адреса нет,полный день,Проектная работа,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/bukhgalter~2477312,Первое рабочее место,Финансы
Юрисконсульт,Юриспруденция,от 91 890 тенге,"Товарищество с ограниченной ответственностью ""Мугадаров и партнеры""",Вакансия опубликована 26.07.2022,Адреса нет,полный день,Проектная работа,Обслуживание физических и юридических лиц;,https://enbek.kz/ru/vacancy/yuriskonsult~2483431,Молодежная практика,Юриспруденция
Программист приложений,IT и телекоммуникации,от 91 890 тенге,"Товарищество с ограниченной ответственностью ""СарыаркаАвтоПром""",Вакансия опубликована 25.07.2022,Адреса нет,полный день,Проектная работа,Компиляция приложений реального времени;,https://enbek.kz/ru/vacancy/programmist-prilozhenii~2480234,Первое рабочее место,IT
Помощник юриста,Юриспруденция,от 91 890 тенге,"Государственное учреждение ""Отдел земельных отношений акимата города Костаная""",Вакансия опубликована 21.07.2022,Адреса нет,полный день,Проектная работа,Представительство в суде по гражданским делам предприятия;,https://enbek.kz/ru/vacancy/pomoshchnik-yurista~2465810,Первое рабочее место,Юриспруденция
Техник по кадастру и землеустройству,Строительство и архитектура,от 91 890 тенге,"Государственное учреждение ""Отдел земельных отношений акимата города Костаная""",Вакансия опубликована 18.07.2022,Адреса нет,полный день,Проектная работа,Мониторинг и оценка состояния орошаемых земель;,https://enbek.kz/ru/vacancy/tekhnik-po-kadastru-i-zemleustroistvu~2465809,Первое рабочее место,Строительство и архитектура
Бухгалтер,Финансы и бухучет,от 91 890 тенге,"КХ ""Ахметов М.Е.""",Вакансия опубликована 14.07.2022,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~2461944,Молодежная практика,Финансы
Экономист,Финансы и бухучет,от 91 890 тенге,"Государственное учреждение ""Ревизионная комиссия по Костанайской области""",Вакансия опубликована 13.07.2022,Адреса нет,полный день,Проектная работа,Анализ степени риска;,https://enbek.kz/ru/vacancy/ekonomist~2457223,Первое рабочее место,Финансы
