Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,Яндекс Крауд,Вакансия опубликована 11 мая 2023 в Таразе,Алматы,удаленная работа,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80298741,,
Медицинский представитель,65,от 180 000 до 500 000 KZT на руки,ТОО Новатор Фарма,Вакансия опубликована 17 мая 2023 в Таразе,Алматы,полный день,Полная занятость,Навыки продаж;Коммуникативные навыки;Навыки презентации;Работа в команде;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/80547654,,Медицина
Медицинский представитель,65,от 180 000 до 500 000 KZT на руки,ТОО Новатор Фарма,Вакансия опубликована 9 мая 2023 в Таразе,Алматы,полный день,Полная занятость,Навыки продаж;Коммуникативные навыки;Навыки презентации;Работа в команде;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/80201401,,Медицина
Ученик ревизора,18,от 65 000 KZT на руки,ИП Электрострой 2007,Вакансия опубликована 26 мая 2023 в Таразе,"Тараз, Ташкентская улица, 90",полный день,Стажировка,Проведение ревизий;Проведение инвентаризаций;Умение принимать решения;Проведение инвентаризация ОС;Умение слушать;Учет остатков;Точность и внимательность к деталям;Работа с ТСД;Многозадачность;навыки проведения инвентаризации на складе;Инвентаризация;Работа с ТМЦ;Учет товаров;1С: Бухгалтерия и склад;,https://almaty.hh.kz/vacancy/79820167,,Финансы
Медицинский представитель,65,от 180 000 KZT на руки,ТОО Vitaman (Витамэн),Вакансия опубликована 29 мая 2023 в Таразе,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/79812691,,Медицина
Менеджер по взысканию задолженности,40,от 250 000 до 350 000 KZT на руки,ТОО Коллекторское агентство Национальная служба взыскания,Вакансия опубликована 23 мая 2023 в Таразе,Алматы,полный день,Полная занятость,Грамотная речь;Консультирование;Точность и внимательность к деталям;Навыки работы с возражениями;Казахский язык;Русский язык;Работа в команде;Пользователь ПК;Деловое общение;Ведение переговоров;Телефонные переговоры;Internet;,https://almaty.hh.kz/vacancy/80580803,,
"IT-наставник для детей по разработке игр (Minecraft, Roblox)",96,до 80 000 руб. на руки,Skyeng,Вакансия опубликована 10 мая 2023 в Таразе,Алматы,удаленная работа,Частичная занятость,Разработка компьютерных Игр;Minecraft;Roblox;Программирование для детей;Преподаватель;Преподавание;Обучение;,https://almaty.hh.kz/vacancy/80255596,,IT
Инспектор по взысканию задолженности,40,от 300 000 до 350 000 KZT на руки,ТОО Коллекторское агентство Национальная служба взыскания,Вакансия опубликована 26 мая 2023 в Таразе,"Тараз, улица Желтоксан, 73",полный день,Полная занятость,Кредиторская задолженность;Кредитные договоры;Грамотная речь;Работа в команде;Консультирование клиентов;работа с физическими лицами;Грамотность;Ориентация на результат;Консультирование;Консультирование клиентов по телефону;Способность быстро обучаться;,https://almaty.hh.kz/vacancy/74178456,,
Менеджер по работе с клиентами,40,от 100 000 до 170 000 KZT на руки,ТОО КОЛЛЕКТОРСКОЕ АГЕНТСТВО ЭКС,Вакансия опубликована 28 мая 2023 в Таразе,Жамбылская область,полный день,Полная занятость,Взыскание задолженности;Телефонные переговоры;Ведение переговоров;Грамотная речь;MS CRM;Пользователь ПК;Работа с проблемными активами;Деловое общение;Работа в команде;Русский — B2 — Средне-продвинутый;Казахский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80228835,,
Бухгалтер налогового учета,18,от 150 000 до 150 000 KZT до вычета налогов,ТОО Improve SVC,Вакансия опубликована 18 мая 2023 в Таразе,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80666567,,Финансы
Архивариус,33,от 250 000 до 325 000 KZT на руки,ИП Нұрдос,Вакансия опубликована 26 мая 2023 в Таразе,Тараз,полный день,Полная занятость,Знание ПК;,https://almaty.hh.kz/vacancy/81084597,,Юриспруденция
Ипотечный брокер,154,от 200 000 до 1 500 000 KZT на руки,ИП Finance Holding,Вакансия опубликована 25 мая 2023 в Таразе,Алматы,полный день,Полная занятость,"Работа в команде;Работа с клиентами;Консультация клиентов;Работа с банками;Умение общаться с клиентами;Коммуникабельность, ответственность;",https://almaty.hh.kz/vacancy/81026462,,Финансы
Специалист Ресепшен,140,от 100 000 до 120 000 KZT на руки,Luxury palace,Вакансия опубликована 2 мая 2023 в Таразе,"Тараз, улица Жансугурова, 1/2",сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80003970,,
Консультант/окулист в оптику,40,от 130 000 до 230 000 KZT на руки,ИП Беркас,Вакансия опубликована 2 мая 2023 в Таразе,Алматы,полный день,Полная занятость,Грамотная речь;Навыки продаж;Активные продажи;Консультирование клиентов;Консультирование;,https://almaty.hh.kz/vacancy/80004636,,
1С Cпециалист,18,от 150 000 до 150 000 KZT до вычета налогов,ТОО Азия Сервис-Тараз,Вакансия опубликована 12 мая 2023 в Таразе,"Тараз, улица Сулейменова, 7А",полный день,Полная занятость,"Умение работать в коллективе;Знание 1С;способность анализировать проблемы, эффективно искать пути их разрешения;1C: Предприятие;Способность быстро обучаться;",https://almaty.hh.kz/vacancy/79702267,,Финансы
