Должность,professionalroleidЗарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
"Администратор зала (Ресепшен) Тойота центр, Костанай",8,от 120 000 KZT на руки,не требуется,ТОО Тобол Моторс,Вакансия опубликована 15 мая 2023 в Костанае,"Костанай, проспект Абая, 26",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80446906
Сотрудник по обновлению карты,40,от 300 000 до 490 000 KZT на руки,не требуется,ИП Строганова Ольга Владимировна,Вакансия опубликована 25 апреля 2023 в Костанае,Алматы,гибкий график,"Полная занятость, гибкий график",Внимательность;Ответственность;Коммуникабельность;Работа с телефоном;Телеграм;,https://almaty.hh.kz/vacancy/79773112
Повар,94,от 150 000 KZT до вычета налогов,не требуется,ИП Oil центр,Вакансия опубликована 1 мая 2023 в Костанае,"Костанай, улица Карбышева, 4/2",сменный график,"Полная занятость, сменный график",Способность обучать других;Поварское дело;Обучение и развитие;Креативность;Творческое мышление;Работа в команде;,https://almaty.hh.kz/vacancy/79950104
Нейропсихолог/клинический психолог (педагог-психолог),101,от 80 000 до 150 000 руб. до вычета налогов,не требуется,ООО Медицинский центр Сакура,Вакансия опубликована 14 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79604699
