Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Оператор на АГЗС (автогазозаправка),85,от 66 000 до 66 000 KZT на руки,не требуется,ТОО BKKS LPG,Вакансия опубликована 10 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80251896
"Врач-стоматолог (терапия, хирургия)",24,от 200 000 до 350 000 KZT до вычета налогов,не требуется,ТОО ОБЛАСТНАЯ ДЕТСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА,Вакансия опубликована 2 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79974597
Торговый представитель ВС,129,з/п не указана,не требуется,ТОО West Team,Вакансия опубликована 2 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Заключение договоров;Ведение переговоров;Работа в команде;Поиск и привлечение клиентов;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80011088
Пекарь-кондитер,94,от 100 000 до 120 000 KZT до вычета налогов,не требуется,ИП Джубандыкова М.К.,Вакансия опубликована 16 мая 2023 в Уральске,Уральск,полный день,"Полная занятость, полный день",быстро обучаемость;Чистоплотность;Стрессоустойчивость;Работать на результат;Шустрая;Доброжелательная;Позитивная;Коммуникабельная;Умение работать в команде;Трудолюбия;,https://almaty.hh.kz/vacancy/80493876
Санитарка/Санитар,40,до 70 000 KZT на руки,не требуется,ИП Salamdental,Вакансия опубликована 10 мая 2023 в Уральске,"Уральск, проспект Абулхаир Хана, 44",полный день,"Частичная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80230335
Менеджер закупок IT-оборудования,66,з/п не указана,не требуется,ТОО Фирма Сервер +,Вакансия опубликована 5 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80158038
Ассистент/помощник колориста автоэмалей,5,от 80 000 KZT до вычета налогов,не требуется,ИП Акутина Л.А.,Вакансия опубликована 4 мая 2023 в Уральске,"Уральск, проспект Абулхаир Хана, 95",полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Грамотная речь;Деловое общение;Точность и внимательность к деталям;,https://almaty.hh.kz/vacancy/80124926
Менеджер по тендерным процедурам,142,от 100 000 до 200 000 KZT до вычета налогов,не требуется,ТОО ДельтаСервисГрупп,Вакансия опубликована 4 мая 2023 в Уральске,"Уральск, улица Шолохова, 27/1",полный день,"Полная занятость, полный день",Грамотность;Желание учиться;Быстрое обучение;Тендеры;Поиск информации в интернет;Желание работать и развиваться;Мотивированность на результат обучения;,https://almaty.hh.kz/vacancy/80087567
Врач-стоматолог,24,з/п не указана,не требуется,ИП КДРАШЕВА АРДАК ЕРСАИНОВНА,Вакансия опубликована 1 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/77667273
Кредитный консультант,57,от 100 000 до 200 000 KZT до вычета налогов,не требуется,ТОО МФО Touchzaim,Вакансия опубликована 11 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80275078
Офис-менеджер,40,от 120 000 до 150 000 KZT до вычета налогов,не требуется,ТОО Оралсбытойл,Вакансия опубликована 16 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80476296
Маркетолог,68,от 100 000 до 150 000 KZT до вычета налогов,не требуется,ТОО Elosplus,Вакансия опубликована 10 мая 2023 в Уральске,"Уральск, улица Курмангазы, 168",полный день,"Полная занятость, полный день",Грамотная речь;Продвижение в социальных сетях;Обработка видео;Написание рекламных статей;Обработка фото;Умение работать самостоятельно;,https://almaty.hh.kz/vacancy/80240498
Администратор,8,от 100 000 до 150 000 KZT на руки,не требуется,ТОО SALAM DENTAL CLINIC,Вакансия опубликована 10 мая 2023 в Уральске,"Уральск, проспект Абулхаир Хана, 44",сменный график,"Частичная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80233694
Бухгалтер-калькулятор,18,от 120 000 до 250 000 KZT на руки,не требуется,ИП Алтын (ВОРОНОВ А.Н.),Вакансия опубликована 29 апреля 2023 в Уральске,Уральск,полный день,"Полная занятость, полный день",Изучение программы бухгалтерии;,https://almaty.hh.kz/vacancy/79942727
