Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Бухгалтер,18,от 100 000 до 130 000 KZT на руки,ТОО Лучшая Бухгалтерская Компания,Вакансия опубликована 28 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Кабанбай Батыра, 51",полный день,Полная занятость,Кассовые операции;Первичная документация;1C: Бухгалтерия;1С: Предприятие 8;,https://almaty.hh.kz/vacancy/80091097,,Финансы
Инженер по качеству колбасного завода,44,до 175 000 KZT на руки,АО Aitas KZ,Вакансия опубликована 19 мая 2023 в Усть-Каменогорске,Алматы,сменный график,Полная занятость,Управление качеством;Офисные программы;Высшее образование;Контроль качества;Работа с претензиями;,https://almaty.hh.kz/vacancy/80699903,,Сервисное обслуживание/производство
Лаборант,79,з/п не указана,"ТОО Олимп КДЛ, ТМ (ТОО Мырза Хан)",Вакансия опубликована 25 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, проспект Шакарима, 156/1",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/78895983,,Наука
Пекарь,94,з/п не указана,ТОО MAGNUM. Защита активов и предотвращение потерь/Активтерді қорғау және шығындарды болдырмау,Вакансия опубликована 10 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80229477,,
Эксперт-оценщик,40,от 160 000 до 160 000 KZT на руки,ТОО М-Ломбард,Вакансия опубликована 10 мая 2023 в Усть-Каменогорске,Алматы,сменный график,Полная занятость,Работа в команде;Грамотная речь;Обучение персонала;Ориентация на результат;Умение работать в команде;,https://almaty.hh.kz/vacancy/80227255,,
Электрогазосварщик,109,з/п не указана,"Усть-Каменогорские тепловые сети, АО",Вакансия опубликована 12 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,Сварочные работы;Ремонтные работы;Техническое обслуживание;,https://almaty.hh.kz/vacancy/79336543,,Сервисное обслуживание/производство
Электрик,143,от 200 000 KZT на руки,"ТОО Багратион Улан, ТОО",Вакансия опубликована 3 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80015730,,Сервисное обслуживание/производство
Технолог пищевого производства,49,з/п не указана,ТОО Азия Кус,Вакансия опубликована 4 мая 2023 в Усть-Каменогорске,Усть-Каменогорск,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80101692,,Сервисное обслуживание/производство
Электромеханик связи,111,от 170 000 KZT до вычета налогов,АО Транстелеком,Вакансия опубликована 5 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80134085,,Сервисное обслуживание/производство
Инженер-проектировщик электротехнического/сантехнического отдела УПКИ,48,от 170 000 до 280 000 KZT до вычета налогов,"АО УМЗ, АО",Вакансия опубликована 23 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,AutoCAD;Разработка проектной документации;Проектная документация;Разработка технических заданий;Проектирование;,https://almaty.hh.kz/vacancy/80889329,,Сервисное обслуживание/производство
Мясник-обвальщик,40,з/п не указана,ТОО MAGNUM. Команда магазинов/Дүкендер командасы,Вакансия опубликована 10 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80229358,,
Слесарь по ремонту оборудования котельных и пылеприготовительных цехов,115,от 250 000 KZT на руки,ТОО Усть-Каменогорская ТЭЦ,Вакансия опубликована 16 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, Промышленная улица, 2",полный день,Полная занятость,Ремонтные работы;Работа в команде;,https://almaty.hh.kz/vacancy/80487186,,Сервисное обслуживание/производство
Ведущий кредитный администратор в отдел кредитного администрирования,40,з/п не указана,АО Нурбанк,Вакансия опубликована 17 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,Банковское дело;Умение работать в коллективе;Ответственный подход к работе;,https://almaty.hh.kz/vacancy/80575551,,
Электромонтажник,143,от 170 000 до 250 000 KZT на руки,ТОО ВК Синтез,Вакансия опубликована 27 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, проспект Шакарым, 5/2",полный день,Полная занятость,Монтаж оборудования;Работа в команде;Электромонтажные работы;Монтаж инженерных систем;,https://almaty.hh.kz/vacancy/79599627,,Сервисное обслуживание/производство
Менеджер абонентского отдела,40,от 100 000 KZT на руки,ТОО GAS IMPEX KZ,Вакансия опубликована 19 мая 2023 в Усть-Каменогорске,"Павлодар, Восточный промышленный район, 1637",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80719878,,
Слесарь по ремонту и обслуживанию парогазотурбинного оборудования,115,от 250 000 KZT на руки,ТОО Усть-Каменогорская ТЭЦ,Вакансия опубликована 16 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, Промышленная улица, 2",полный день,Полная занятость,Ремонтные работы;Работа в команде;Умение принимать решения;,https://almaty.hh.kz/vacancy/80487286,,Сервисное обслуживание/производство
"Мерчендайзер-грузчик (Мызы, 2/3)",77,от 160 000 до 175 000 KZT до вычета налогов,ТОО Бэст Прайс Казахстан,Вакансия опубликована 3 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,Мерчандайзинг;Приемка груза;,https://almaty.hh.kz/vacancy/80053609,,
"IT-наставник для детей по разработке игр (Minecraft, Roblox)",96,до 80 000 руб. на руки,Skyeng,Вакансия опубликована 10 мая 2023 в Усть-Каменогорске,Алматы,удаленная работа,Частичная занятость,Разработка компьютерных Игр;Minecraft;Roblox;Программирование для детей;Преподаватель;Преподавание;Обучение;,https://almaty.hh.kz/vacancy/80255599,,IT
Электромонтер сетей и связи,112,от 180 000 KZT на руки,ТОО Adicom2000 (Адиком2000),Вакансия опубликована 29 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80583047,,IT
Электромеханик Группы строительства сети,111,от 170 000 KZT до вычета налогов,АО Транстелеком,Вакансия опубликована 5 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,Ответственность;,https://almaty.hh.kz/vacancy/80133741,,Сервисное обслуживание/производство
Координатор промо активностей в г. Усть-Каменогорск,71,з/п не указана,ТОО Pro Triniti,Вакансия опубликована 29 мая 2023 в Усть-Каменогорске,Алматы,гибкий график,Частичная занятость,Работа в команде;Организаторские навыки;Проведение промо акций;Подбор персонала;Документальное сопровождение;Контроль работы промоутеров;Многозадачность;Подбор сотрудников;Закупка рекламных материалов;Деловая коммуникация;Организация промо акций;Умение планировать;Отчетность;,https://almaty.hh.kz/vacancy/79969134,,Менеджмент
Администратор шоу-рума,72,от 180 000 до 180 000 KZT на руки,ТОО ALAN MOTORS,Вакансия опубликована 5 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80144300,,
Помощник / помощница технолога в приготовлении сыров,40,з/п не указана,ИП Кривопалова А.Н,Вакансия опубликована 12 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, Элеваторная улица, 21",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80376987,,
Cторчекер / Тайный покупатель,40,от 30 000 до 100 000 KZT на руки,ТОО Филиал GVG DANIŞMANLIK ANONIM ŞİRKETİ (Джи Ви Джи Данышманлык Аноним Ширкети),Вакансия опубликована 11 мая 2023 в Усть-Каменогорске,Алматы,гибкий график,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80304188,,
Администратор регистратуры,8,от 200 000 KZT до вычета налогов,ТОО АЛТЫНСТОМ,Вакансия опубликована 21 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,Деловая коммуникация;Пользователь ПК;Грамотная речь;Коммуникация;Продуктивность;Умение работать с людьми;Способность работать с документами;,https://almaty.hh.kz/vacancy/80779278,,
Оператор упаковки/расфасовки молочной продукции,85,от 220 000 KZT до вычета налогов,ТОО Корпорация Восток-Молоко,Вакансия опубликована 11 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, Самарское шоссе, 5",сменный график,Полная занятость,Пользователь ПК;Internet;Google Chrome;Материальная ответственность;,https://almaty.hh.kz/vacancy/80270651,,Сервисное обслуживание/производство
Фармацевт склада,133,з/п не указана,ТОО АлтайМедика,Вакансия опубликована 24 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80940184,,Медицина
