Должность,professionalroleidЗарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Стажер-консультант 1С (бухгалтерия),18,от 200 000 до 250 000 KZT до вычета налогов,не требуется,ТОО СофтМастер-Плюс,Вакансия опубликована 16 мая 2023 в Кокшетау,"Кокшетау, улица Миржакипа Дулатова, 29",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80493980
Бухгалтер,18,от 400 000 до 500 000 KZT на руки,не требуется,ИП Омельян И.А.,Вакансия опубликована 16 мая 2023 в Кокшетау,"Кокшетау, улица Ауельбекова, 170",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80472627
