Должность,professionalroleidЗарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Сотрудник по обновлению карты,40,от 300 000 до 490 000 KZT на руки,не требуется,ИП Строганова Ольга Владимировна,Вакансия опубликована 25 апреля 2023 в Экибастузе,Алматы,гибкий график,"Полная занятость, гибкий график",Внимательность;Ответственность;Коммуникабельность;Работа с телефоном;Телеграм;,https://almaty.hh.kz/vacancy/79773122
Инженер службы производственного контроля промышленной и пожарной безопасности,45,з/п не указана,не требуется,ТОО Богатырь Комир,Вакансия опубликована 16 мая 2023 в Экибастузе,"Экибастуз, улица Бауыржана Момышулы, 23",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80472183
