Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Повар (на АЗС Байтурсынова),94,з/п не указана,не требуется,ТОО In oil LTD KZ,Вакансия опубликована 16 мая 2023 в Астане,"Астана, улица Ахмета Байтурсынова",сменный график,"Полная занятость, сменный график","Работа в команде;Внимательность, ответственность;Поварское дело;Английский — A1 — Начальный;",https://almaty.hh.kz/vacancy/79135686
HR Консультант,40,до 270 000 KZT на руки,не требуется,ТОО BI-Development (ТМ BI GROUP),Вакансия опубликована 15 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80406196
Монтажник-паяльщик радиоэлектронных устройств,40,до 330 000 KZT на руки,не требуется,ТОО Art Xtal (Арт Икстал),Вакансия опубликована 27 мая 2023 в Астане,"Астана, 101-я улица, 12",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80029868
IT-инженер,114,от 150 000 до 150 000 KZT на руки,не требуется,ТОО Охранная фирма Әскер,Вакансия опубликована 26 мая 2023 в Астане,"Астана, проспект Абая, 50",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79960849
Unreal Engine Developer,96,з/п не указана,не требуется,Fntastic,Вакансия опубликована 27 мая 2023 в Астане,Астана,удаленная работа,"Полная занятость, удаленная работа",Unreal Engine;Unreal Engine 4;C++;Разработка компьютерных Игр;Gamedev;Game Programming;,https://almaty.hh.kz/vacancy/80399038
Учитель начальных классов,132,з/п не указана,не требуется,ИП Центр подготовки (AIPLUS),Вакансия опубликована 27 мая 2023 в Астане,Алматы,гибкий график,"Частичная занятость, гибкий график",Грамотная речь;Деловое общение;Грамотность;,https://almaty.hh.kz/vacancy/80404644
Кредитный специалист,57,от 200 000 до 1 000 000 KZT до вычета налогов,не требуется,ТОО Лидер Ипотеки,Вакансия опубликована 26 мая 2023 в Астане,"Нур-Султан (Астана), проспект Богенбай батыра, 56А",полный день,"Полная занятость, полный день",Умение работать в коллективе;Деловое общение;Ведение переговоров;Телефонные переговоры;Заключение договоров;,https://almaty.hh.kz/vacancy/81105069
Администратор косметологии - менеджер по продажам,8,з/п не указана,не требуется,ТОО МЕДИЦИНСКАЯ КЛИНИКА,Вакансия опубликована 27 мая 2023 в Астане,"Нур-Султан (Астана), улица Кайыма Мухамедханова, 11/2",полный день,"Полная занятость, полный день",Пользователь ПК;Умение работать в команде;Грамотная речь;Работа в команде;Деловое общение;,https://almaty.hh.kz/vacancy/79722826
"Преподаватель на курс ""Cinema 4D""",132,з/п не указана,не требуется,ТОО ITSTEP Academy Almaty,Вакансия опубликована 23 мая 2023 в Астане,"Нур-Султан (Астана), улица Сыганак, 47",полный день,"Частичная занятость, полный день",Cinema 4D;Программирование 3D-графики;,https://almaty.hh.kz/vacancy/80890880
Specialist in Audit Department,137,з/п не указана,не требуется,ТОО EY (Ernst & Young),Вакансия опубликована 16 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Accounting;MS Excel;MS Word;1C: Бухгалтерия;Ведение переговоров;Английский язык;Бухгалтерская отчетность;Деловая переписка;Деловое общение;Internet;MS Outlook;Консультирование;Английский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/77520928
Мастер электроэпиляции,56,от 150 000 до 300 000 KZT на руки,не требуется,ИП ElectroepilLemur,Вакансия опубликована 16 мая 2023 в Астане,"Астана, проспект Бауыржана Момышулы, 2/9",полный день,"Полная занятость, полный день",Пользователь ПК;Грамотная речь;Работа с клиентами;Материальная ответственность;Грамотность;,https://almaty.hh.kz/vacancy/80468194
Инженер систем электропитания,40,от 200 000 KZT на руки,не требуется,ТОО МЭК-Астана,Вакансия опубликована 3 мая 2023 в Астане,"Нур-Султан (Астана), улица Бейбитшилик, 25",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80018029
