Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Администратор в Студию коррекции фигуры NewBody.kz,8,от 250 000 до 450 000 KZT до вычета налогов,не требуется,ИП Винокурова Е.А,Вакансия опубликована 23 мая 2023 в Астане,"Нур-Султан (Астана), улица Малика Габдуллина, 12Б",полный день,"Полная занятость, полный день",Работа в команде;Обучение персонала;Навыки продаж;Деловое общение;Обучение и развитие;Клиентоориентированность;Позитивное мышление;Навыки разрешения спорных ситуаций;Работа с возражениями;Материальная ответственность;Способность работать с документами;Планирование карьеры;Работа с людьми;способность быстро обучаться и легко воспринимать крупные объемы информации;,https://almaty.hh.kz/vacancy/75146141
Помощник повара,94,от 200 000 до 250 000 KZT на руки,не требуется,ТОО FOODMAX (Gold in Basket),Вакансия опубликована 25 мая 2023 в Астане,"Астана, жилой комплекс Арнау, 12",сменный график,"Полная занятость, сменный график",Работа в команде;,https://almaty.hh.kz/vacancy/80392677
Офис-менеджер по страхованию,122,от 200 000 KZT на руки,не требуется,ТОО Asia Finance,Вакансия опубликована 23 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Телефонные переговоры;Оценка потребностей клиентов;Навыки делового общения;Пользователь ПК;Работа с оргтехникой;Заключение договоров;Умение работать в коллективе;Точность и внимательность к деталям;Excel;Русский язык;Казахский язык;Знание компьютера;Владение компьютером;,https://almaty.hh.kz/vacancy/75654068
Ученик автослесаря,5,от 200 000 KZT на руки,не требуется,ТОО Эклипс сервис,Вакансия опубликована 23 мая 2023 в Астане,"Астана, Карталинская улица, 5/2",полный день,"Стажировка, полный день",Мобильность;Internet;,https://almaty.hh.kz/vacancy/80887324
Администратор в сервис центр,8,от 80 000 до 150 000 KZT на руки,не требуется,ТОО Sana computers,Вакансия опубликована 26 мая 2023 в Астане,"Нур-Султан (Астана), улица Бараева, 13",полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Грамотная речь;Работа с клиентами;исходящие звонки;,https://almaty.hh.kz/vacancy/81105107
Заведующий складом,81,от 250 000 до 250 000 KZT до вычета налогов,не требуется,ИП Ансар- Фарм 6131,Вакансия опубликована 22 мая 2023 в Астане,"Астана, микрорайон Юго-Восток (правая сторона), улица Балкантау, 43",полный день,"Полная занятость, полный день",Материальная ответственность;оформление заказов;Точность и внимательность к деталям;Физическая выносливость;Работать в команде;Стабильность;Честный;,https://almaty.hh.kz/vacancy/80710150
Оператор станков с ЧПУ,86,от 150 000 до 300 000 KZT на руки,не требуется,ТОО Ztown Development,Вакансия опубликована 25 мая 2023 в Астане,"Нур-Султан (Астана), 101-я улица",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81017542
Бухгалтер,18,до 200 000 KZT до вычета налогов,не требуется,ТОО DES,Вакансия опубликована 25 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81004569
Ассистент менеджера по продажам,54,з/п не указана,не требуется,ТОО Distritech,Вакансия опубликована 26 мая 2023 в Астане,"Нур-Султан (Астана), улица Ханов Керея и Жанибека, 32",полный день,"Полная занятость, полный день",Управление временем;Проведение переговоров;Навыки работы с возражениями;Участие в Тендерах;Навыки продаж;Навыки переговоров;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/78082585
Специалист по работе с потенциальными клиентами,40,от 200 000 до 600 000 KZT на руки,не требуется,ТОО Lloyds group,Вакансия опубликована 25 мая 2023 в Астане,Алматы,сменный график,"Полная занятость, сменный график",Работа в команде;Грамотная речь;Работа с большим объемом информации;Грамотность;Умение работать в коллективе;Анкетирование;Разъездной характер работы;,https://almaty.hh.kz/vacancy/79502315
Официант в ресторан Del papa,40,от 250 000 до 500 000 KZT до вычета налогов,не требуется,ТОО AB Restaurants,Вакансия опубликована 6 мая 2023 в Астане,"Нур-Султан (Астана), проспект Республики, 10",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80176815
Агент по обслуживанию пассажиров,40,з/п не указана,не требуется,"AIR ASTANA, АО",Вакансия опубликована 5 мая 2023 в Астане,Алматы,полный день,"Стажировка, полный день",Английский язык;Грамотная речь;Работа в команде;Работа с людьми;Казахский язык;Русский язык;,https://almaty.hh.kz/vacancy/79074666
Аниматор,13,от 300 000 до 400 000 KZT на руки,не требуется,ИП «Geona»,Вакансия опубликована 27 мая 2023 в Астане,"Астана, улица Шарля де Голля",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/81157220
Заместитель директора / Исполнительный руководитель,26,от 2 100 USD на руки,не требуется,ООО Золотая Подкова,Вакансия опубликована 23 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80916188
SMM-менеджер,3,от 120 000 до 150 000 KZT до вычета налогов,не требуется,ТОО COSMETICS STAR,Вакансия опубликована 23 мая 2023 в Астане,Алматы,гибкий график,"Частичная занятость, гибкий график","SMM;Таргетинг;Составление контент-плана;Контент;Инстаграм;Умение работать в условиях многозадачности;Внимательность, ответственность;Рассылка сообщений;Продвижение мероприятий компании в социальных сетях;работа со статистикой;Скорость;Идейность;Грамотность;Умение планировать;Введение переговоров;Наполнение контентом;Энтузиазм;Гибкость мышления;Казахский — A2 — Элементарный;Русский — C1 — Продвинутый;Английский — A1 — Начальный;",https://almaty.hh.kz/vacancy/80886095
Ресепшионист,8,от 150 000 до 350 000 KZT на руки,не требуется,ТОО Центр реабилитации слуха и речи,Вакансия опубликована 27 мая 2023 в Астане,"Астана, проспект Кабанбай Батыра, 5/1",полный день,"Полная занятость, полный день",Пользователь ПК;Сосредоточенность;Позитивное мышление;Доброта;Улаживание конфликтов;Опыт работы с деньгами;,https://almaty.hh.kz/vacancy/81135237
SMM-менеджер,3,от 300 000 KZT до вычета налогов,не требуется,Национальная палата предпринимателей Республики Казахстан Атамекен,Вакансия опубликована 25 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",План продвижения;Cоциальный маркетинг;SMM;Ведение групп в социальных сетях;Партнерские программы в социальных сетях;Продвижение в социальных группах;Cоциальная реклама;Деловая коммуникация;Контент;,https://almaty.hh.kz/vacancy/80995410
2D-художник,34,з/п не указана,не требуется,Fntastic,Вакансия опубликована 28 мая 2023 в Астане,Астана,полный день,"Полная занятость, полный день",Adobe Photoshop;Разработка компьютерных Игр;Gamedev;Работа в условиях многозадачности;Игровой опыт;Художник;Концептирование;,https://almaty.hh.kz/vacancy/81000511
"Менеджер по чистоте, порядку",76,от 300 000 KZT до вычета налогов,не требуется,"ТОО Astana Mall Trading,ТОО",Вакансия опубликована 26 мая 2023 в Астане,"Астана, проспект Тауелсиздик, 34",сменный график,"Полная занятость, сменный график",Исполнительность;Ответственность;Опрятность;Организация и планирование рабочего времени;Работа в команде;Способность быстро обучаться;Высокая энергичность и инициативность;Организаторские навыки;Управление персоналом;Обучение персонала;,https://almaty.hh.kz/vacancy/79962235
Администратор фитнес клуба,8,от 150 000 до 250 000 KZT на руки,не требуется,ИП Underground Gym,Вакансия опубликована 9 мая 2023 в Астане,"Нур-Султан (Астана), проспект Улы Дала, 19",полный день,"Полная занятость, полный день",Грамотная речь;Работа в команде;Обучение персонала;Управление персоналом;Подбор персонала;,https://almaty.hh.kz/vacancy/80197894
Помощник менеджера kazdream академии,40,до 100 000 KZT на руки,не требуется,ТОО ProPeople Global,Вакансия опубликована 22 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Многофункциональный комплекс;Работа в условиях многозадачности;Информирование сотрудников;Высокие коммуникативные навыки;Умение расставлять приоритеты;,https://almaty.hh.kz/vacancy/80786773
Администратор (на Регистратуру),8,от 200 000 до 220 000 KZT на руки,не требуется,ТОО Ортопедический центр «Экстра комфорт»,Вакансия опубликована 19 мая 2023 в Астане,"Нур-Султан (Астана), улица Григория Потанина, 14",полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Грамотная речь;Консультирование клиентов по телефону;Работа с клиентами;Ведение переговоров;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80732171
Хостес,140,от 220 000 до 220 000 KZT на руки,не требуется,ТОО РестоГруп,Вакансия опубликована 26 мая 2023 в Астане,"Астана, улица Достык, 13",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80876445
Оператор-аниматор в игровой зал,84,от 200 000 до 400 000 KZT на руки,не требуется,ТОО Arena Continental,Вакансия опубликована 10 мая 2023 в Астане,"Астана, улица Алматы, 3",полный день,"Полная занятость, полный день",Пользователь ПК;,https://almaty.hh.kz/vacancy/80263171
Оператор call-центра в интернет магазин (на дому),40,от 120 000 до 400 000 KZT на руки,не требуется,ООО Свобода,Вакансия опубликована 5 мая 2023 в Астане,Алматы,удаленная работа,"Полная занятость, удаленная работа",Грамотная речь;Активные продажи;Телефонные переговоры;Работа в команде;Холодные продажи;,https://almaty.hh.kz/vacancy/80146245
Оператор базы данных,84,от 500 до 700 USD на руки,не требуется,ООО ФПК,Вакансия опубликована 22 мая 2023 в Астане,Алматы,удаленная работа,"Полная занятость, удаленная работа",E9,https://almaty.hh.kz/vacancy/80815939
Администратор салона красоты,8,от 150 000 до 200 000 KZT на руки,не требуется,ТОО ARTER,Вакансия опубликована 21 мая 2023 в Астане,"Астана, проспект Тауелсиздик, 21/5",полный день,"Полная занятость, полный день","Работа в команде;Коммуникабельность, ответственность;Грамотная речь;Ответственность и пунктуальность;",https://almaty.hh.kz/vacancy/80776409
Мобилограф,20,от 150 000 до 300 000 KZT на руки,не требуется,ТОО Центр развития предпринимателей,Вакансия опубликована 25 мая 2023 в Астане,"Нур-Султан (Астана), улица Габидена Мустафина, 30",полный день,"Полная занятость, полный день",Видеомонтаж;Видеосъемка;Обработка видео;Adobe Photoshop;Adobe Premier Pro;Творческое мышление;Творчество;Cupcat;VN;VdeaoLeap;Canva;,https://almaty.hh.kz/vacancy/80994636
Преподаватель в образовательный центр,132,от 180 000 до 220 000 KZT до вычета налогов,не требуется,ИП Образование (Байботанова Т.К.),Вакансия опубликована 14 мая 2023 в Астане,"Астана, улица Сауран, 15/3",гибкий график,"Полная занятость, гибкий график",E9,https://almaty.hh.kz/vacancy/79292243
Администратор в отель,8,до 200 000 KZT на руки,не требуется,ТОО Ikyn,Вакансия опубликована 26 мая 2023 в Астане,"Нур-Султан (Астана), улица Ханов Керея и Жанибека, 12Б",полный день,"Полная занятость, полный день","Опыт работы в сфере гостеприимства;Знание казахского и английского языков (разговорный уровень);Коммуникабельность, вежливость, дружелюбие и умение работать с людьми;Организованность и ответственность;Умение быстро переключаться между задачами и работать в нестандартных ситуациях;Гибкость в решении проблем;Навыки работы в команде;",https://almaty.hh.kz/vacancy/81078781
Python developer (AI-ML team),96,з/п не указана,не требуется,DocuSketch,Вакансия опубликована 23 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Python;Linux;Analytical skills;Organization Skills;ML;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/80918577
Мерчендайзер,77,от 220 000 до 225 000 KZT на руки,не требуется,ТОО Icefood,Вакансия опубликована 28 мая 2023 в Астане,"Нур-Султан (Астана), улица Александра Пушкина, 75",полный день,"Полная занятость, полный день",Мерчандайзинг;Выкладка товаров;Пополнение товарных запасов;Визуальный мерчандайзинг;Блочная выкладка товара;Контроль сроков годности;Умение работать в команде;Мобильный мерчандайзинг;,https://almaty.hh.kz/vacancy/80787058
Торговый представитель в Астане,129,от 300 000 до 500 000 KZT на руки,не требуется,ТОО КазАрстрой,Вакансия опубликована 20 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Поиск и привлечение клиентов;работа с текущей базой клиентов;Мерчендайзинг;Холодные продажи;Традиционная розница;,https://almaty.hh.kz/vacancy/80727703
Тьютор/куратор в летний лагерь,132,от 50 000 до 80 000 KZT до вычета налогов,не требуется,ИП BeeSmart,Вакансия опубликована 26 мая 2023 в Астане,"Астана, улица Достык, 5",полный день,"Частичная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81105825
Мерчендазер (формата парт-таймер),77,от 70 000 до 100 000 KZT на руки,не требуется,ТОО REDPARK,Вакансия опубликована 25 мая 2023 в Астане,"Астана, улица Каныша Сатпаева, 11",гибкий график,"Частичная занятость, гибкий график",Выкладка товаров;Проведение промо акций;Навыки работы с первичной документацией;Управление складскими запасами;Гибкость;Планирование карьеры;Работа в команде;Грамотная речь;Торговля;Способность быстро обучаться;,https://almaty.hh.kz/vacancy/81039588
"Оператор архивного дела и оцифровки документов (ул.Гете,4)",33,от 150 000 до 150 000 KZT на руки,не требуется,ТОО АСиВ,Вакансия опубликована 12 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",MS Access;Сканер;Слепая печать;Google Chrome;FineReader;Пользователь ПК;Работа с оргтехникой;Работа в команде;MS Internet Explorer;,https://almaty.hh.kz/vacancy/80344144
Врач,24,от 250 000 до 750 000 KZT на руки,не требуется,ТОО Центр реабилитации слуха и речи,Вакансия опубликована 27 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Ведение пациентов;B2B Продажи;Работа с людьми;Навыки межличностного общения;Многозадачность;Позитив;Казахский — B1 — Средний;,https://almaty.hh.kz/vacancy/81135073
Младший Таргетолог,3,до 120 000 KZT до вычета налогов,не требуется,ТОО B2B-World,Вакансия опубликована 24 мая 2023 в Астане,"Нур-Султан (Астана), улица Сыганак, 47",полный день,"Полная занятость, полный день",Adobe Photoshop;Продвижение бренда;Интернет-реклама;Маркетинговый анализ;Social Media Marketing;Грамотная речь;SMM;Продвижение объекта;Таргетинг;Internet Marketing;Маркетинговые коммуникации;Работа в команде;,https://almaty.hh.kz/vacancy/80925517
Промоутер-консультант,129,от 150 000 до 200 000 KZT на руки,не требуется,ТОО Как в кино,Вакансия опубликована 28 мая 2023 в Астане,"Нур-Султан (Астана), улица Алихана Бокейханова, 27/2",гибкий график,"Частичная занятость, гибкий график",Продажи;Навыки работы с возражениями;Деловое общение;Проведение опросов клиентов;Работа в команде;Обучение и развитие;Работа с людьми;Креативность;Творческое мышление;Работа с большим объемом информации;Умение общаться с людьми;,https://almaty.hh.kz/vacancy/80788791
Лаборант ОТК,79,от 220 000 KZT на руки,не требуется,ТОО PET,Вакансия опубликована 22 мая 2023 в Астане,"Астана, улица Коктал, 15",сменный график,"Полная занятость, сменный график","лаборант;лаборатория;преформа;Бережливое производство;Управление производством;Работа с компьютером;Коммуникабельность, ответственность;Контроль качества;",https://almaty.hh.kz/vacancy/80818544
Оператор игровых аттракционов,84,от 130 000 до 150 000 KZT до вычета налогов,не требуется,ИП Турсынбаева Л.Т.,Вакансия опубликована 27 мая 2023 в Астане,"Астана, проспект Кабанбай Батыра, 62",полный день,"Полная занятость, полный день","Работа в команде;планировать и оптимально организовать рабочий процесс;Техническая поддержка;Ответственность и пунктуальность;умение слушать, давать компетентные советы, находить подход к клиентам;",https://almaty.hh.kz/vacancy/80943212
Администратор в студию танцев,8,от 150 000 до 180 000 KZT до вычета налогов,не требуется,ИП United Dance Space,Вакансия опубликована 28 мая 2023 в Астане,"Нур-Султан (Астана), улица Кайыма Мухамедханова",полный день,"Полная занятость, полный день",Грамотная речь;Работа в команде;Грамотность;Деловое общение;Работа с клиентами;Работа с людьми;,https://almaty.hh.kz/vacancy/81172985
Диспетчер в логистическую компанию,39,от 200 000 до 400 000 KZT до вычета налогов,не требуется,ИП Макашев,Вакансия опубликована 11 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Работа в условиях многозадачности;Работа с большим объемом информации;Деловое общение;Диспетчер;,https://almaty.hh.kz/vacancy/80307055
Дизайнер,34,от 220 000 до 300 000 KZT на руки,не требуется,ИП Джулай О.А. ТМ Компания Лик,Вакансия опубликована 27 мая 2023 в Астане,"Нур-Султан (Астана), улица Бейбитшилик, 71",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80937440
Экскурсовод,40,от 200 000 до 200 000 KZT до вычета налогов,не требуется,ТОО Astana Venue Management,Вакансия опубликована 5 мая 2023 в Астане,"Нур-Султан (Астана), проспект Тауелсиздик, 52",сменный график,"Полная занятость, сменный график",Английский язык;Работа в команде;Грамотная речь;Грамотность;Знание иностранных языков;Казахский язык;Русский язык;Опрятность;Общение;Казахский — C2 — В совершенстве;Английский — C1 — Продвинутый;,https://almaty.hh.kz/vacancy/80133680
Менеджер по данным (начинающий аналитик по данным),10,от 250 000 до 250 000 KZT на руки,не требуется,ТОО Best Food Astana,Вакансия опубликована 28 апреля 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Power BI SQL;MS Excel;,https://almaty.hh.kz/vacancy/79916898
Администратор ресепшен,8,от 130 000 до 150 000 KZT на руки,не требуется,ТОО Invictus Astana,Вакансия опубликована 10 мая 2023 в Астане,"Нур-Султан (Астана), жилой комплекс Зелёный Квартал",полный день,"Полная занятость, полный день",Клиентоориентированность;Грамотная речь;Консультативные продажи;Управление отношениями с клиентами;Работа с жалобами клиентов;,https://almaty.hh.kz/vacancy/80239324
Специалист по подбору кадров,118,от 200 000 до 500 000 KZT до вычета налогов,не требуется,Workle Pro,Вакансия опубликована 5 мая 2023 в Астане,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Подбор персонала;,https://almaty.hh.kz/vacancy/80152898
Администратор,8,от 180 000 до 220 000 KZT на руки,не требуется,ИП Language Training Center,Вакансия опубликована 24 мая 2023 в Астане,"Нур-Султан (Астана), улица Бигельдинова, 6",полный день,"Полная занятость, полный день",Документооборот;Умение работать в команде;Навыки межличностного общения;Пользователь ПК;Навыки составления отчетности;,https://almaty.hh.kz/vacancy/80922245
Администратор салона красоты,8,от 200 000 до 240 000 KZT на руки,не требуется,ИП СОТНИКОВА,Вакансия опубликована 13 мая 2023 в Астане,"Астана, улица Толе Би, 46",полный день,"Полная занятость, полный день","Консультирование клиентов по телефону;Улыбчивость;Умение расставлять приоритеты;Русский язык;Казахский язык;Умение работать в коллективе;входящие звонки;способность анализировать проблемы, эффективно искать пути их разрешения;способность быстро обучаться и легко воспринимать крупные объемы информации;Способность быстро обучаться;Пользователь ПК;Работа в команде;Грамотная речь;Опрятность;Дружелюбность;",https://almaty.hh.kz/vacancy/80384234
Продавец консультант дизайнерских аксессуаров,3,от 150 000 до 250 000 KZT на руки,не требуется,ИП JAZY,Вакансия опубликована 20 мая 2023 в Астане,"Нур-Султан (Астана), жилой комплекс Абу-Даби Плаза",сменный график,"Полная занятость, сменный график",Создание контента;Обслуживание покупателей;Работа на выставках;Продажи;Навыки работы с возражениями;Навыки продаж;,https://almaty.hh.kz/vacancy/80770562
Хостес,140,от 176 000 до 208 000 KZT на руки,не требуется,ИП Жақия,Вакансия опубликована 25 мая 2023 в Астане,"Астана, проспект Абая, 13",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81005463
Стажер HR-отдела,69,от 120 000 до 170 000 KZT до вычета налогов,не требуется,ТОО BI-Development (ТМ BI GROUP),Вакансия опубликована 25 мая 2023 в Астане,Алматы,полный день,"Стажировка, полный день",E9,https://almaty.hh.kz/vacancy/81002478
Стажёр в бухгалтерский аутсорсинг,18,от 150 000 до 200 000 KZT на руки,не требуется,ИП IndAcc,Вакансия опубликована 25 мая 2023 в Астане,"Нур-Султан (Астана), улица Амман, 8",полный день,"Стажировка, полный день",E9,https://almaty.hh.kz/vacancy/81038690
Хостес в Ресторан Del Papa,140,от 150 000 до 150 000 KZT на руки,не требуется,ТОО AB Restaurants,Вакансия опубликована 2 мая 2023 в Астане,"Астана, проспект Кабанбай батыра, 34",полный день,"Полная занятость, полный день",Грамотная речь;Пользователь ПК;Работа в команде;Деловое общение;Грамотность;,https://almaty.hh.kz/vacancy/79979870
Мерчендайзер на бренд Procter&Gamble,77,от 248 000 до 249 000 KZT до вычета налогов,не требуется,ТОО Apple City Corps,Вакансия опубликована 15 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80442586
Специалист отдела кадров,118,от 200 000 до 500 000 KZT до вычета налогов,не требуется,Workle Pro,Вакансия опубликована 25 мая 2023 в Астане,Алматы,полный день,"Частичная занятость, полный день",Подбор персонала;,https://almaty.hh.kz/vacancy/81013382
Раннер/Помощник официанта,140,от 150 000 KZT на руки,не требуется,ИП Бексултанов Ч.Д.,Вакансия опубликована 25 мая 2023 в Астане,"Нур-Султан (Астана), улица Ханов Керея и Жанибека, 18",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81032822
Мастер по коррекции фигуры,56,от 350 000 до 450 000 KZT до вычета налогов,не требуется,ИП Винокурова Е.А,Вакансия опубликована 23 мая 2023 в Астане,"Нур-Султан (Астана), улица Малика Габдуллина, 12Б",полный день,"Полная занятость, полный день",Грамотная речь;Расстановка приоритетов;Умение работать в коллективе;Навыки улаживания конфликтов;Опрятность;Готовность обучаться;Ориентация на клиента;Чистоплотность;Дружелюбность;Продажа услуг;Консультация;Опыт работы с клиентами;,https://almaty.hh.kz/vacancy/69337687
Помощник Интернет-Маркетолога,40,от 100 000 до 300 000 KZT до вычета налогов,не требуется,ТОО BanStroy KZ,Вакансия опубликована 5 мая 2023 в Астане,"Нур-Султан (Астана), улица Иманжусипа Кутпанова, 20",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80145181
Помощник бухгалтера,18,от 100 000 до 150 000 KZT на руки,не требуется,ТОО Arena Continental,Вакансия опубликована 26 мая 2023 в Астане,"Астана, улица Алматы, 3",удаленная работа,"Полная занятость, удаленная работа",MS Excel;,https://almaty.hh.kz/vacancy/81085349
Сопровождающий тур групп / гид на туры выходного дня,40,з/п не указана,не требуется,ТОО Туристская компания Agrotravel-kz,Вакансия опубликована 26 мая 2023 в Астане,Алматы,полный день,"Частичная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81085120
Ночной мастер сборки интерьерных карт мира,40,до 150 000 KZT на руки,не требуется,ИП Ecomaps,Вакансия опубликована 26 мая 2023 в Астане,"Нур-Султан (Астана), проспект Абая, 76",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/81119726
Тайный проверяющий,40,от 50 000 до 150 000 KZT на руки,не требуется,ООО 4Service Holdings GmbH,Вакансия опубликована 2 мая 2023 в Астане,Алматы,полный день,"Частичная занятость, полный день",E9,https://almaty.hh.kz/vacancy/78812410
Помощник администратора,8,от 150 000 KZT на руки,не требуется,ТОО Koblandin Clinic,Вакансия опубликована 16 мая 2023 в Астане,"Нур-Султан (Астана), улица Бухар Жырау, 20Б",полный день,"Полная занятость, полный день",Консультирование клиентов;Активные продажи;Делопроизводство;Деловое общение;Уверенный пользователь ПК;MS Word;MS Excel;Работа в команде;Грамотная речь;Навыки разрешения спорных ситуаций;способность быстро обучаться и легко воспринимать крупные объемы информации;Умение управлять временем;Чистоплотность;Материальная ответственность;Умение работать в команде;Презентабельный внешний вид;Деловой этикет;Умение планировать;Готовность к командному труду;Работа в условиях многозадачности;навыки прямых продаж;Начинающий специалист;Выпускник ВУЗА;,https://almaty.hh.kz/vacancy/80471439
Продавец-кассир,8,от 200 000 до 320 000 KZT на руки,не требуется,ИП Индивидуальные пельмени,Вакансия опубликована 25 мая 2023 в Астане,Астана,полный день,"Полная занятость, полный день",Казахский — C2 — В совершенстве;Английский — A1 — Начальный;,https://almaty.hh.kz/vacancy/80505076
Контролер ОТК,44,от 250 000 KZT на руки,не требуется,ТОО ГидроТехСнаб Астана,Вакансия опубликована 26 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80888969
Ассистент врача-стоматолога,15,от 200 000 до 250 000 KZT на руки,не требуется,ТОО Samgau med,Вакансия опубликована 3 мая 2023 в Астане,"Нур-Султан (Астана), улица Сауран, 42/1",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80040639
Повар-кондитер,94,от 150 000 до 250 000 KZT на руки,не требуется,ИП Moti0101,Вакансия опубликована 19 мая 2023 в Астане,"Астана, улица Арай, 40",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80702747
Ученик ювелира-монтировщика,40,от 120 000 KZT до вычета налогов,не требуется,ООО Костромской ювелирный завод Каратов,Вакансия опубликована 2 мая 2023 в Астане,Алматы,полный день,"Стажировка, полный день",Работа в команде;Работа с большим объемом информации;Обучение и развитие;,https://almaty.hh.kz/vacancy/79060975
Диспетчер транспортного отдела (США),39,от 200 000 до 250 000 KZT до вычета налогов,не требуется,ИП Макашев,Вакансия опубликована 11 мая 2023 в Астане,"Астана, проспект Мангилик Ел, 27/1",полный день,"Полная занятость, полный день",Английский язык;Работа в команде;Работа в условиях многозадачности;Английский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80284205
Администратор капсульного отеля Флэтс,8,от 140 000 до 150 000 KZT на руки,не требуется,ТОО Анклав01,Вакансия опубликована 27 мая 2023 в Астане,"Астана, улица Малика Габдуллина, 17/1",полный день,"Полная занятость, полный день",Пользователь ПК;Грамотная речь;Работа с людьми;Телефонные переговоры;Навыки межличностного общения;Английский язык;Казахский — C1 — Продвинутый;Английский — B1 — Средний;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/81131644
Ассистент аудитора,40,до 220 000 KZT до вычета налогов,не требуется,ТОО Kansa Partners Advisory,Вакансия опубликована 23 мая 2023 в Астане,"Астана, проспект Туран, 30А",полный день,"Полная занятость, полный день",Экономический аудит;Контроль ведения налоговой отчетности;1C: Финансы;Анализ текущих финансовых показателей;,https://almaty.hh.kz/vacancy/80882522
Эксперт-оценщик в ломбард,40,от 220 000 до 300 000 KZT на руки,не требуется,ТОО ТОО GOOD ЛОМБАРД,Вакансия опубликована 17 мая 2023 в Астане,"Астана, улица Кайыма Мухамедханова, 17",гибкий график,"Полная занятость, гибкий график","Желание учиться и развиваться;Умение добиваться поставленных целей;Пользователь ПК;Умение работать в команде;Телефонные переговоры;Работа с оргтехникой;Точность и внимательность к деталям;Ведение клиентской базы;Проведение опросов клиентов;Работа в условиях многозадачности;Работа с компьютером;Опрятный внешний вид;Коммуникабельность, ответственность;Коммуникабельность, стрессоустойчивость;Ответственный подход к работе;Точность и внимательность;Внимательность, ответственность;",https://almaty.hh.kz/vacancy/80614311
