Должность,professionalroleidЗарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Аналитик,10,до 260 000 KZT до вычета налогов,не требуется,ТОО Dizzy,Вакансия опубликована 12 мая 2023 в Таразе,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Деловое общение;Работа с большим объемом информации;Управление документооборотом;1C: Предприятие;Работать в команде;планировать и оптимально организовать рабочий процесс;MS Excel;,https://almaty.hh.kz/vacancy/80328754
Куратор по предметам в образовательный центр,132,от 90 000 до 100 000 KZT на руки,не требуется,ТОО Edukey.kz,Вакансия опубликована 27 апреля 2023 в Таразе,Алматы,полный день,"Частичная занятость, полный день",Работа в условиях многозадачности;Работа в команде;Пользователь ПК;Казахский язык;Грамотная речь;Умение находить общий язык;,https://almaty.hh.kz/vacancy/79858670
