Должность,professionalroleidЗарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Сервисный инженер,111,з/п не указана,не требуется,ТОО Neo Service,Вакансия опубликована 15 мая 2023 в Жезказгане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80400609
Диспетчер в производственно - диспетчерскую службу предприятия,40,от 220 000 до 260 000 KZT на руки,не требуется,АО Авиакомпания Жезказган-эйр (ZHEZAIR),Вакансия опубликована 25 апреля 2023 в Жезказгане,"Улытауский район, аэропорт Жезказган",сменный график,"Полная занятость, сменный график",Пользователь ПК;Работа в команде;Грамотная речь;Умение работать в команде;Работа с большим объемом информации;Грамотность;Опытный пользователь ПК;Заинтересованность;Ответственный подход к работе;,https://almaty.hh.kz/vacancy/79767673
