Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Преподаватель фортепиано,132,от 250 000 до 300 000 KZT до вычета налогов,не требуется,ИП MENZHAN РЕСПУБЛИКАНСКАЯ МУЗЫКАЛЬНАЯ ШКОЛА ДОПОЛНИТЕЛЬНОЕ ОБРАЗОВАНИЕ,Вакансия опубликована 8 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80191438
Начинающий специалист,40,от 150 000 KZT до вычета налогов,не требуется,ИП Раипов А.А.,Вакансия опубликована 4 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Клиентоориентированность;Умение работать в команде;Мобильность;Умение принимать решения;,https://almaty.hh.kz/vacancy/80078245
Подсобник на производство,40,от 150 000 KZT на руки,не требуется,ТОО Алматинская матрасная фабрика,Вакансия опубликована 3 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80016554
Торговый представитель,129,от 250 000 до 500 000 KZT на руки,не требуется,ИП KUB Trade,Вакансия опубликована 16 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Поиск и привлечение клиентов;работа с текущей базой клиентов;Мерчендайзинг;Традиционная розница;Современная розница;,https://almaty.hh.kz/vacancy/80475652
"Сервисный инженер по холодильному оборудованию, вентиляции и кондиционированию",162,от 200 000 KZT на руки,не требуется,ТОО ASIA KRAFT TECHNOLOGY,Вакансия опубликована 12 мая 2023 в Алматы,"Алматы, проспект Райымбека, 200/6",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/77120730
Ведущий юрист,146,от 120 000 до 250 000 KZT до вычета налогов,не требуется,ТОО Infinity Logistic,Вакансия опубликована 18 мая 2023 в Алматы,"Алматы, Райымбек батыра, проспект Суюнбая, 211",полный день,"Полная занятость, полный день",Грамотность;Деловая переписка;Работа с людьми;Составление договоров;Пользователь ПК;Грамотная речь;Деловая коммуникация;Работа в условиях многозадачности;Юриспруденция;Стремление к профессиональному росту;Знание действующего законодательства;Владение MS Office;Высокий уровень дисциплины;Нацелен на результат;Стабильность;,https://almaty.hh.kz/vacancy/80630904
Менеджер по продажам,40,от 150 000 до 400 000 KZT на руки,не требуется,ИП Климат Плюс,Вакансия опубликована 18 мая 2023 в Алматы,"Алматы, улица Толе Би, 304",полный день,"Полная занятость, полный день",Работа в команде;Грамотность;Электронная почта;Работа с клиентами;Поиск информации в интернет;Ведение клиентской базы;Google Docs;Грамотная устная и письменная речь;Инстаграм;Canva;,https://almaty.hh.kz/vacancy/79512170
"Футеровщик, хим защитные работы, работа на таркрет установке / Разнорабочий",59,от 200 000 до 300 000 KZT на руки,не требуется,ТОО ByTaKo,Вакансия опубликована 29 апреля 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79939866
Помощник менеджера по продажам,54,от 100 000 до 250 000 KZT на руки,не требуется,ТОО Хим-База,Вакансия опубликована 18 мая 2023 в Алматы,"Алматы, улица Толе Би, 305",полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Грамотная речь;Телефонные переговоры;Консультирование клиентов по телефону;Работа с большим объемом информации;Холодные продажи;Работа с людьми;телефонные продажи;,https://almaty.hh.kz/vacancy/79465847
Технический специалист,111,з/п не указана,не требуется,ТОО Секвест,Вакансия опубликована 16 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80467631
