Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Агент по бронированию и выписке авиабилетов,40,з/п не указана,ТОО Global Air,Вакансия опубликована 17 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Умение работать с клиентами;Умение работать в условиях многозадачности;Выписка групповых авиабилетов;Системы бронирования;Ведение деловой переписки;MS Outlook;Amadeus;Авиабилеты;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/79918479,,
Рентген-лаборант,40,от 170 000 KZT на руки,ТОО Voxel-Kazakhstan,Вакансия опубликована 22 мая 2023 в Караганде,"Караганда, улица Ерубаева, 58",гибкий график,Полная занятость,Работа в команде;Грамотная речь;,https://almaty.hh.kz/vacancy/80832223,,
Торговый представитель,129,от 150 000 до 380 000 KZT до вычета налогов,ТОО Dizzy,Вакансия опубликована 29 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Ответственность;Коммуникабельность;дисциплинированность;Целеустремленность;,https://almaty.hh.kz/vacancy/80264440,,
Менеджер учебного процесса,40,от 140 000 до 200 000 KZT на руки,ТОО ITSTEP Academy Almaty,Вакансия опубликована 17 мая 2023 в Караганде,"Караганда, проспект Бухар Жырау, 75/3",полный день,Полная занятость,Грамотная речь;Пользователь ПК;Организаторские навыки;Работа в команде;Работа с большим объемом информации;Умение разрешить конфликтную ситуацию;Деловая переписка;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/80556764,,
Администратор сервиса,8,от 200 000 KZT на руки,ТОО Кристалл Авто,Вакансия опубликована 24 мая 2023 в Караганде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/78806797,,
Оператор ПК,84,от 130 000 до 180 000 KZT до вычета налогов,"ИП Print Shop, ТМ (Черемухина, ИП)",Вакансия опубликована 15 мая 2023 в Караганде,"Караганда, проспект Нурсултана Назарбаева, 47",полный день,Полная занятость,CorelDRAW;Компас-3D;Грамотность;,https://almaty.hh.kz/vacancy/80405282,,IT
Помощник на подачу пива,40,от 80 000 до 100 000 KZT на руки,ИП AV Company,Вакансия опубликована 15 мая 2023 в Караганде,"Караганда, проспект Шахтёров, 52",полный день,Частичная занятость,Работа в команде;Грамотная речь;Активный;,https://almaty.hh.kz/vacancy/80424367,,
Системный администратор,113,от 170 000 KZT на руки,"ТОО Олимп КДЛ, ТМ (ТОО Мырза Хан)",Вакансия опубликована 26 мая 2023 в Караганде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81069075,,IT
Торговый представитель,129,от 240 000 до 300 000 KZT до вычета налогов,"Радуга, ТОО (Компания Raduga KDR)",Вакансия опубликована 24 мая 2023 в Караганде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80921968,,
Администратор салона красоты,8,от 90 000 KZT на руки,ТОО Евротехно Логистик,Вакансия опубликована 19 мая 2023 в Караганде,"Караганда, улица Ерубаева, 7",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80688173,,
