Должность,professionalroleidЗарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Ночной флорист,40,от 140 000 до 200 000 KZT до вычета налогов,не требуется,ТОО ROMANTIC-TDK,Вакансия опубликована 12 мая 2023 в Талдыкоргане,"Талдыкорган, улица Акын Сара, 155",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80355942
Сервисный инженер,111,з/п не указана,не требуется,ТОО Neo Service,Вакансия опубликована 15 мая 2023 в Талдыкоргане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80400755
