Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Оператор стана в цех по производству сэндвич-панелей,85,от 150 000 KZT до вычета налогов,ТОО Агран,Вакансия опубликована 26 мая 2023 в Уральске,посёлок Желаево,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81104896,,Сервисное обслуживание/производство
Бухгалтер-кассир,18,от 200 000 KZT до вычета налогов,ТОО PKF Оценка собственности,Вакансия опубликована 29 мая 2023 в Уральске,"Уральск, проспект Нурсултана Назарбаева, 166",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81201348,,Финансы
Кофе-леди / кофе-мен,40,з/п не указана,ТОО Hazar Motors,Вакансия опубликована 25 мая 2023 в Уральске,Алматы,сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/81039954,,
Администратор,8,от 200 000 KZT на руки,ТОО Q4TULPAR_AUTO,Вакансия опубликована 17 мая 2023 в Уральске,Алматы,полный день,Полная занятость,Умение вести переговоры;Общение;Способность быстро обучаться;Разрешать конфликтные ситуации;Телефонные переговоры;Компетентность;Готовность к командному труду;Стремление к развитию и профессиональному росту;Приветливость;,https://almaty.hh.kz/vacancy/80553304,,
Агент по бронированию и выписке авиабилетов,40,з/п не указана,ТОО Global Air,Вакансия опубликована 17 мая 2023 в Уральске,"Уральск, проспект Нурсултана Назарбаева, 148",сменный график,Частичная занятость,Деловая переписка;Телефонные переговоры;Грамотная речь;Английский язык;Amadeus;Авиабилеты;Деловое общение;Работа с большим объемом информации;MS Outlook;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/79076222,,
Рекрутер / менеджер по подбору персонала,118,от 200 000 до 500 000 KZT до вычета налогов,Workle Pro,Вакансия опубликована 25 мая 2023 в Уральске,Алматы,полный день,Частичная занятость,Подбор персонала;Рекрутмент;,https://almaty.hh.kz/vacancy/81013345,,Менеджмент
Специалист отдела снабжения,66,з/п не указана,ТОО A.Priori,Вакансия опубликована 10 мая 2023 в Уральске,"Уральск, Полевая улица, 5",полный день,Полная занятость,Офисные программы;Журнал учёта ТМЦ;Умение работать в условиях многозадачности;Планирование и организация;Правильно расставлять приоритеты;Заключение договоров;,https://almaty.hh.kz/vacancy/80208608,,Менеджмент
Регистратор,8,от 100 000 до 200 000 KZT на руки,"ТОО Олимп КДЛ, ТМ (ТОО Мырза Хан)",Вакансия опубликована 4 мая 2023 в Уральске,Алматы,полный день,Полная занятость,Консультирование клиентов;Консультирование клиентов по телефону;работа с физическими лицами;Пользователь ПК;оформление заказов;,https://almaty.hh.kz/vacancy/80082739,,
Администратор офиса,8,з/п не указана,ТОО NOVATEQ-GROUP,Вакансия опубликована 11 мая 2023 в Уральске,Алматы,полный день,Полная занятость,Английский язык;Письменный перевод;MS Outlook;Делопроизводство;Входящая корреспонденция;Грамотность;Протоколирование;Деловая корреспонденция;Административная поддержка руководителя;исходящая корреспонденция;Внутренняя документация;Заказ такси;Бронирование билетов;Бронирование гостиниц;Обеспечение жизнедеятельности офиса;,https://almaty.hh.kz/vacancy/80271919,,
Электромонтажник/Монтажник,143,от 395 000 до 620 000 KZT на руки,ЗАО ЭнергоСтрой,Вакансия опубликована 29 мая 2023 в Уральске,Алматы,Вахтовый метод,Полная занятость,Производство строительно-монтажных работ;Монтаж металлоконструкций;Пользователь ПК;Строительство;,https://almaty.hh.kz/vacancy/77697219,,Сервисное обслуживание/производство
Маркетолог,68,от 295 000 KZT до вычета налогов,ТОО Сауда-Интер,Вакансия опубликована 4 мая 2023 в Уральске,"Уральск, Туркестанская улица, 26",полный день,Полная занятость,ATL;BTL;Маркетинговые исследования;Маркетинговые коммуникации;Медиапланирование;,https://almaty.hh.kz/vacancy/80101815,,Менеджмент
Представитель по обслуживанию торговых аппаратов (подработка),129,з/п не указана,ТОО Торговая Компания Сатурн,Вакансия опубликована 25 мая 2023 в Уральске,Алматы,полный день,Частичная занятость,Пользователь ПК;Работа в команде;Материальная ответственность;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/81018814,,
Консультант,40,з/п не указана,АО Jusan Bank,Вакансия опубликована 23 мая 2023 в Уральске,Алматы,полный день,Полная занятость,Грамотная речь;Деловое общение;Ведение деловой переписки;Корпоративная этика;Знание компьютера;Умение работать в условиях многозадачности;,https://almaty.hh.kz/vacancy/79854602,,
Работник в столовую,94,от 100 000 до 130 000 KZT до вычета налогов,ТОО ОралСпецТехника,Вакансия опубликована 22 мая 2023 в Уральске,"поселок Зачаганск, улица 7-й километр",полный день,Полная занятость,Умение работать в команде;Дружелюбность;,https://almaty.hh.kz/vacancy/80797475,,
Мерчендайзер по работе с ключевыми клиентами,77,от 180 000 KZT до вычета налогов,ТОО RG Brands Kazakhstan,Вакансия опубликована 24 мая 2023 в Уральске,Алматы,полный день,Полная занятость,Мерчандайзинг;Выкладка товаров;,https://almaty.hh.kz/vacancy/80936086,,
Рабочий на производство (Московская область),85,от 60 000 до 120 000 руб. на руки,ООО Транспортные Технологии,Вакансия опубликована 29 мая 2023 в Уральске,"деревня Валищево, территория промышленного парка Валищево, 3",Вахтовый метод,Полная занятость,E9,https://almaty.hh.kz/vacancy/81239761,,Сервисное обслуживание/производство
Тайный проверяющий,40,з/п не указана,ООО 4Service Holdings GmbH,Вакансия опубликована 26 мая 2023 в Уральске,Алматы,полный день,Частичная занятость,E9,https://almaty.hh.kz/vacancy/81067020,,
