Должность,professionalroleidЗарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Администратор фитнес-клуба Orange Area,8,от 250 000 KZT на руки,не требуется,ИП Джерихов С.В.,Вакансия опубликована 11 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, проспект Ауэзова, 1/1",сменный график,"Полная занятость, сменный график",Грамотная речь;Пользователь ПК;Деловое общение;Навыки продаж;Телефонные переговоры;Прием и распределение телефонных звонков;,https://almaty.hh.kz/vacancy/79665776
Сотрудник по обновлению карты,40,от 300 000 до 490 000 KZT на руки,не требуется,ИП Строганова Ольга Владимировна,Вакансия опубликована 25 апреля 2023 в Усть-Каменогорске,Алматы,гибкий график,"Полная занятость, гибкий график",Внимательность;Ответственность;Коммуникабельность;Работа с телефоном;Телеграм;,https://almaty.hh.kz/vacancy/79773121
Координатор промо активностей в г. Усть-Каменогорск,71,з/п не указана,не требуется,ТОО Pro Triniti,Вакансия опубликована 14 мая 2023 в Усть-Каменогорске,Алматы,гибкий график,"Частичная занятость, гибкий график",Работа в команде;Организаторские навыки;Проведение промо акций;Подбор персонала;Документальное сопровождение;Контроль работы промоутеров;Многозадачность;Подбор сотрудников;Закупка рекламных материалов;Деловая коммуникация;Организация промо акций;Умение планировать;Отчетность;,https://almaty.hh.kz/vacancy/79969134
Уборщик производственных и служебных помещений,40,от 92 232 до 92 500 KZT до вычета налогов,не требуется,"АО УМЗ, АО",Вакансия опубликована 17 апреля 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79355146
