Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Вечерний Администратор офиса,8,от 100 000 до 100 000 KZT на руки,не требуется,ТОО Smartschool,Вакансия опубликована 28 мая 2023 в Алматы,"Алматы, микрорайон Самал-2, улица Жолдасбекова, 9А",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80230904,,
Дизайнер,34,з/п не указана,не требуется,ТОО Subaru Kazakhstan,Вакансия опубликована 29 мая 2023 в Алматы,"Алматы, проспект Аль-Фараби, 107",полный день,Полная занятость,Английский — A1 — Начальный;,https://almaty.hh.kz/vacancy/80890881,,Искусство
Декоратор,40,от 170 000 до 270 000 KZT до вычета налогов,не требуется,Airstudio,Вакансия опубликована 2 мая 2023 в Алматы,"Якутск, улица Короленко, 25",полный день,Полная занятость,Работа в команде;творческое мышление;Учет товаров;оформление заказов;,https://almaty.hh.kz/vacancy/79988649,,
Монтажник слаботочных и эектрических систем,143,от 150 000 до 250 000 KZT на руки,не требуется,ТОО ЯСАР,Вакансия опубликована 27 мая 2023 в Алматы,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/79845693,,Сервисное обслуживание/производство
Специалист по сопровождению (логистика),67,от 1 000 USD на руки,не требуется,SWG,Вакансия опубликована 11 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Английский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80322167,,
Аналитик,10,от 200 000 KZT на руки,не требуется,ТОО AlCom Engineering Group,Вакансия опубликована 15 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Инициативность;Самостоятельность;Исполнительность;Аналитический склад ума;,https://almaty.hh.kz/vacancy/80440501,,IT
Менеджер по продажам виз,54,от 300 000 до 2 000 000 KZT на руки,не требуется,ТОО Job&Trip Company,Вакансия опубликована 29 мая 2023 в Алматы,"Алматы, улица Мынбаева, 53",полный день,Полная занятость,Пользователь ПК;Грамотная речь;Работа в команде;Деловая переписка;Продажи физическим лицам;Английский — A1 — Начальный;,https://almaty.hh.kz/vacancy/80580930,,Менеджмент
Практикант / стажер,40,з/п не указана,не требуется,Sulpak,Вакансия опубликована 25 мая 2023 в Алматы,"Алматы, проспект Жибек Жолы, 135",полный день,Стажировка,Грамотная речь;Желание учиться и развиваться;Желание обучаться;,https://almaty.hh.kz/vacancy/79130053,,
Менеджер консьерж-сервиса ресепшн в Esentai Mall,40,до 200 000 KZT на руки,не требуется,ИП SCHOOL OF RETAIL,Вакансия опубликована 16 мая 2023 в Алматы,Алматы,сменный график,Полная занятость,"работа с VIP клиентами;Навыки межличностного общения;Грамотная устная и письменная речь;Ответственность и пунктуальность;Коммуникабельность, ответственность;Высокая стрессоустойчивость;Высокая энергичность;Навыки обслуживания клиентов;",https://almaty.hh.kz/vacancy/80514030,,
Начинающий менеджер по работе с маркетплейсами,84,от 250 000 до 300 000 KZT до вычета налогов,не требуется,Qualitica,Вакансия опубликована 29 мая 2023 в Алматы,"Алматы, улица Муратбаева, 61",полный день,Полная занятость,Грамотная речь;Розничная торговля;Exсel;Маркетплейсы;Контент-менеджер;Английский — A2 — Элементарный;,https://almaty.hh.kz/vacancy/79968107,,IT
Делопроизводитель,117,от 200 000 до 250 000 KZT на руки,не требуется,ИП G-Top,Вакансия опубликована 28 мая 2023 в Алматы,"Алматы, проспект Аль-Фараби, 7к4А",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80822204,,Менеджмент
