Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Администратор офиса,8,до 220 000 KZT до вычета налогов,ТОО Алкан-Азия-Мунай-Сервис,Вакансия опубликована 3 мая 2023 в Актобе,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80022615,,
Специалист по сбору информации,40,з/п не указана,ТОО 2GIS Aktobe,Вакансия опубликована 24 мая 2023 в Актобе,"Актобе, проспект Абилкайыр Хана, 44/3",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80925669,,
Учитель начальных классов,132,от 150 000 до 200 000 KZT до вычета налогов,ТОО LONDON-EC,Вакансия опубликована 11 мая 2023 в Актобе,Алматы,полный день,Полная занятость,Работа в команде;Грамотность;Обучение;,https://almaty.hh.kz/vacancy/80279491,,
Администратор стоматологии,8,от 100 000 до 160 000 KZT на руки,ИП САУГАБАЕВА Ә.Т,Вакансия опубликована 2 мая 2023 в Актобе,Алматы,сменный график,Полная занятость,Пользователь ПК;Работа в команде;Грамотность;Деловое общение;Английский — A1 — Начальный;,https://almaty.hh.kz/vacancy/79963982,,
Медсестра/Медбрат,64,от 100 000 до 120 000 KZT до вычета налогов,ТОО ЦЕНТР ТРАДИЦИОННОЙ ВОСТОЧНОЙ МЕДИЦИНЫ АҚҚУ,Вакансия опубликована 29 мая 2023 в Актобе,"Актобе, ул. Рыскулова 198, Актобе 030000",полный день,Полная занятость,Грамотная речь;Умение работать в коллективе;,https://almaty.hh.kz/vacancy/81204419,,Медицина
Помощник воспитателя,132,от 90 000 до 90 000 KZT на руки,ИП Курманбаев Жаслан,Вакансия опубликована 15 мая 2023 в Актобе,"Актобе, 58 проспект Абулхаир хана",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80434557,,
Администратор,8,от 120 000 до 120 000 KZT до вычета налогов,ИП Podospecific_Aktobe,Вакансия опубликована 15 мая 2023 в Актобе,Алматы,сменный график,Полная занятость,"Дружелюбие, продажи, работа на результат;Русский — C2 — В совершенстве;Казахский — C2 — В совершенстве;",https://almaty.hh.kz/vacancy/80413966,,
Менеджер по туризму,72,от 150 000 до 450 000 KZT до вычета налогов,ТОО ATour Aktobe,Вакансия опубликована 22 мая 2023 в Актобе,Алматы,полный день,Полная занятость,Пользователь ПК;Грамотная речь;Консультирование;Навыки продаж;Деловое общение;Ориентация на результат;Обучение и развитие;умение работать в команде;Клиентоориентированность;,https://almaty.hh.kz/vacancy/80798663,,
Медсестра / Медбрат (Фармацевт) в оптику,64,от 200 000 до 280 000 KZT на руки,ТОО Оптика Народная,Вакансия опубликована 20 мая 2023 в Актобе,"Актобе, улица Шокана Уалиханова, 14",полный день,Полная занятость,Пользователь ПК;Работа в команде;Деловое общение;Грамотность;Работа с клиентами;,https://almaty.hh.kz/vacancy/80765238,,Медицина
Преподаватель английского языка,132,от 180 000 до 250 000 KZT на руки,ТОО RONALYN ENGLISH ACADEMY | IELTS CENTRE (РОНАЛИН ИНГЛИШ АКАДЕМИ | АЙЛТС ЦЕНТР),Вакансия опубликована 13 мая 2023 в Актобе,"Актобе, улица Маресьева, 89",гибкий график,Полная занятость,Английский язык;Знание методов преподавания;Творческий подход к обучению;,https://almaty.hh.kz/vacancy/80382115,,
Менеджер по продажам,8,от 80 000 до 100 000 KZT на руки,ИП Jasmin dance studio,Вакансия опубликована 15 мая 2023 в Актобе,"Актобе, 43 улица Ибатова",гибкий график,Полная занятость,Материальная ответственность;Пунктуальность;Ответственность;Коммуникабельность;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/80426476,,
Юрист начального уровня,146,от 80 000 до 100 000 KZT до вычета налогов,ТОО ЛедСтарМедиа-24,Вакансия опубликована 23 мая 2023 в Актобе,Алматы,полный день,Полная занятость,Заключение договоров;Телефонные переговоры;Деловое общение;Работа с людьми;Работа с компьютером;Пользователь ПК;,https://almaty.hh.kz/vacancy/80871898,,
Помощник частного судебного исполнителя,146,от 70 000 до 100 000 KZT на руки,Частный судебный исполнитель Саламов Н.С,Вакансия опубликована 17 мая 2023 в Актобе,"Актобе, проспект Абилкайыр Хана, 2",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80577134,,
Инженер-проектировщик,48,от 120 000 до 350 000 KZT на руки,ТОО Kraft Corporation,Вакансия опубликована 2 мая 2023 в Актобе,"Актобе, улица Маресьева, 95",полный день,Полная занятость,AutoCAD;Autodesk Revit;Моделирование;Строительство;Умение работать с чертежами;,https://almaty.hh.kz/vacancy/79979109,,Сервисное обслуживание/производство
Помощник проектировщика,48,от 80 000 до 100 000 KZT на руки,ТОО КазПромСтройГрупп,Вакансия опубликована 11 мая 2023 в Актобе,"Актобе, улица Бокенбай Батыра, 21",полный день,Полная занятость,Проектная деятельность;Работа в условиях многозадачности;Проектная работа;Работа с большим пулом запросов;Умение работать в условиях многозадачности;,https://almaty.hh.kz/vacancy/80270321,,Сервисное обслуживание/производство
Стажёр 1С,96,з/п не указана,ТОО АктивСофт,Вакансия опубликована 21 мая 2023 в Актобе,"Актобе, проспект Абилкайыр Хана, 46А",полный день,Стажировка,E9,https://almaty.hh.kz/vacancy/77212994,,IT
Прораб/начальник участка,100,з/п не указана,ТОО Стройком+Сервис,Вакансия опубликована 21 мая 2023 в Актобе,Алматы,полный день,Полная занятость,Управление производством;Проектная документация;Управление проектами;Ведение документации;Контроль качества;,https://almaty.hh.kz/vacancy/80773704,,
Специалист по планированию,40,з/п не указана,"Имсталькон, АО",Вакансия опубликована 19 мая 2023 в Актобе,Алматы,полный день,Полная занятость,MS Project;,https://almaty.hh.kz/vacancy/80688622,,
Менеджер по туризму,72,от 100 000 до 350 000 KZT до вычета налогов,ТОО ТАБЫС-ӘЛЕМ,Вакансия опубликована 25 мая 2023 в Актобе,Алматы,полный день,Полная занятость,Пользователь ПК;Грамотная речь;Консультирование клиентов;Навыки продаж;Навыки делового общения;Опыт продаж;Умение общаться с людьми;Работа в команде;Клиентоориентированность;,https://almaty.hh.kz/vacancy/81018367,,
Менеджер по туризму,72,от 60 000 до 300 000 KZT на руки,ИП ATLANTIS TRAVEL,Вакансия опубликована 1 мая 2023 в Актобе,"Актобе, проспект Абилкайыр Хана, 44Б",полный день,Полная занятость,Ориентация на результат;Деловая коммуникация;Консультирование клиентов по телефону;CRM;Деловая переписка;Грамотность;Клиентоориентированность;Пользователь ПК;Грамотная речь;Навыки продаж;Заключение договоров;Телефонные переговоры;Работа с возражениями;Активные продажи;исходящие звонки;входящие звонки;Навыки работы с возражениями;Навыки телефонных продаж;,https://almaty.hh.kz/vacancy/79948968,,
Экономист,142,з/п не указана,Филиал Актюбинская противочумная станция РГП на ПХВ ННЦООИ имени М.Айкимбаева МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РК,Вакансия опубликована 12 мая 2023 в Актобе,Алматы,полный день,Полная занятость,Работа с ПК;Грамотность;Работа с компьютером;Способность работать с документами;,https://almaty.hh.kz/vacancy/80331945,,Финансы
Оператор в Call-Центр,84,от 90 000 до 120 000 KZT на руки,ИП Ai- St,Вакансия опубликована 23 мая 2023 в Актобе,"Актобе, улица Амангельды Кусжанова, 30",полный день,Полная занятость,Пользователь ПК;Грамотная речь;Работа в команде;Работа с большим объемом информации;Прием и распределение телефонных звонков;,https://almaty.hh.kz/vacancy/80903118,,IT
Менеджер по продажам туристических услуг,72,от 70 000 до 300 000 KZT до вычета налогов,ИП ADAIKYZ,Вакансия опубликована 10 мая 2023 в Актобе,"Актобе, проспект Абилкайыр Хана, 61",полный день,Полная занятость,Активные продажи;,https://almaty.hh.kz/vacancy/80241949,,
Менеджер проекта,107,от 70 000 KZT на руки,ТОО AD Building Group,Вакансия опубликована 15 мая 2023 в Актобе,"Актобе, улица Нагашбай Шайкенова, 13А",полный день,Полная занятость,Поиск информации в интернет;Internet;Google Chrome;Знание MS Office;Стремление развиваться;Проектная работа;Умение работать с большим количеством информации;Пользователь ПК;Составление договоров;Умение работать в коллективе;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/80407785,,IT
