Должность,professionalroleidЗарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Сотрудник по обновлению карты,40,от 300 000 до 490 000 KZT на руки,не требуется,ИП Строганова Ольга Владимировна,Вакансия опубликована 25 апреля 2023 в Павлодаре,Алматы,гибкий график,"Полная занятость, гибкий график",Внимательность;Ответственность;Коммуникабельность;Работа с телефоном;Телеграм;,https://almaty.hh.kz/vacancy/79773117
Мерчендайзер,77,от 200 000 до 250 000 KZT на руки,не требуется,ИП Талан,Вакансия опубликована 3 мая 2023 в Павлодаре,Павлодар,полный день,"Полная занятость, полный день",Работа в команде;Грамотная речь;Способность обучать других;Электронная почта;,https://almaty.hh.kz/vacancy/80059769
