Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Кредитный менеджер,57,от 150 000 до 200 000 KZT на руки,не требуется,ТОО Микрофинансовая организация Робокэш.кз,Вакансия опубликована 25 мая 2023 в Петропавловске,Алматы,полный день,"Полная занятость, полный день",Грамотная речь;Клиентоориентированность;Грамотность;Работа с людьми;Умение расставлять приоритеты;Уверенный пользователь ПК;Желание обучаться;,https://almaty.hh.kz/vacancy/80033621
Заместитель заведующего производством,94,з/п не указана,не требуется,ТОО MAGNUM. Команда магазинов/Дүкендер командасы,Вакансия опубликована 11 мая 2023 в Петропавловске,"Петропавловск, улица Муканова, 53",полный день,"Полная занятость, полный день",Грамотность;Работа с людьми;Умение изучать;Выносливость;Желание обучаться;Умение проявлять гибкость;,https://almaty.hh.kz/vacancy/80301853
Медицинский представитель,65,от 180 000 до 500 000 KZT на руки,не требуется,ТОО Новатор Фарма,Вакансия опубликована 28 апреля 2023 в Петропавловске,Алматы,полный день,"Полная занятость, полный день",Навыки продаж;Коммуникативные навыки;Навыки презентации;Работа в команде;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/79921024
Медицинский представитель,65,от 180 000 до 500 000 KZT на руки,не требуется,ТОО Новатор Фарма,Вакансия опубликована 25 мая 2023 в Петропавловске,Алматы,полный день,"Полная занятость, полный день",Навыки продаж;Коммуникативные навыки;Навыки презентации;Работа в команде;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/80996485
Инженер по охране труда и технике безопасности,45,от 200 000 KZT на руки,не требуется,ТОО НурСен Агро,Вакансия опубликована 25 мая 2023 в Петропавловске,Алматы,полный день,"Полная занятость, полный день",Охрана труда;Обеспечение техники безопасности;Охрана труда и техника безопасности;,https://almaty.hh.kz/vacancy/80242393
Специалист по лицензированию и сертификации,40,от 165 000 KZT до вычета налогов,не требуется,"Завод им.С.М.Кирова, АО",Вакансия опубликована 3 мая 2023 в Петропавловске,"Петропавловск, Партизанская улица, 48",полный день,"Полная занятость, полный день",Пользователь ПК;Умение работать в команде;Поиск информации в интернет;Ответственный подход к работе;Работа с ПК;Ответственность и пунктуальность;,https://almaty.hh.kz/vacancy/80035638
Помощник технолога,93,от 200 000 KZT на руки,не требуется,ТОО Швейная фабрика Прогресс,Вакансия опубликована 27 мая 2023 в Петропавловске,"Петропавловск, Интернациональная улица, 2",полный день,"Полная занятость, полный день",Английский язык (Upper-Intermediate);Работа с компьютером;Уверенный пользователь ПК;Умение организовать работу;Стремление развиваться;,https://almaty.hh.kz/vacancy/80050468
Бухгалтер материального стола,18,от 200 000 до 250 000 KZT до вычета налогов,не требуется,ТОО Швейная фабрика Прогресс,Вакансия опубликована 27 мая 2023 в Петропавловске,"Петропавловск, Интернациональная улица, 2",полный день,"Полная занятость, полный день",Сверка взаиморасчетов с поставщиками товаров и услуг;Работа с дебиторской задолженностью;1С: Предприятие 8;реализация товаров и услуг;Контроль дебиторской задолженности;Списание ТМЦ;Основные средства;Учет поступающих ТМЦ;,https://almaty.hh.kz/vacancy/80018837
Контролер,40,от 100 000 до 110 000 KZT на руки,не требуется,АО TECHNODOM Operator (Технодом Оператор),Вакансия опубликована 16 мая 2023 в Петропавловске,Алматы,сменный график,"Полная занятость, сменный график",Охрана объекта;способность обучать других;умение работать в команде;Технические системы и средства безопасности;,https://almaty.hh.kz/vacancy/80022160
Ветеринарный врач,19,з/п не указана,не требуется,ТОО Булаево Агро,Вакансия опубликована 27 мая 2023 в Петропавловске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80040633
