Должность,professionalroleidЗарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Сотрудник по обновлению карты,40,от 300 000 до 490 000 KZT на руки,не требуется,ИП Строганова Ольга Владимировна,Вакансия опубликована 25 апреля 2023 в Кызылорде,Алматы,гибкий график,"Полная занятость, гибкий график",Внимательность;Ответственность;Коммуникабельность;Работа с телефоном;Телеграм;,https://almaty.hh.kz/vacancy/79773113
Администратор автосалона,8,от 100 000 до 150 000 KZT на руки,не требуется,ТОО TURAN AUTO KZ,Вакансия опубликована 4 мая 2023 в Кызылорде,"Кызылорда, проспект Нурсултана Назарбаева, 28",полный день,"Полная занятость, полный день",Пользователь ПК;Русский и казахский языки;,https://almaty.hh.kz/vacancy/80083644
