Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
"Менеджер-Оценщик (Ломбард / МФО, район Индер)",137,от 180 000 до 200 000 KZT до вычета налогов,не требуется,ТОО МФО LFTech (ТМ Деньги Маркет),Вакансия опубликована 11 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Деловое общение;Обучение и развитие;Ориентация на результат;,https://almaty.hh.kz/vacancy/80275400
Ведущий инженер,40,з/п не указана,не требуется,АО Народный банк Казахстана,Вакансия опубликована 11 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день",Умение работать в команде;Техническая документация;Аналитические способности;Аварийно-восстановительные работы;,https://almaty.hh.kz/vacancy/80280923
Оператор отдела оперативного учета,84,з/п не указана,не требуется,ТОО Идеал Трейд Маркет,Вакансия опубликована 25 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80413194
Пекарь,94,от 137 000 KZT до вычета налогов,не требуется,ТОО Идеал Трейд Маркет,Вакансия опубликована 26 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день",Организация рабочего процесса;Работа в команде;,https://almaty.hh.kz/vacancy/81106875
Выездной кассир кассы пересчета,40,з/п не указана,не требуется,АО Народный банк Казахстана,Вакансия опубликована 26 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/78960268
"IT-наставник для детей по разработке игр (Minecraft, Roblox)",96,до 80 000 руб. на руки,не требуется,Skyeng,Вакансия опубликована 10 мая 2023 в Атырау,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Разработка компьютерных Игр;Minecraft;Roblox;Программирование для детей;Преподаватель;Преподавание;Обучение;,https://almaty.hh.kz/vacancy/80255600
"Кредитный специалист, г.Атырау",57,от 120 000 KZT на руки,не требуется,ТОО МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ SOFI FINANCE (СОФИ ФИНАНС),Вакансия опубликована 12 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день",Консультирование клиентов;Составление отчетности;Ориентация на результат;Кредитные договоры;,https://almaty.hh.kz/vacancy/80331942
Оператор 1С,84,от 140 000 KZT на руки,не требуется,ТОО Торговый Дом Ярмарка,Вакансия опубликована 26 мая 2023 в Атырау,"Атырау, проспект Азаттык, 113",полный день,"Полная занятость, полный день",Пользователь ПК;Работа с большим объемом информации;Работа с документами;Internet;Поиск информации в интернет;,https://almaty.hh.kz/vacancy/69265079
Промоутер-консультант/Хостес (табачный бренд),140,от 144 000 до 200 000 KZT на руки,не требуется,ТОО CONTINEO,Вакансия опубликована 28 мая 2023 в Атырау,Алматы,полный день,"Частичная занятость, полный день",Работа в команде;Проведение презентаций;Ведение переговоров;Грамотная речь;Активные продажи;,https://almaty.hh.kz/vacancy/80684046
Повар-продавец по приготовлению блинов (Блинщица),94,от 120 000 до 130 000 KZT на руки,не требуется,ТОО Торговый Дом Ярмарка,Вакансия опубликована 26 мая 2023 в Атырау,"Атырау, проспект Азаттык, 113",полный день,"Полная занятость, полный день",Пользователь ПК;,https://almaty.hh.kz/vacancy/71998634
