Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Оператор заправочных станций,40,от 80 000 KZT на руки,ТОО QazaqOil (PetroRetail),Вакансия опубликована 25 мая 2023 в Семее,Алматы,сменный график,Полная занятость,Работа в команде;Навыки работы с первичной документацией;Умение работать в коллективе;,https://almaty.hh.kz/vacancy/79829410,,
Тайный покупатель (съёмка видео),20,з/п не указана,Яндекс Крауд,Вакансия опубликована 5 мая 2023 в Семее,Алматы,полный день,Частичная занятость,E9,https://almaty.hh.kz/vacancy/75959654,,Массмедиа
Машинист бульдозера,63,от 130 000 до 130 000 руб. на руки,ООО Дорожно-строительный трест № 1,Вакансия опубликована 22 мая 2023 в Семее,Алматы,Вахтовый метод,Полная занятость,E9,https://almaty.hh.kz/vacancy/79700222,,
"Тайный покупатель, удаленно",40,з/п не указана,ТОО PLAN business consult,Вакансия опубликована 2 мая 2023 в Семее,Алматы,удаленная работа,Частичная занятость,Грамотная речь;Ответственность;,https://almaty.hh.kz/vacancy/79979817,,
Администратор салона красоты,8,от 70 000 до 150 000 KZT до вычета налогов,ИП Кошкина Александра Николаевна,Вакансия опубликована 25 мая 2023 в Семее,Алматы,полный день,Полная занятость,Пользователь ПК;Работа в команде;Грамотная речь;Навыки работы с возражениями;,https://almaty.hh.kz/vacancy/81005842,,
Менеджер по туризму,72,з/п не указана,ТОО ПСН Семей 1,Вакансия опубликована 28 мая 2023 в Семее,Алматы,полный день,Полная занятость,Поиск и привлечение клиентов;Работа в команде;Грамотная речь;оформление документации;Активные продажи;Работа с большим объемом информации;Умение пользоваться телеграмм и инстаграмм;,https://almaty.hh.kz/vacancy/81177875,,
Видеограф/мобилограф,20,от 60 000 KZT на руки,ТОО Zerek education center,Вакансия опубликована 3 мая 2023 в Семее,"Семей, улица Глинки, 67",полный день,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80057225,,Массмедиа
Торговый представитель,129,от 170 000 до 270 000 KZT до вычета налогов,ТОО Ай-Ар,Вакансия опубликована 23 мая 2023 в Семее,"Семей, улица Жанатай улы, 1",полный день,Полная занятость,Грамотная речь;Коммуникабельность;Ответственность и пунктуальность;,https://almaty.hh.kz/vacancy/80855189,,
Помощник маркетолога в медицинскую клинику,68,от 150 000 до 150 000 KZT до вычета налогов,ТОО ТОО ПоликлиникаАндроМеда,Вакансия опубликована 2 мая 2023 в Семее,"Семей, улица Уранхаева, 60А",полный день,Полная занятость,Многозадачность;Креативность;Аналитическое мышление;,https://almaty.hh.kz/vacancy/79978364,,Менеджмент
Мерчендайзер на супермаркеты,77,от 100 000 до 130 000 KZT до вычета налогов,ТОО Докка-Семей,Вакансия опубликована 19 мая 2023 в Семее,"Семей, улица Сеченова, 7",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80711709,,
Швея-портной,141,от 100 000 KZT на руки,ТОО TEXTILPROM,Вакансия опубликована 25 мая 2023 в Семее,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81013904,,Сервисное обслуживание/производство
Техник по уборке помещений,40,от 111 000 KZT до вычета налогов,ТОО Аманат Газ,Вакансия опубликована 29 мая 2023 в Семее,Семей,полный день,Полная занятость,Уборка;Серьезность;Опрятность;Не конфликтность;,https://almaty.hh.kz/vacancy/81199325,,
Оператор химчистки и прачечной,40,от 120 000 KZT на руки,ТОО Семей-НОМАД,Вакансия опубликована 3 мая 2023 в Семее,"Семей, улица Ибраева, 149",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80021681,,
Торговый представитель эксклюзивного отдела продаж,129,от 150 000 KZT до вычета налогов,ТОО Kazakh National Brands,Вакансия опубликована 4 мая 2023 в Семее,Алматы,полный день,Полная занятость,"Работа в команде;Работа с ПК;Работа в условиях многозадачности;Способность к обучению и восприятию информации;Желание зарабатывать;Опрятный внешний вид;Коммуникабельность, ответственность;Ответственность и пунктуальность;Грамотная речь;",https://almaty.hh.kz/vacancy/80104670,,
