Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
"IT-наставник для детей по разработке игр (Minecraft, Roblox)",96,до 80 000 руб. на руки,не требуется,Skyeng,Вакансия опубликована 10 мая 2023 в Семее,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Разработка компьютерных Игр;Minecraft;Roblox;Программирование для детей;Преподаватель;Преподавание;Обучение;,https://almaty.hh.kz/vacancy/80255598
Мобильный агент по сбору информации для Я Go,40,з/п не указана,не требуется,Яндекс Крауд,Вакансия опубликована 5 мая 2023 в Семее,Алматы,гибкий график,"Частичная занятость, гибкий график",E9,https://almaty.hh.kz/vacancy/75960550
Тайный покупатель (съёмка видео),20,з/п не указана,не требуется,Яндекс Крауд,Вакансия опубликована 5 мая 2023 в Семее,Алматы,полный день,"Частичная занятость, полный день",E9,https://almaty.hh.kz/vacancy/75959654
Машинист бульдозера,63,от 130 000 до 130 000 руб. на руки,не требуется,ООО Дорожно-строительный трест № 1,Вакансия опубликована 22 мая 2023 в Семее,Алматы,Вахтовый метод,"Полная занятость, Вахтовый метод",E9,https://almaty.hh.kz/vacancy/79700222
"Тайный покупатель, удаленно",40,з/п не указана,не требуется,ТОО PLAN business consult,Вакансия опубликована 2 мая 2023 в Семее,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Грамотная речь;Ответственность;,https://almaty.hh.kz/vacancy/79979817
Администратор салона красоты,8,от 70 000 до 150 000 KZT до вычета налогов,не требуется,ИП Кошкина Александра Николаевна,Вакансия опубликована 25 мая 2023 в Семее,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Грамотная речь;Навыки работы с возражениями;,https://almaty.hh.kz/vacancy/81005842
Торговый представитель,129,от 170 000 до 270 000 KZT до вычета налогов,не требуется,ТОО Ай-Ар,Вакансия опубликована 23 мая 2023 в Семее,"Семей, улица Жанатай улы, 1",полный день,"Полная занятость, полный день",Грамотная речь;Коммуникабельность;Ответственность и пунктуальность;,https://almaty.hh.kz/vacancy/80855189
Видеограф/мобилограф,20,от 60 000 KZT на руки,не требуется,ТОО Zerek education center,Вакансия опубликована 3 мая 2023 в Семее,"Семей, улица Глинки, 67",полный день,"Частичная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80057225
Помощник маркетолога в медицинскую клинику,68,от 150 000 до 150 000 KZT до вычета налогов,не требуется,ТОО ТОО ПоликлиникаАндроМеда,Вакансия опубликована 2 мая 2023 в Семее,"Семей, улица Уранхаева, 60А",полный день,"Полная занятость, полный день",Многозадачность;Креативность;Аналитическое мышление;,https://almaty.hh.kz/vacancy/79978364
Мерчендайзер на супермаркеты,77,от 100 000 до 130 000 KZT до вычета налогов,не требуется,ТОО Докка-Семей,Вакансия опубликована 19 мая 2023 в Семее,"Семей, улица Сеченова, 7",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80711709
Швея-портной,141,от 100 000 KZT на руки,не требуется,ТОО TEXTILPROM,Вакансия опубликована 25 мая 2023 в Семее,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81013904
Оператор химчистки и прачечной,40,от 120 000 KZT на руки,не требуется,ТОО Семей-НОМАД,Вакансия опубликована 3 мая 2023 в Семее,"Семей, улица Ибраева, 149",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80021681
Торговый представитель эксклюзивного отдела продаж,129,от 150 000 KZT до вычета налогов,не требуется,ТОО Kazakh National Brands,Вакансия опубликована 4 мая 2023 в Семее,Алматы,полный день,"Полная занятость, полный день","Работа в команде;Работа с ПК;Работа в условиях многозадачности;Способность к обучению и восприятию информации;Желание зарабатывать;Опрятный внешний вид;Коммуникабельность, ответственность;Ответственность и пунктуальность;Грамотная речь;",https://almaty.hh.kz/vacancy/80104670
