Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Визитный мерчандайзер (подработка),77,от 50 000 до 50 000 KZT на руки,ТОО БТЛ МЫ (Планограмма),Вакансия опубликована 18 мая 2023 в Петропавловске,Алматы,гибкий график,Частичная занятость,Мерчандайзинг;Визуальный мерчандайзинг;Умение работать в команде;Торговый маркетинг;Работа с большим объемом информации;Работа с региональными сетями;Работа с магазинами премиум-класса;Ведение отчетности;Линейная выкладка товара;Блочная выкладка товара;Русский — B1 — Средний;,https://almaty.hh.kz/vacancy/80670945,,
Инженер,40,от 80 000 до 200 000 KZT на руки,ТОО Научнотехнологический центр воды,Вакансия опубликована 26 мая 2023 в Петропавловске,Алматы,полный день,Полная занятость,Точность и внимательность к деталям;Логическое мышление;Работа в команде;Желание работать и зарабатывать;Желание работать и развиваться;Заинтересованность;,https://almaty.hh.kz/vacancy/81071123,,
Торговый представитель,129,от 200 000 KZT на руки,ТОО КазАрстрой,Вакансия опубликована 27 мая 2023 в Петропавловске,Алматы,полный день,Полная занятость,Поиск и привлечение клиентов;работа с текущей базой клиентов;Мерчендайзинг;Холодные продажи;Традиционная розница;,https://almaty.hh.kz/vacancy/81149593,,
Мерчендайзер,77,от 180 000 KZT до вычета налогов,ТОО RG Brands Kazakhstan,Вакансия опубликована 29 мая 2023 в Петропавловске,Алматы,полный день,Полная занятость,Мерчандайзинг;Выкладка товаров;,https://almaty.hh.kz/vacancy/81245687,,
Ассистент менеджера,119,от 130 000 KZT до вычета налогов,ТОО Ультрамедтех КЗ,Вакансия опубликована 22 мая 2023 в Петропавловске,Алматы,полный день,Полная занятость,Прием входящих звонков;Уверенный пользователь ПК;Сопровождение клиентов;Работа с существующей базой клиентов;Деловое общение;Работа с договорами;Работа с компьютером;оформление документации;Грамотная речь;Работа в команде;Телефонные переговоры;,https://almaty.hh.kz/vacancy/80786925,,Менеджмент
Бухгалтер материального стола,18,от 170 000 до 190 000 KZT до вычета налогов,ИП Семенов Юрий Александрович,Вакансия опубликована 28 мая 2023 в Петропавловске,"Петропавловск, Советская улица, 37",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81023877,,Финансы
Помощник юриста,145,от 35 000 руб. на руки,BY business group,Вакансия опубликована 29 мая 2023 в Петропавловске,"Петропавловск, Интернациональная улица, 53",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81231958,,
"Мастер сервисного центра в ТЦ ""Рахмет""",162,до 170 000 KZT на руки,Спортмастер Казахстан,Вакансия опубликована 28 мая 2023 в Петропавловске,Алматы,сменный график,Полная занятость,Гарантийное обслуживание;Умение работать в команде;Консультирование клиентов;,https://almaty.hh.kz/vacancy/80787989,,Сервисное обслуживание/производство
Мерчендайзер,77,до 167 000 KZT на руки,ТОО Apple City Corps,Вакансия опубликована 25 мая 2023 в Петропавловске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81022655,,
Рыбообработчик,85,от 80 000 до 150 000 руб. на руки,Белова Татьяна Петровна,Вакансия опубликована 18 мая 2023 в Петропавловске,Алматы,Вахтовый метод,Полная занятость,E9,https://almaty.hh.kz/vacancy/80678643,,Сервисное обслуживание/производство
