Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Промоутер-консультант,129,от 150 000 до 200 000 KZT на руки,не требуется,ТОО Как в кино,Вакансия опубликована 26 мая 2023 в Караганде,Алматы,гибкий график,"Частичная занятость, гибкий график",Продажи;Навыки работы с возражениями;Деловое общение;Проведение опросов клиентов;Работа в команде;Обучение и развитие;Работа с людьми;Креативность;Творческое мышление;Работа с большим объемом информации;Умение общаться с людьми;Холодные продажи;Прямые продажи;Управление временем;Опыт продаж;Умение вести переговоры;Грамотная речь;,https://almaty.hh.kz/vacancy/79942864
Администратор ресепшен в отель SENATOR,8,з/п не указана,не требуется,ТОО Евротехно Логистик,Вакансия опубликована 23 мая 2023 в Караганде,"Караганда, проспект Нурсултана Назарбаева, 33/4",полный день,"Полная занятость, полный день",Английский язык;Грамотная речь;Работа в команде;Заинтересованность;способность быстро обучаться и легко воспринимать крупные объемы информации;,https://almaty.hh.kz/vacancy/78969342
Помощник кондитера,40,з/п не указана,не требуется,ТОО Мир ТорТини,Вакансия опубликована 16 мая 2023 в Караганде,"Караганда, улица Молокова, 47",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80502369
Рентген-лаборант,40,от 170 000 KZT на руки,не требуется,ТОО Voxel-Kazakhstan,Вакансия опубликована 22 мая 2023 в Караганде,"Караганда, улица Ерубаева, 58",гибкий график,"Полная занятость, гибкий график",Работа в команде;Грамотная речь;,https://almaty.hh.kz/vacancy/80832223
Помощник на подачу пива,40,от 80 000 до 100 000 KZT на руки,не требуется,ИП AV Company,Вакансия опубликована 15 мая 2023 в Караганде,"Караганда, проспект Шахтёров, 52",полный день,"Частичная занятость, полный день",Работа в команде;Грамотная речь;Активный;,https://almaty.hh.kz/vacancy/80424367
Системный администратор,113,от 170 000 KZT на руки,не требуется,"ТОО Олимп КДЛ, ТМ (ТОО Мырза Хан)",Вакансия опубликована 26 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81069075
Менеджер учебного процесса,40,от 140 000 до 200 000 KZT на руки,не требуется,ТОО ITSTEP Academy Almaty,Вакансия опубликована 17 мая 2023 в Караганде,"Караганда, проспект Бухар Жырау, 75/3",полный день,"Полная занятость, полный день",Грамотная речь;Пользователь ПК;Организаторские навыки;Работа в команде;Работа с большим объемом информации;Умение разрешить конфликтную ситуацию;Деловая переписка;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/80556764
Администратор интернет-кафе,8,от 110 000 до 150 000 KZT на руки,не требуется,Филиал League of Gentlemen в г. Караганда,Вакансия опубликована 27 мая 2023 в Караганде,"Караганда, улица Лободы, 29",полный день,"Полная занятость, полный день",Управление персоналом;Пользователь ПК;Административное управление;Администрирование;Способность быстро обучаться;Администратор;Работа с ПК;Работа в команде;Работа с персоналом;,https://almaty.hh.kz/vacancy/80582355
Администратор салона красоты,8,от 90 000 KZT на руки,не требуется,ТОО Евротехно Логистик,Вакансия опубликована 19 мая 2023 в Караганде,"Караганда, улица Ерубаева, 7",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80688173
Специалист по туризму (удаленно),121,от 400 до 800 USD до вычета налогов,не требуется,KIVORK,Вакансия опубликована 18 мая 2023 в Караганде,Алматы,удаленная работа,"Полная занятость, удаленная работа",Английский язык;Работа в команде;Обучение и развитие;Информационные технологии;информатика;математика;Аналитическое мышление;Системное мышление;технические задачи;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/80506030
Торговый представитель,129,от 150 000 до 380 000 KZT до вычета налогов,не требуется,ТОО Dizzy,Вакансия опубликована 10 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Ответственность;Коммуникабельность;дисциплинированность;Целеустремленность;,https://almaty.hh.kz/vacancy/80264440
Торговый представитель,129,от 240 000 до 300 000 KZT до вычета налогов,не требуется,"Радуга, ТОО (Компания Raduga KDR)",Вакансия опубликована 24 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80921968
Помощник повара,94,от 150 000 до 200 000 KZT до вычета налогов,не требуется,ИП Ресторан Мой Тбилиси (ИП Бурбуташвили Н.Н.),Вакансия опубликована 16 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80516091
Ученик сборщика/сборщик корпусной мебели,40,от 150 000 до 450 000 KZT до вычета налогов,не требуется,ТОО Mauer,Вакансия опубликована 22 мая 2023 в Караганде,"Караганда, улица Григория Потанина 24/1, Караганда 100000",полный день,"Стажировка, полный день",Работа в команде;Работа с инструментом;,https://almaty.hh.kz/vacancy/80783758
Администратор сервиса,8,от 200 000 KZT на руки,не требуется,ТОО Кристалл Авто,Вакансия опубликована 24 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/78806797
Медицинская сестра / медицинский брат,64,от 220 000 до 270 000 KZT до вычета налогов,не требуется,ТОО Optikon-KRG,Вакансия опубликована 2 мая 2023 в Караганде,"Караганда, проспект Бухар Жырау, 96/3",сменный график,"Полная занятость, сменный график",Пользователь ПК;Работа в команде;Грамотная речь;Навыки межличностного общения;,https://almaty.hh.kz/vacancy/79983001
Рекрутер / менеджер по подбору персонала,118,от 200 000 до 500 000 KZT до вычета налогов,не требуется,Workle Pro,Вакансия опубликована 25 мая 2023 в Караганде,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Подбор персонала;,https://almaty.hh.kz/vacancy/81012462
Лаборант химического анализа,79,от 180 000 KZT на руки,не требуется,ТОО ALS Казгеохимия,Вакансия опубликована 15 мая 2023 в Караганде,Алматы,сменный график,"Полная занятость, сменный график",Пользователь ПК;Английский язык;Сборка ПК;Аналитическое мышление;Электронная почта;,https://almaty.hh.kz/vacancy/80420161
Электромонтажник/Монтажник,143,от 395 000 до 620 000 KZT на руки,не требуется,ЗАО ЭнергоСтрой,Вакансия опубликована 23 мая 2023 в Караганде,Алматы,Вахтовый метод,"Полная занятость, Вахтовый метод",Производство строительно-монтажных работ;Монтаж металлоконструкций;Пользователь ПК;Строительство;,https://almaty.hh.kz/vacancy/77697217
Регистратор,8,з/п не указана,не требуется,МЕДИЦИНСКИЙ УНИВЕРСИТЕТ КАРАГАНДЫ,Вакансия опубликована 16 мая 2023 в Караганде,"Караганда, улица Гоголя, 40",полный день,"Полная занятость, полный день",Ведение пациентов;Регистрация;Пользователь ПК;,https://almaty.hh.kz/vacancy/80468504
HR-специалист,118,от 150 000 до 500 000 KZT до вычета налогов,не требуется,ТОО Снаб Пром,Вакансия опубликована 28 апреля 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Составление предложений о работе;Деловое общение;Навыки межличностного общения;Спокойствие;Умение вести переговоры;Усердность;Умение слушать;Массовый подбор персонала;Оценка кандидатов;Подбор персонала;,https://almaty.hh.kz/vacancy/79256548
Регистратор - кассир,8,от 150 000 до 170 000 KZT на руки,не требуется,ТОО Orhun Medical,Вакансия опубликована 22 мая 2023 в Караганде,"Караганда, микрорайон Степной-4, 2/3",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/76575849
"Торговый представитель (Ariel, Fairy, Gillette, Pampers, Head & Shoulders)",129,до 433 000 KZT до вычета налогов,не требуется,ТОО Apple City Corps,Вакансия опубликована 27 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Навыки продаж;Управление временем;Навыки делового общения;,https://almaty.hh.kz/vacancy/78599895
Авиаагент,40,з/п не указана,не требуется,ТОО ПУЛКОВО КАЗАХСТАН,Вакансия опубликована 26 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Способность быстро обучаться;Общение с людьми;Обучение и развитие;Грамотная речь;,https://almaty.hh.kz/vacancy/80547915
Оператор ПК,84,от 130 000 до 180 000 KZT до вычета налогов,не требуется,"ИП Print Shop, ТМ (Черемухина, ИП)",Вакансия опубликована 15 мая 2023 в Караганде,"Караганда, проспект Нурсултана Назарбаева, 47",полный день,"Полная занятость, полный день",CorelDRAW;Компас-3D;Грамотность;,https://almaty.hh.kz/vacancy/80405282
Помощник архитектора,14,от 100 000 до 140 000 KZT до вычета налогов,не требуется,ИП G-Group,Вакансия опубликована 9 мая 2023 в Караганде,"Караганда, Московская улица, 4",полный день,"Полная занятость, полный день",Работа с чертежами;Чувство стиля;Профессиональный пользователь ПК;Скорость;Рассудительность;AutoCAD;3ds Max;SketchUp;corona-render;,https://almaty.hh.kz/vacancy/80200415
Помощник бухгалтера,18,от 170 000 KZT до вычета налогов,не требуется,ТОО Евротехно Логистик,Вакансия опубликована 4 мая 2023 в Караганде,"Караганда, проспект Нурсултана Назарбаева, 33/4",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80108189
Мерчендайзер,77,от 180 000 до 180 000 KZT на руки,не требуется,ТОО фирма Траяна,Вакансия опубликована 5 мая 2023 в Караганде,"Караганда, Заводская улица, 19",полный день,"Полная занятость, полный день",Мерчандайзинг;Дегустации;Проведение промо акций;Контроль работы промоутеров;Выкладка товаров;Пополнение товарных запасов;,https://almaty.hh.kz/vacancy/80166727
Специалист по работе с интернет-магазинами,54,от 150 000 KZT на руки,не требуется,ТОО Пони Экспресс,Вакансия опубликована 26 мая 2023 в Караганде,Караганда,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81085493
Специалист техподдержки по лазерным станкам,121,от 180 000 KZT на руки,не требуется,ТОО CALIDAD,Вакансия опубликована 28 мая 2023 в Караганде,"Караганда, Мельничная улица, 4",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80831492
Монтажник технологического оборудования,78,от 250 000 до 350 000 KZT до вычета налогов,не требуется,ТОО KSM,Вакансия опубликована 17 мая 2023 в Караганде,"Караганда, 218-й учетный квартал",полный день,"Полная занятость, полный день",Сборочное производство;Организация производства;Умение работать в команде;Ориентация на результат;Стабильность;Обучение и развитие;,https://almaty.hh.kz/vacancy/79730853
