Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Сервис-инженер,113,з/п не указана,не требуется,Kaspi.kz,Вакансия опубликована 13 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Техническое обслуживание;Ремонт ПК;Выездное обслуживание;Мобильность;Техническая грамотность;,https://almaty.hh.kz/vacancy/79237099
Медицинский представитель,65,от 200 000 до 500 000 KZT на руки,не требуется,ТОО Новатор Фарма,Вакансия опубликована 17 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Навыки продаж;Коммуникативные навыки;Навыки презентации;Работа в команде;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/80547530
Оператор склада,84,до 190 000 KZT на руки,не требуется,"ТОО Компания СтройДекор, ТМ",Вакансия опубликована 27 мая 2023 в Караганде,"Караганда, Бытовая улица, 23",полный день,"Полная занятость, полный день",Знание программы 1С;Способность к обучению и восприятию информации;Битрикс 24;Опытный пользователь ПК;Работа в Excel;Работа с накладными;Работа в условиях многозадачности;Работа с компьютером;Желание работать и зарабатывать;,https://almaty.hh.kz/vacancy/80350200
Электромонтажник,143,от 200 000 до 250 000 KZT на руки,не требуется,ТОО Stroy Tech LTD,Вакансия опубликована 18 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80627730
Швея-портной,141,от 150 000 до 200 000 KZT до вычета налогов,не требуется,ТОО Ак бастау KZ,Вакансия опубликована 26 мая 2023 в Караганде,"Караганда, Механическая улица, 4",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81085455
Помощник Машиниста экструдера по производству полиэтиленовой пленки,85,от 220 000 до 220 000 KZT на руки,не требуется,ТОО Жанатехпром,Вакансия опубликована 18 мая 2023 в Караганде,"Караганда, Ишимская улица, 3",сменный график,"Полная занятость, сменный график",Работа в команде;Умение работать в условиях многозадачности;нормальная физическая подготовка;работа с техникой электромеханической;,https://almaty.hh.kz/vacancy/80627642
Заправщик АЗС,40,от 150 000 KZT на руки,не требуется,ТОО Гелиос,Вакансия опубликована 15 мая 2023 в Караганде,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80401293
Помощник заведующего складом,40,от 150 000 до 200 000 KZT на руки,не требуется,ТОО Central Asia Parts,Вакансия опубликована 19 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80688202
Кредитный менеджер,57,от 120 000 до 170 000 KZT до вычета налогов,не требуется,ТОО Микрофинансовая организация Дом кредитов,Вакансия опубликована 24 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Кассовые операции;Пользователь ПК;Работа с кассой;Деловое общение;1С: Документооборот;,https://almaty.hh.kz/vacancy/80942410
Мерчендайзер,77,до 180 000 KZT до вычета налогов,не требуется,ТОО ПАКТ,Вакансия опубликована 25 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Линейная выкладка товара;Работа в команде;Умение работать в команде;Грамотная речь;,https://almaty.hh.kz/vacancy/79953307
Торговый представитель,129,от 280 000 до 300 000 KZT на руки,не требуется,ТОО ПАКТ,Вакансия опубликована 27 мая 2023 в Караганде,"Караганда, улица Ермекова, 59",полный день,"Полная занятость, полный день",Планирование продаж;Навыки продаж;Проведение презентаций;,https://almaty.hh.kz/vacancy/78968631
Менеджер отдела продаж розничных продуктов,40,з/п не указана,не требуется,АО Jusan Bank,Вакансия опубликована 22 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Грамотная речь;Навыки продаж;Активные продажи;,https://almaty.hh.kz/vacancy/79075486
Автоэлектрик-диагност,5,от 100 000 KZT на руки,не требуется,ТОО ТАУРИ Сервис,Вакансия опубликована 30 апреля 2023 в Караганде,"Караганда, улица Гоголя, 2/1",полный день,"Полная занятость, полный день","Пользователь ПК;Работа в команде;Работа в условиях многозадачности;Внимательность, ответственность;",https://almaty.hh.kz/vacancy/79948149
Торговый представитель,129,з/п не указана,не требуется,ТОО ФУД АЛЬЯНС,Вакансия опубликована 15 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",HoReCa;Проведение промо акций;Работа с дебиторской задолженностью;Холодные продажи;Традиционная розница;,https://almaty.hh.kz/vacancy/76535832
Консультант службы технической поддержки,121,з/п не указана,не требуется,ТОО Холдинг Самгау,Вакансия опубликована 8 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80187901
Специалист отдела контроля качества,40,от 15 000 руб. на руки,не требуется,Home office,Вакансия опубликована 26 мая 2023 в Караганде,"Воронеж, Ленинский район, Бакунинский переулок, 11",удаленная работа,"Частичная занятость, удаленная работа",Работа в команде;Грамотность;Организационные навыки;Удаленная работа;Русский язык;,https://almaty.hh.kz/vacancy/80768961
Кухонный работник,94,от 95 000 до 110 000 KZT на руки,не требуется,ИП ШАКАБАЕВ М.Р.,Вакансия опубликована 26 мая 2023 в Караганде,"Караганда, улица Таттимбета, 10/5",сменный график,"Полная занятость, сменный график","Работа в команде;Поварское дело;Работа в условиях многозадачности;умение проявлять внимание, заинтересованность, дружелюбие;",https://almaty.hh.kz/vacancy/80891023
Кухонный рабочий,40,до 160 000 KZT на руки,не требуется,ТОО ВЕЛЛЕТ,Вакансия опубликована 22 мая 2023 в Караганде,Алматы,Вахтовый метод,"Полная занятость, Вахтовый метод",Пользователь ПК;Работа в команде;Умение работать в команде;Общественное питание;Способность обучать других;,https://almaty.hh.kz/vacancy/80784548
Бухгалтер,18,от 100 000 до 150 000 KZT на руки,не требуется,ИП AXIS,Вакансия опубликована 10 мая 2023 в Караганде,"Караганда, улица Рыбалко, 1А",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80078037
Оператор,40,до 105 000 KZT на руки,не требуется,ИП Джаужанов Д.С.,E5,"Караганда, проспект Строителей, 35/2",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/79912635
Санитарка/санитар,40,з/п не указана,не требуется,"ТОО Олимп КДЛ, ТМ (ТОО Мырза Хан)",Вакансия опубликована 22 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Умение работать в команде;Точность и внимательность к деталям;,https://almaty.hh.kz/vacancy/80823487
Представитель по бренду Алтайские травы (аптечный сегмент) в г. Караганда,65,от 140 000 до 310 000 KZT на руки,не требуется,ТОО Аманат,Вакансия опубликована 23 мая 2023 в Караганде,"Караганда, проспект Сакена Сейфуллина 107/3",полный день,"Полная занятость, полный день",Активные продажи;Проведение презентаций;Ведение переговоров;Планирование продаж;Грамотная речь;Ориентация на результат;умение вести диалог;Работа с возражениями;Управление отношениями с клиентами;Ведение отчетности;Выявление потребностей;,https://almaty.hh.kz/vacancy/80867420
Қолдау қызметінің маманы,121,от 140 000 KZT на руки,не требуется,ТОО WOOPPAY,Вакансия опубликована 2 мая 2023 в Караганде,"Караганда, проспект Нурсултана Назарбаева, 15/1",гибкий график,"Полная занятость, гибкий график",Работа с компьютером;Умение работать в условиях многозадачности;Инициативность;Ответственность;Умение работать с большим объёмом информации;Телефонные переговоры;Быстрый набор текста;Казахский — C1 — Продвинутый;,https://almaty.hh.kz/vacancy/79993320
Водитель-курьер ( на личном автомобиле),129,з/п не указана,не требуется,"Lamoda.kz (Мода с доставкой, ТОО)",Вакансия опубликована 25 мая 2023 в Караганде,"Алматы, Театр имени Ауэзова, улица Манаса, 32А",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/70881870
Начальник лаборатории контроля качества,168,з/п не указана,не требуется,"Евразиан Фудс Корпорэйшн, АО",Вакансия опубликована 22 мая 2023 в Караганде,"Караганда, Бытовая улица, 20А",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/78869347
Рекрутер / менеджер по подбору персонала,118,от 200 000 до 500 000 KZT до вычета налогов,не требуется,Workle Pro,Вакансия опубликована 25 мая 2023 в Караганде,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Подбор персонала;,https://almaty.hh.kz/vacancy/81024349
"Специалист по земельным ресурсам, Юридическая служба",146,з/п не указана,не требуется,АО АрселорМиттал Темиртау,Вакансия опубликована 16 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Знание законодательства;Земельное право;Землепользование;Деловая переписка;,https://almaty.hh.kz/vacancy/80484075
Оператор 1C,84,от 150 000 KZT на руки,не требуется,ТОО Алтын Алма,Вакансия опубликована 16 мая 2023 в Караганде,"Караганда, Бытовая улица, 15",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79879555
Специалист направления взыскания (Караганда),57,з/п не указана,не требуется,АО Банк ЦентрКредит,Вакансия опубликована 12 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Мобильность;Быстрое обучение;Многозадачность;Взыскание долгов;,https://almaty.hh.kz/vacancy/80329679
Финансовый консультант автокредитования (Караганда),137,з/п не указана,не требуется,"Евразийский банк, АО",Вакансия опубликована 20 мая 2023 в Караганде,"Караганда, проспект Нуркена Абдирова, 3/2",полный день,"Полная занятость, полный день",Ориентация на клиента;Пользователь ПК;оформление документации;Продажа кредитных продуктов;Клиентоориентированность;Работа с клиентами;,https://almaty.hh.kz/vacancy/79602889
"Менеджер СМК, GPP",44,з/п не указана,не требуется,ТОО Долголет,Вакансия опубликована 24 мая 2023 в Караганде,"Караганда, проспект Сакена Сейфуллина, 107/3",полный день,"Полная занятость, полный день",Написание процедур;Многозадачность;Стандартизация;Организация рабочего процесса;Высшее образование;Желание учиться и развиваться;Ответственность и пунктуальность;Ответственный подход к работе;Стремление к профессиональному развитию;Добросовестное выполнение поставленных задач;Коммуникабельность;Стремление к саморазвитию;,https://almaty.hh.kz/vacancy/79181084
ABA-терапист (ABA-инструктор),101,от 150 000 до 240 000 KZT на руки,не требуется,ИП КАЛИЕВ Б.К.,Вакансия опубликована 28 мая 2023 в Караганде,"Караганда, улица Ержанова, 18",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/78991891
Бренд-менеджер (Brand/Product manager) по продвижению эксклюзивной продукции,68,з/п не указана,не требуется,ТОО Аманат,Вакансия опубликована 19 мая 2023 в Караганде,"Караганда, проспект Сакена Сейфуллина 107/3",полный день,"Полная занятость, полный день",Trade Marketing;Бренд-менеджмент;Маркетинговое планирование;ATL;Медиапланирование;Бизнес-планирование;Планирование маркетинговых кампаний;Стратегический маркетинг;Позиционирование бренда;Развитие бренда;Брендинг;Продвижение бренда;Проведение презентаций;Подготовка презентаций;Обучение персонала;Разработка маркетинговой стратегии;Размещение POS материалов;Маркетинговый анализ;Работа с opinion лидерами в социальных сетях;Ребрендинг;Аналитические исследования;Бизнес-анализ;Разработка нового продукта;Анализ конкурентной среды;,https://almaty.hh.kz/vacancy/76640573
Специалист по работе с клиентами/Оператор по обработке информации,40,от 160 000 KZT на руки,не требуется,ТОО Пони Экспресс,Вакансия опубликована 26 мая 2023 в Караганде,"Караганда, улица Мустафина, 9/2",полный день,"Полная занятость, полный день",Пользователь ПК;Грамотная речь;Работа в команде;Прием и распределение телефонных звонков;,https://almaty.hh.kz/vacancy/81099231
Младший горный инженер (стажер),40,з/п не указана,не требуется,ТОО Sary-Arka Copper Processing,Вакансия опубликована 28 мая 2023 в Караганде,"Алматы, проспект Достык, 104",Вахтовый метод,"Стажировка, Вахтовый метод",Работа в команде;Деловое общение;MS PowerPoint;Micromine;Производственное планирование;,https://almaty.hh.kz/vacancy/80704982
Бухгалтер,18,от 180 000 KZT до вычета налогов,не требуется,ТОО Гелиос,Вакансия опубликована 2 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Движение денежных средств;Материальная ответственность;Пользователь ПК;Бухгалтерская отчетность;Кассовые операции;,https://almaty.hh.kz/vacancy/79990683
Мерчендайзер,77,от 80 000 до 80 000 KZT на руки,не требуется,ТОО Масло-Дел,Вакансия опубликована 15 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80408662
Оператор производственной линии,128,от 220 000 до 260 000 KZT на руки,не требуется,Металл Профиль - Казахстан,Вакансия опубликована 26 мая 2023 в Караганде,"Карагандинская область, Саранское шоссе, 8/6",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79988900
"Сотрудник ресторана (повар-кассир) в BURGER KING, Караганда",94,з/п не указана,не требуется,"ТОО “QSR” ,ТМ BURGER KING",Вакансия опубликована 18 мая 2023 в Караганде,Алматы,гибкий график,"Частичная занятость, гибкий график",Клиентоориентированность;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/79076762
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,не требуется,Яндекс Крауд,Вакансия опубликована 25 мая 2023 в Караганде,Алматы,удаленная работа,"Частичная занятость, удаленная работа",E9,https://almaty.hh.kz/vacancy/79890394
Дезинфектор (Специалист по борьбе с вредителями),85,от 250 000 KZT на руки,не требуется,ТОО ORKIN,Вакансия опубликована 27 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Грамотная речь;Работа с людьми;Ориентация на клиента;Способность быстро обучаться;Умение общаться с людьми;,https://almaty.hh.kz/vacancy/80017253
Аппаратчик химводоочистки,40,з/п не указана,не требуется,"Евразиан Фудс Корпорэйшн, АО",Вакансия опубликована 18 мая 2023 в Караганде,"Караганда, Бытовая улица, 20А",полный день,"Полная занятость, полный день",Ответственный подход к работе;Умение работать в коллективе;Техническая подкованность;,https://almaty.hh.kz/vacancy/80624432
Младший горный мастер,40,з/п не указана,не требуется,ТОО Sary-Arka Copper Processing,Вакансия опубликована 26 мая 2023 в Караганде,Алматы,Вахтовый метод,"Полная занятость, Вахтовый метод",Работа в команде;Умение работать в коллективе;Охрана труда и техника безопасности;Навыки работы с первичной документацией;Навыки составления отчетности;,https://almaty.hh.kz/vacancy/80564868
Эксперт-оценщик,40,от 150 000 до 250 000 KZT на руки,не требуется,ТОО Ломбард «Евразия»,Вакансия опубликована 1 мая 2023 в Караганде,"Караганда, проспект Бухар Жырау, 75",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79955446
Product Manager (специалист по продукции),73,з/п не указана,не требуется,Компания Витанова,Вакансия опубликована 10 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80226323
Торговый представитель,129,от 200 000 до 280 000 KZT до вычета налогов,не требуется,ТОО Компания ВладИра,Вакансия опубликована 26 мая 2023 в Караганде,"Караганда, проспект Нурсултана Назарбаева, 53/1",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80000217
Помощник категорийного менеджера,54,от 150 000 до 195 000 KZT до вычета налогов,не требуется,ТОО Людмила-KZ TM Аян,Вакансия опубликована 23 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80878298
Стажер - мастер,100,до 120 000 KZT до вычета налогов,не требуется,ТОО BI Construction & Engineering (ТМ BI GROUP),Вакансия опубликована 3 мая 2023 в Караганде,Алматы,полный день,"Стажировка, полный день",E9,https://almaty.hh.kz/vacancy/80043151
Повар,94,з/п не указана,не требуется,ТОО MAGNUM. Команда магазинов/Дүкендер командасы,Вакансия опубликована 11 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80280288
CAD/CAM оператор / зубной техник,40,з/п не указана,не требуется,Центр дентальной имплантологии БАБТА (ИП Досжанов Б.О.),Вакансия опубликована 2 мая 2023 в Караганде,"Караганда, проспект Бухар жырау, 94",гибкий график,"Частичная занятость, гибкий график",Пользователь ПК;Чистоплотность;Работа с ПК;Ответственность;Навыки составления отчетности;,https://almaty.hh.kz/vacancy/79967122
Электрогазосварщик,109,от 88 000 до 114 000 руб. на руки,не требуется,ЗАО ЭнергоСтрой,Вакансия опубликована 2 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Сварочные работы;Производство строительно-монтажных работ;Монтаж металлоконструкций;Слесарные работы;Строительство;,https://almaty.hh.kz/vacancy/78247881
Медицинский представитель,65,от 200 000 до 500 000 KZT на руки,не требуется,ТОО Новатор Фарма,Вакансия опубликована 28 апреля 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Навыки продаж;Коммуникативные навыки;Навыки презентации;Работа в команде;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/79920805
Инспектор ЛПЦ (листо-прокатного цеха),149,от 160 000 до 180 000 KZT на руки,не требуется,ТОО СЖС Казахстан ЛТД,Вакансия опубликована 24 мая 2023 в Караганде,"Темиртау, проспект Республики, 1/2, 4 этаж",сменный график,"Полная занятость, сменный график",Ведение отчетности;Умение работать в коллективе;,https://almaty.hh.kz/vacancy/80957152
Инженер-эксперт по обследованию зданий,46,от 100 000 до 350 000 KZT на руки,не требуется,ТОО QRG Standart,Вакансия опубликована 11 мая 2023 в Караганде,"Караганда, Пассажирская улица, 10",полный день,"Полная занятость, полный день",Пользователь ПК;Чтение чертежей;Ведение документации;Adobe Photoshop;Строительство;разработка чертежей;,https://almaty.hh.kz/vacancy/80282165
Автомойщик,5,от 100 000 до 200 000 KZT на руки,не требуется,ТОО Вираж Сервис Казахстан,Вакансия опубликована 12 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80335098
Мерчендайзер Эрманн по работе с ключевыми клиентами,77,от 160 000 KZT на руки,не требуется,ТОО Алтын Алма,Вакансия опубликована 16 мая 2023 в Караганде,"Караганда, Бытовая улица, 15",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80490607
Помощник бухгалтера,18,от 100 000 KZT на руки,не требуется,ТОО КИТ-21,Вакансия опубликована 28 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Первичная бухгалтерская документация;Заключение договоров;1С: Предприятие 8;Первичная документация;,https://almaty.hh.kz/vacancy/80206113
Кредитный менеджер (Город),57,от 120 000 до 150 000 KZT на руки,не требуется,ТОО Микрофинансовая организация MJS,Вакансия опубликована 10 мая 2023 в Караганде,"Караганда, проспект Бухар Жырау, 24",полный день,"Полная занятость, полный день",Кредитные договоры;Пользователь ПК;Работа с кассой;Консультирование;Деловое общение;,https://almaty.hh.kz/vacancy/79132727
"Торговый представитель, пригород и ближняя область",129,от 290 000 до 310 000 KZT на руки,не требуется,ТОО ПАКТ,Вакансия опубликована 26 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Планирование продаж;Навыки продаж;,https://almaty.hh.kz/vacancy/78064955
Выездной специалист по взысканию,120,от 250 000 до 300 000 KZT на руки,не требуется,ТОО Коллекторское агентство Национальная служба взыскания,Вакансия опубликована 26 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Взыскание задолженности;проблемные займы;умение убеждать;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/81066220
"Мастер сервисного центра в ТРЦ ""Grand Store""",162,до 170 000 KZT на руки,не требуется,Спортмастер Казахстан,Вакансия опубликована 27 мая 2023 в Караганде,Алматы,сменный график,"Полная занятость, сменный график",Гарантийное обслуживание;Умение работать в команде;Консультирование клиентов;,https://almaty.hh.kz/vacancy/80642986
Электромеханик,111,от 170 000 KZT до вычета налогов,не требуется,АО Транстелеком,Вакансия опубликована 22 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80816340
Преподаватель английского языка,132,от 400 до 800 USD на руки,не требуется,АнтиШкола,Вакансия опубликована 27 мая 2023 в Караганде,Алматы,удаленная работа,"Полная занятость, удаленная работа",Английский язык;Грамотная речь;Преподаватель;Грамотность;Организаторские навыки;Обучение;Работа с людьми;Групповое обучение;Английский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80454391
Специалист-оценщик в ломбард (район Юго-Восток),57,от 160 000 до 160 000 KZT на руки,не требуется,ТОО М-Ломбард,Вакансия опубликована 17 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/78721553
Инспектор по взысканию (Караганда),40,от 300 000 до 400 000 KZT на руки,не требуется,ТОО Коллекторское агентство Национальная служба взыскания,Вакансия опубликована 26 мая 2023 в Караганде,"Караганда, улица Комиссарова, 6",полный день,"Полная занятость, полный день",Пользователь ПК;Телефонные переговоры;Работа с большим объемом информации;Умение работать в коллективе;Ведение переговоров;,https://almaty.hh.kz/vacancy/76929427
Слесарь по ремонту оборудования,63,от 170 000 до 230 000 KZT на руки,не требуется,ТОО Жанатехпром,Вакансия опубликована 16 мая 2023 в Караганде,"Караганда, Ишимская улица, 3",сменный график,"Полная занятость, сменный график","Работа в условиях многозадачности;Работа в команде;Ответственность и пунктуальность;Способность анализировать проблемы, эффективно искать пути их решения;",https://almaty.hh.kz/vacancy/80478591
Шиномонтажник-Автослесарь,5,от 200 000 до 260 000 KZT на руки,не требуется,ТОО ЭЙКОС,Вакансия опубликована 15 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Умение принимать решения;Планирование карьеры;Выносливость;Материальная ответственность;Умение работать в условиях многозадачности;,https://almaty.hh.kz/vacancy/79136784
Кредитный специалист (г.Караганда),57,от 120 000 до 250 000 KZT на руки,не требуется,ТОО МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ SOFI FINANCE (СОФИ ФИНАНС),Вакансия опубликована 12 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Консультирование клиентов;Ориентация на результат;Составление отчетности;Кредитные договоры;,https://almaty.hh.kz/vacancy/80331614
"IT-наставник для детей по разработке игр (Minecraft, Roblox)",96,до 80 000 руб. на руки,не требуется,Skyeng,Вакансия опубликована 10 мая 2023 в Караганде,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Разработка компьютерных Игр;Minecraft;Roblox;Программирование для детей;Преподаватель;Преподавание;Обучение;,https://almaty.hh.kz/vacancy/80255595
Ассистент менеджера по работе с клиентами,54,з/п не указана,не требуется,Компания Витанова,Вакансия опубликована 4 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80103056
Инспектор по возврату долгов,40,от 300 000 до 350 000 KZT на руки,не требуется,ТОО Коллекторское агентство Национальная служба взыскания,Вакансия опубликована 18 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Казахский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/75625647
Менеджер по возврату долгов Late Control,120,от 300 000 до 350 000 KZT на руки,не требуется,ТОО Коллекторское агентство Национальная служба взыскания,Вакансия опубликована 23 мая 2023 в Караганде,"Караганда, улица Комиссарова, 6",полный день,"Полная занятость, полный день",Взыскание задолженности;проблемные займы;умение убеждать;Стрессоустойчивость;Телефонные переговоры;Грамотность;Русский язык;Казахский язык;Грамотная речь;,https://almaty.hh.kz/vacancy/76015531
Монтажник,78,от 110 000 до 200 000 KZT на руки,не требуется,ТОО КазПромМетиз,Вакансия опубликована 26 мая 2023 в Караганде,"Караганда, Бытовая улица, 15",полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Выездное обслуживание;MS Dos;установка;,https://almaty.hh.kz/vacancy/80305157
Оператор (заправщик) заправочных станций,40,з/п не указана,не требуется,ТОО QazaqOil (PetroRetail),Вакансия опубликована 24 мая 2023 в Караганде,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80922848
Машинист (кочегар) котельной,63,от 250 000 KZT до вычета налогов,не требуется,ТОО TANSU CONSTRUCTION,Вакансия опубликована 5 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Легкая обучаемость;Добросовестность;Коммуникабельность;,https://almaty.hh.kz/vacancy/80130918
Кредитный менеджер (Пришахтинск),57,от 100 000 до 200 000 KZT на руки,не требуется,ТОО Микрофинансовая организация Робокэш.кз,Вакансия опубликована 25 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Проведение презентаций;Консультирование;Грамотная речь;Подготовка презентаций;Клиентоориентированность;,https://almaty.hh.kz/vacancy/78929003
Специалист выездного взыскания заемщиков (fieldcollection),120,от 150 000 до 450 000 KZT на руки,не требуется,АО МФО ОнлайнКазФинанс (ТМ Solva),Вакансия опубликована 28 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Грамотная речь;Телефонные переговоры;Ведение переговоров;Организация мероприятий;Грамотность;,https://almaty.hh.kz/vacancy/80704061
Оператор-консультант,121,от 43 000 до 47 000 руб. на руки,не требуется,Инсофт,Вакансия опубликована 19 мая 2023 в Караганде,Алматы,удаленная работа,"Полная занятость, удаленная работа",Грамотная речь;Пользователь ПК;,https://almaty.hh.kz/vacancy/80726008
Фармацевт,133,от 140 000 до 220 000 KZT на руки,не требуется,"ТОО EUROPHARMA, ТМ (ТОО AK NIET GROUP)",Вакансия опубликована 11 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Материальная ответственность;Умение работать в команде;Работа с людьми;,https://almaty.hh.kz/vacancy/80300428
Фармацевт-провизор (г.Астана),133,от 200 000 KZT на руки,не требуется,ИП Сайлыбаева,Вакансия опубликована 26 мая 2023 в Караганде,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/79985020
Оператор call-центра (удаленно),40,з/п не указана,не требуется,ТОО АНТАЛ БИЗНЕС РЕШЕНИЯ (ТМ Antal Kazakhstan),Вакансия опубликована 15 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Консультирование клиентов по телефону;проведение опросов общественного мнения;Пользователь ПК;Грамотная речь;Консультирование;Работа с людьми;Консультирование клиентов;Работа с клиентами;Уверенное знание ПК;Умение работать с клиентами;входящие звонки;исходящие звонки;,https://almaty.hh.kz/vacancy/80440896
Оценщик в ломбард,57,от 130 000 до 150 000 KZT до вычета налогов,не требуется,ТОО Астра-Лoмбард,Вакансия опубликована 23 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день","Терпеливость;Работа с компьютером;Знание компьютера;Серьезность;Внимательность, ответственность;Грамотная речь;Коммуникабельность, ответственность;Пользователь ПК;",https://almaty.hh.kz/vacancy/80893626
Специалист по взысканию просроченной задолженности,146,от 140 000 до 400 000 KZT на руки,не требуется,ТОО Коллекторское агентство Эксперт,Вакансия опубликована 26 мая 2023 в Караганде,"Караганда, Московская улица, 4/1",полный день,"Полная занятость, полный день",Грамотная речь;Работа в команде;Телефонные переговоры;Деловое общение;Грамотность;,https://almaty.hh.kz/vacancy/81103017
Инспектор по взысканию долгов,120,от 100 000 до 250 000 KZT до вычета налогов,не требуется,ТОО Big Almaty Group,Вакансия опубликована 10 мая 2023 в Караганде,"Караганда, улица Гоголя, 34",полный день,"Полная занятость, полный день",Общение с клиентами;,https://almaty.hh.kz/vacancy/80208329
Персональный менеджер (посёлок Киевка),57,з/п не указана,не требуется,ТОО Микрофинансовая организация KMF(КМФ),Вакансия опубликована 26 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Клиентоориентированность;Аналитическое мышление;Активные продажи;Кредитные договоры;,https://almaty.hh.kz/vacancy/79805947
Машинист бульдозера,63,от 130 000 до 130 000 руб. на руки,не требуется,ООО Дорожно-строительный трест № 1,Вакансия опубликована 22 мая 2023 в Караганде,Алматы,Вахтовый метод,"Полная занятость, Вахтовый метод",E9,https://almaty.hh.kz/vacancy/79700322
