Должность,professionalroleidЗарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Сотрудник по обновлению карты,40,от 300 000 до 490 000 KZT на руки,не требуется,ИП Строганова Ольга Владимировна,Вакансия опубликована 25 апреля 2023 в Павлодаре,Алматы,гибкий график,"Полная занятость, гибкий график",Внимательность;Ответственность;Коммуникабельность;Работа с телефоном;Телеграм;,https://almaty.hh.kz/vacancy/79773117
Мерчендайзер,77,от 200 000 до 250 000 KZT на руки,не требуется,ИП Талан,Вакансия опубликована 3 мая 2023 в Павлодаре,Павлодар,полный день,"Полная занятость, полный день",Работа в команде;Грамотная речь;Способность обучать других;Электронная почта;,https://almaty.hh.kz/vacancy/80059769
Медсестра/Медбрат,64,от 140 000 до 180 000 KZT на руки,не требуется,ТОО АйБЭК,Вакансия опубликована 29 апреля 2023 в Павлодаре,"Павлодар, улица Академика Бектурова, 109",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/79937361
Администратор музыкальной школы,8,от 100 000 до 140 000 KZT до вычета налогов,не требуется,ИП Guitar Play,Вакансия опубликована 25 апреля 2023 в Павлодаре,"Павлодар, улица Ломова, 30",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79756354
