Должность,professionalroleidЗарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Логист (удаленно),67,от 80 000 KZT на руки,не требуется,ИП Health Food (Зоров В. Time Service),Вакансия опубликована 15 мая 2023 в Алматы,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Пользователь ПК;Поиск информации в интернет;Грамотная речь;Internet;Google Chrome;Распределительная логистика;Логистика;Транспортная логистика;,https://almaty.hh.kz/vacancy/80427424
Direct-менеджер / Instagram-менеджер,3,от 75 000 до 150 000 KZT до вычета налогов,не требуется,ТОО today.travel UK,Вакансия опубликована 15 мая 2023 в Алматы,"Алматы, улица Курмангазы, 143",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80438902
Хостес (проверка билетов),8,до 160 000 KZT на руки,не требуется,ТОО Парк Кок Тобе,Вакансия опубликована 10 мая 2023 в Алматы,"Алматы, проспект Достык, 104Б",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80208685
Администратор салона красоты,8,до 200 000 KZT на руки,не требуется,ИП Мурзабаева,Вакансия опубликована 15 мая 2023 в Алматы,"Алматы, Бауыржан Момышулы",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80465261
HR-менеджер,8,от 350 000 до 550 000 KZT на руки,не требуется,"ТОО Этажи, ТМ (ТОО Etagi Almaty)",Вакансия опубликована 15 мая 2023 в Алматы,"Алматы, Абая, проспект Назарбаева, 223",полный день,"Полная занятость, полный день",Подбор персонала;Управление персоналом;Обучение персонала;Поиск персонала в открытых источниках;Подбор сотрудников;HR;Многозадачность;Первичная адаптация;Работа с персоналом;Работа в коллективе;Желание учиться и развиваться;Составление планов по подбору;,https://almaty.hh.kz/vacancy/80185873
Администратор ресепшен,8,до 135 000 KZT на руки,не требуется,ТОО «ETASA Development»,Вакансия опубликована 2 мая 2023 в Алматы,"Алматы, Алатау, Москва, Сайран, улица Розыбакиева",сменный график,"Полная занятость, сменный график",Казахский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/79309156
Оператор ПК,84,от 200 000 KZT до вычета налогов,не требуется,Insolutions,Вакансия опубликована 15 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Английский — B1 — Средний;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80412369
Мастер в цех,40,от 200 000 до 500 000 KZT до вычета налогов,не требуется,ИП Bars Empire,Вакансия опубликована 19 апреля 2023 в Алматы,"Алматы, улица Торетай, 92А",полный день,"Полная занятость, полный день",аккуратность;Ответственность;Обучение и развитие;,https://almaty.hh.kz/vacancy/79528434
SMM-менеджер - СММ специалист,3,от 300 000 до 500 000 KZT на руки,не требуется,ТОО Центр развития предпринимателей,Вакансия опубликована 16 мая 2023 в Алматы,"Алматы, улица Байзакова, 125/185",полный день,"Полная занятость, полный день",Ведение групп в социальных сетях;Написание текстов;Грамотная речь;Adobe Photoshop;Написание статей;,https://almaty.hh.kz/vacancy/78656443
Семейная помощница / Семейный помощник,40,от 200 200 до 200 200 KZT до вычета налогов,не требуется,Частное образовательное Учреждение SOS Детская деревня Алматы,Вакансия опубликована 24 апреля 2023 в Алматы,"Алматы, улица Луганского, 95",полный день,"Полная занятость, полный день",Навыки межличностного общения;Работа в команде;Психология Личности;,https://almaty.hh.kz/vacancy/77284730
Ночной специалист техподдержки (удаленно),121,от 35 000 руб. на руки,не требуется,ООО Диджитал Крафт,Вакансия опубликована 14 мая 2023 в Алматы,Алматы,удаленная работа,"Полная занятость, удаленная работа",Высокая скорость печати;Грамотная речь;Клиентоориентированность;Деловое общение;Консультирование клиентов;Пользователь ПК;Работа в команде;Казахский язык;Удаленная работа;,https://almaty.hh.kz/vacancy/80166248
Junior .NET software engineer,96,з/п не указана,не требуется,DocuSketch,Вакансия опубликована 2 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",.NET Framework;C#;CSS;HTML;MS Visual Studio;MS SQL Server;SQL Server;Microsoft Visual Studio;Visual Studio C#;SaaS;Английский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80000240
Специалист на ресепшн,40,з/п не указана,не требуется,ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL),Вакансия опубликована 15 мая 2023 в Алматы,"Алматы, улица Желтоксан, 115",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80420162
Бухгалтер на первичную документацию,18,от 200 000 до 220 000 KZT на руки,не требуется,Штурм,Вакансия опубликована 15 мая 2023 в Алматы,"Алматы, проспект Суюнбая, 481",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80033327
Преподаватель Английского языка\Немецкого\Французского,132,от 150 000 до 400 000 KZT на руки,не требуется,"ИП Level UP education, ТМ",Вакансия опубликована 10 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день","Грамотная речь;Организация учебного процесса;Французский язык;Преподаватель;Творческое мышление;Индивидуальное обучение;Обучение и развитие;Умение работать в коллективе;Групповое обучение;Преподавание;Обучение;Ориентация на результат;Организация обучения иностранным языкам;способность анализировать проблемы, эффективно искать пути их разрешения;Стабильность;",https://almaty.hh.kz/vacancy/80235402
Продавец (раздатчик блюд),40,от 180 000 до 230 000 KZT на руки,не требуется,ИП Бугимбаева Ч.Ч.,Вакансия опубликована 4 мая 2023 в Алматы,Алматы,гибкий график,"Полная занятость, гибкий график","Работа в команде;Грамотная речь;Дружелюбность;навыки обслуживания людей, умение проявлять тактичность и толерантность;",https://almaty.hh.kz/vacancy/80104617
Преподаватель по географии,132,от 150 000 до 150 000 KZT на руки,не требуется,ТОО Білімді Болашақ,Вакансия опубликована 7 мая 2023 в Алматы,"Алматы, улица Мауленова, 85",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80184008
Менеджер отдела резервации и бронирования/Менеджер по туризму,72,от 150 000 до 200 000 KZT на руки,не требуется,ТОО KazAllianceGroup,Вакансия опубликована 2 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Работа с большим объемом информации;Русский язык;Позитивное мышление;Грамотность;Международный туризм;Работать в команде;Способность быстро обучаться;Позитивный настрой;Деловая переписка;Поиск информации в интернет;,https://almaty.hh.kz/vacancy/79961950
Младший финансовый аналитик,134,з/п не указана,не требуется,ТОО JetPay.kz,Вакансия опубликована 11 мая 2023 в Алматы,"Алматы, микрорайон Мамыр-1, 26",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79757761
Эксперт по развитию обучения,40,з/п не указана,не требуется,"Beeline, ТМ",Вакансия опубликована 12 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Проведение тренингов для персонала розницы;Составление планов по обучению персонала;Обучение персонала;Тренинги;Оценка эффективности обучения;Дистанционное обучение;Английский — B1 — Средний;Казахский — B2 — Средне-продвинутый;Русский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80335792
Аналитик данных в команду Маркетинг,10,з/п не указана,не требуется,Kaspi.kz,Вакансия опубликована 21 апреля 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",SQL;Excel;A/B тесты;,https://almaty.hh.kz/vacancy/79664453
QA Intern - Automation testing,124,з/п не указана,не требуется,a1qa,Вакансия опубликована 14 мая 2023 в Алматы,Алматы,удаленная работа,"Полная занятость, удаленная работа",Java;JavaScript;C#;Intellij IDEA;OOP;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/77063457
Швея-портной,141,от 120 000 до 350 000 KZT на руки,не требуется,ИП Мукенева,Вакансия опубликована 5 мая 2023 в Алматы,"Алматы, улица Мукаева, 31",полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Грамотная речь;Удаленная работа;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/80160686
Лаборант химического анализа,168,до 170 000 KZT на руки,не требуется,ТОО Эфко Алматы,Вакансия опубликована 3 мая 2023 в Алматы,"Алматы, улица Бекмаханова, 96/6",сменный график,"Полная занятость, сменный график",Работа в команде;Работа с документами;оформление документации;Работа с оргтехникой;Навыки работы с первичной документацией;,https://almaty.hh.kz/vacancy/80038517
"Специалист сектора проверки кредитных досье, Алматы",40,з/п не указана,не требуется,"Евразийский банк, АО",Вакансия опубликована 10 мая 2023 в Алматы,"Алматы, улица Наурызбай Батыра, 17Б",полный день,"Полная занятость, полный день","MS PowerPoint;умение работать с программами Word, Excel, Power Point;Умение организовать работу, планировать, принимать решения;Работа в условиях многозадачности;Умение добиваться поставленных целей;",https://almaty.hh.kz/vacancy/76805749
Торговый представитель,129,от 100 000 до 1 000 000 KZT на руки,не требуется,ТОО E-stick,Вакансия опубликована 15 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Грамотная речь;Умение находить общий язык;Умение работать с клиентами;Продажи через дистрибьюторов;,https://almaty.hh.kz/vacancy/80419064
Практикант в отдел архива (НЕОПЛАЧИВАЕМАЯ),33,з/п не указана,не требуется,АО TECHNODOM Operator (Технодом Оператор),Вакансия опубликована 3 мая 2023 в Алматы,Алматы,полный день,"Стажировка, полный день",E9,https://almaty.hh.kz/vacancy/80021562
Менеджер по продажам,40,от 120 000 до 200 000 KZT до вычета налогов,не требуется,ИП Махамбетова Акзер,Вакансия опубликована 17 апреля 2023 в Алматы,"Алматы, Жибек Жолы",полный день,"Полная занятость, полный день",Работа с компьютером;оформление заказов;,https://almaty.hh.kz/vacancy/79406282
