Должность,professionalroleidЗарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Помощник геодезиста,27,от 260 000 KZT до вычета налогов,не требуется,ТОО KazInvestStroy,Вакансия опубликована 11 мая 2023 в Семее,Алматы,полный день,"Полная занятость, полный день",AutoCAD;Adobe Photoshop;Строительство;Геодезия;Civil 3D;,https://almaty.hh.kz/vacancy/80285724
Сотрудник по обновлению карты,40,от 300 000 до 490 000 KZT на руки,не требуется,ИП Строганова Ольга Владимировна,Вакансия опубликована 25 апреля 2023 в Семее,Алматы,гибкий график,"Полная занятость, гибкий график",Внимательность;Ответственность;Коммуникабельность;Работа с телефоном;Телеграм;,https://almaty.hh.kz/vacancy/79773118
