Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Тренер - инструктор тренажёрного зала,138,от 70 000 до 200 000 KZT на руки,не требуется,ИП ЕРАСОВ А. А,Вакансия опубликована 24 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80927497
Помощник бухгалтера,18,до 150 000 KZT на руки,не требуется,ТОО Қыран Агро Шығыс,Вакансия опубликована 22 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, проспект Абая, 205",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80821145
Оператор ПК,84,от 140 000 до 150 000 KZT на руки,не требуется,ТОО Восток-Молоко,Вакансия опубликована 16 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Новаторов, 10",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80482493
Формовщик стеклопластиковых изделий,40,от 200 000 до 350 000 KZT на руки,не требуется,ТОО Din Tex,Вакансия опубликована 12 мая 2023 в Усть-Каменогорске,Усть-Каменогорск,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80334855
Менеджер по закупкам/Специалист по логистике и ВЭД,66,от 300 000 KZT до вычета налогов,не требуется,ТОО TransMentor,Вакансия опубликована 13 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Кабанбай батыра, 49",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80381656
Оператор аттракциона,40,от 100 000 KZT на руки,не требуется,ТОО 710 OIL,Вакансия опубликована 7 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79018674
Акушерка/акушер,64,з/п не указана,не требуется,Учреждение Амбулаторный центр,Вакансия опубликована 25 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, проспект Абая, 18",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81010888
Мастер ногтевого сервиса,61,от 120 000 KZT на руки,не требуется,ИП Медведева Я.О,Вакансия опубликована 23 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Максима Горького, 64",полный день,"Полная занятость, полный день",Маникюр;Педикюр;Креативность;Обучение и развитие;,https://almaty.hh.kz/vacancy/80855929
Специалист по обслуживанию и ремонту,40,от 70 000 до 200 000 KZT на руки,не требуется,ИП Крэйзирайдер,Вакансия опубликована 24 мая 2023 в Усть-Каменогорске,Усть-Каменогорск,гибкий график,"Полная занятость, гибкий график",E9,https://almaty.hh.kz/vacancy/80920403
Фармацевт - провизор,133,от 150 000 KZT на руки,не требуется,ИП АБДУЛАЕВ ВАСИФ ЯВАР-ОГЛЫ,Вакансия опубликована 15 мая 2023 в Усть-Каменогорске,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80427606
Менеджер по продажам,40,от 180 000 KZT до вычета налогов,не требуется,Филиал ТОО КазСвет Group в городе Усть-Каменогорск.,Вакансия опубликована 5 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Сагадата Нурмагамбетова, 4",полный день,"Полная занятость, полный день",Пользователь ПК;Грамотная речь;Поиск и привлечение клиентов;Телефонные переговоры;Холодные продажи;оформление документации;,https://almaty.hh.kz/vacancy/78824602
Эксперт-оценщик,57,от 150 000 до 200 000 KZT на руки,не требуется,ТОО Ломбард Алтын Бизнес,Вакансия опубликована 20 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",Деловое общение;Навыки межличностного общения;Обслуживание покупателей;Электронная почта;Пользователь ПК;,https://almaty.hh.kz/vacancy/80762419
Агроном Биолог,7,от 130 000 до 140 000 KZT на руки,не требуется,"Гос. корп. ВКО КАРАНТИННАЯ ЛАБОРАТОРИЯ, ФИЛИАЛ ГУ РЦ КАРАНТИНА РАСТЕНИЙ КОМИТЕТА ГОСУДАРСТВЕННОЙ ИНСПЕКЦИИ В АКМ СЕЛЬСКОГО ХОЗЯЙСТВА РК",Вакансия опубликована 2 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79961595
Медицинская сестра (медицинский брат)/ассистент врача стоматолога,64,от 120 000 до 200 000 KZT на руки,не требуется,ТОО Smile Clinic,Вакансия опубликована 12 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Антона Чехова, 72",полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Навыки межличностного общения;Стоматология;Английский — A1 — Начальный;,https://almaty.hh.kz/vacancy/80330131
Помощник менеджера по продажам,54,от 80 000 KZT на руки,не требуется,ТОО Tanauto Vostok,Вакансия опубликована 19 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Металлургов, 14А",полный день,"Полная занятость, полный день",Пользователь ПК;Грамотная речь;Работа в команде;Навыки продаж;Грамотность;,https://almaty.hh.kz/vacancy/80685020
Пиццерист (повар завтраков),94,до 187 000 KZT на руки,не требуется,ИП Нечепуренко А.М,Вакансия опубликована 4 мая 2023 в Усть-Каменогорске,Усть-Каменогорск,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80089735
Моторист багерной насосной,40,з/п не указана,не требуется,ТОО Усть-Каменогорская ТЭЦ,Вакансия опубликована 16 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, Промышленная улица, 2",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80488649
Токарь,128,от 250 000 KZT до вычета налогов,не требуется,ТОО СКРП Полиус,Вакансия опубликована 24 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80923720
Слесарь-электрик по ремонту электрооборудования,143,от 240 000 KZT до вычета налогов,не требуется,ТОО СКРП Полиус,Вакансия опубликована 2 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день","ответственный, целеустремленный профессионал своего дела;",https://almaty.hh.kz/vacancy/79961114
Торговый представитель на регион и город,129,от 150 000 до 300 000 KZT на руки,не требуется,ИП Заря УК,Вакансия опубликована 24 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Кабанбай Батыра, 23/2",полный день,"Полная занятость, полный день",Активные продажи;Развитие продаж;Планирование продаж;Ориентация на результат;Навыки переговоров;работа с текущей базой клиентов;Мерчендайзинг;Умение работать в коллективе;Умение планировать;,https://almaty.hh.kz/vacancy/80948088
Электромонтер по ремонту обмоток и изоляции электрооборудования,144,з/п не указана,не требуется,ТОО Электродвигатель,Вакансия опубликована 14 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, Промышленная улица, 1",полный день,"Полная занятость, полный день",Умение быстро усваивать новую информацию;Эксплуатация электрооборудования;Ответственность и пунктуальность;Желание работать и развиваться;Быстрообучаемый;Точность и внимательность;,https://almaty.hh.kz/vacancy/79303243
Администратор,8,от 160 000 до 180 000 KZT до вычета налогов,не требуется,ИП Иванова (TERRASPORT fitness club),Вакансия опубликована 2 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, проспект Независимости, 5/3",сменный график,"Полная занятость, сменный график",Пользователь ПК;Грамотная речь;Работа в команде;Навыки продаж;Проведение ревизий;,https://almaty.hh.kz/vacancy/79984486
Эксперт оценщик в YK Ломбард,57,от 150 000 до 250 000 KZT до вычета налогов,не требуется,ТОО W0rkscape Distribution,Вакансия опубликована 9 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Казахстан, 77",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80197840
Инженер-химик / специалист испытательной лаборатории,40,от 200 000 KZT до вычета налогов,не требуется,ТОО ЦентрЭКОпроект,Вакансия опубликована 12 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Ведение отчетности;оформление документации;Умение работать в коллективе;,https://almaty.hh.kz/vacancy/80332749
Специалист по социальным сетям и мессенджерам (религиовед),103,от 140 000 до 200 000 KZT на руки,не требуется,ИП Аскарова А.М.,Вакансия опубликована 28 апреля 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",1С: Склад;Социальные сети;Windows Os;Microsoft Office FrontPage;Пользователь ПК;Аналитический склад ума;навыки социальной инженерии;,https://almaty.hh.kz/vacancy/79914954
Помощник резчика по стеклу,40,от 150 000 до 200 000 KZT на руки,не требуется,ИП ЛЕНВИТ Поршнева Елена Анатольевна,Вакансия опубликована 2 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Калинина, 87",полный день,"Полная занятость, полный день",Ответственность и исполнительность;Умение находить общий язык;,https://almaty.hh.kz/vacancy/78921978
Дизайнер,34,от 150 000 KZT на руки,не требуется,ТОО Debut (Дебют),Вакансия опубликована 10 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Максима Горького, 48/1",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80215259
