Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Преподаватель в школу робототехники,132,от 70 000 KZT на руки,не требуется,ТОО Mutayev & CO,Вакансия опубликована 2 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, проспект Абая, 9/1",полный день,"Частичная занятость, полный день",Умение общаться с людьми;Опытный пользователь ПК;Грамотная речь;Творческий подход к работе;Обучение;Работа в команде;Творческое мышление;Умение работать в команде;Грамотность;Индивидуальный подход;,https://almaty.hh.kz/vacancy/79983607
Торговый представитель,129,з/п не указана,не требуется,ТОО СВИТ Company 2016,Вакансия опубликована 15 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, проспект Абая, 181/3к2",гибкий график,"Полная занятость, гибкий график",E9,https://almaty.hh.kz/vacancy/80445482
Экспедитор,40,от 160 000 до 165 000 KZT до вычета налогов,не требуется,"Радуга, ТОО (Компания Raduga KDR)",Вакансия опубликована 17 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Умение принимать решения;Умение работать в коллективе;,https://almaty.hh.kz/vacancy/80583184
Слесарь-сантехник,115,до 244 000 KZT на руки,не требуется,АО Aitas KZ,Вакансия опубликована 18 мая 2023 в Усть-Каменогорске,поселок Касым Кайсенов,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79363068
Кухонный работник на посуду,40,от 145 000 KZT на руки,не требуется,"ТОО Dedeman Oskemen Tavros (Таврос Иртыш Отельджилик, ТОО)",Вакансия опубликована 11 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Чистоплотность;,https://almaty.hh.kz/vacancy/80269694
Специалист по автокредитованию,57,з/п не указана,не требуется,АО Банк ЦентрКредит,Вакансия опубликована 15 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Поиск и привлечение клиентов;Навыки продаж;Активные продажи;,https://almaty.hh.kz/vacancy/80399001
Оператор ресепшен,40,от 109 000 до 109 000 KZT до вычета налогов,не требуется,АО TECHNODOM Operator (Технодом Оператор),Вакансия опубликована 19 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80728865
Торговый представитель,129,от 170 000 KZT на руки,не требуется,ИП МҰҚТАРОВ ДАМИР САПИЯНҰЛЫ VIP-Сервис,Вакансия опубликована 27 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",работа с текущей базой клиентов;работа с клиентами;Умение принимать решение;Выездное обслуживание;,https://almaty.hh.kz/vacancy/80924416
Грузчик-мерчендайзер,77,от 160 000 до 175 000 KZT до вычета налогов,не требуется,ТОО Бэст Прайс Казахстан,Вакансия опубликована 25 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",Выкладка товаров;Умение работать в команде;Мерчандайзинг;Линейная выкладка товара;Блочная выкладка товара;Зонирование;Точность и внимательность к деталям;,https://almaty.hh.kz/vacancy/80727049
Помощник машиниста буровой установки,63,от 150 000 до 230 000 KZT на руки,не требуется,ТОО Корпорация Востокпромгео,Вакансия опубликована 19 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, Омская улица, 2",Вахтовый метод,"Полная занятость, Вахтовый метод",Техническое обслуживание буровой установки;,https://almaty.hh.kz/vacancy/79017817
Специалист по оценке смартфонов в ломбард / Начинающий специалист,57,от 160 000 до 200 000 KZT на руки,не требуется,ТОО THE BEST SELLER,Вакансия опубликована 28 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, проспект Нурсултана Назарбаева, 28",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80479803
Тайный покупатель,40,з/п не указана,не требуется,ТОО Staff-UP Consulting Group,Вакансия опубликована 10 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Проектная работа/разовое задание, полный день",Пользователь ПК;Телефонные переговоры;Ответственность;Аудит;Умение принимать решения;,https://almaty.hh.kz/vacancy/80239876
Машинист котлов (Котельная),115,з/п не указана,не требуется,"Усть-Каменогорские тепловые сети, АО",Вакансия опубликована 2 мая 2023 в Усть-Каменогорске,Г.Усть-Каменогорск,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/78943664
Специалист по взысканию просроченной задолженности,146,от 120 000 до 400 000 KZT на руки,не требуется,ТОО Коллекторское агентство Эксперт,Вакансия опубликована 12 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Казахстан, 159",полный день,"Полная занятость, полный день",Грамотная речь;Работа в команде;Телефонные переговоры;Деловое общение;Грамотность;,https://almaty.hh.kz/vacancy/80330874
Торговый представитель,129,от 100 000 KZT на руки,не требуется,АО Алма Телекоммуникейшнс Казахстан ( ТМ АЛМА-ТВ),Вакансия опубликована 15 мая 2023 в Усть-Каменогорске,Алматы,гибкий график,"Частичная занятость, гибкий график",Поиск и привлечение клиентов;работа с текущей базой клиентов;Холодные продажи;Заключение договоров;Активные продажи;,https://almaty.hh.kz/vacancy/79387830
Машинист-обходчик по турбинному оборудованию,63,от 240 000 KZT на руки,не требуется,ТОО Усть-Каменогорская ТЭЦ,Вакансия опубликована 16 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, Промышленная улица, 2",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80487756
Электромонтер по ремонту и обслуживанию электрооборудования,143,от 200 000 KZT на руки,не требуется,ТОО Эмиль,Вакансия опубликована 18 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Александра Протозанова, 5",полный день,"Полная занятость, полный день",Монтаж электрооборудования;Ремонт электрооборудования;Обслуживание электрооборудования;,https://almaty.hh.kz/vacancy/80641690
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,не требуется,Яндекс Крауд,Вакансия опубликована 25 мая 2023 в Усть-Каменогорске,Алматы,удаленная работа,"Частичная занятость, удаленная работа",E9,https://almaty.hh.kz/vacancy/79890398
Кредитный менеджер,57,от 100 000 до 300 000 KZT до вычета налогов,не требуется,ТОО Микрофинансовая организация Робокэш.кз,Вакансия опубликована 25 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",Проведение презентаций;Консультирование;Грамотная речь;Подготовка презентаций;Клиентоориентированность;,https://almaty.hh.kz/vacancy/78809667
Электрик,143,от 170 000 KZT до вычета налогов,не требуется,ТОО Гелиос,Вакансия опубликована 25 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81025382
Слесарь КИПиА (ЗПП),115,до 255 000 KZT до вычета налогов,не требуется,АО Aitas KZ,Вакансия опубликована 4 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",Чтение электросхем;Работа с электроинструментом;Пользователь ПК;Техническая грамотность;Работа с измерительными приборами;,https://almaty.hh.kz/vacancy/80075542
Бухгалтер,18,от 100 000 до 130 000 KZT на руки,не требуется,ТОО Лучшая Бухгалтерская Компания,Вакансия опубликована 28 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Кабанбай Батыра, 51",полный день,"Полная занятость, полный день",Кассовые операции;Первичная документация;1C: Бухгалтерия;1С: Предприятие 8;,https://almaty.hh.kz/vacancy/80091097
Инспектор (Инспекция и отбор проб),79,от 160 000 до 160 000 KZT на руки,не требуется,ТОО СЖС Казахстан ЛТД,Вакансия опубликована 24 мая 2023 в Усть-Каменогорске,Алматы,сменный график,"Полная занятость, сменный график",Пользователь ПК;Работа в команде;Грамотная речь;Ведение отчетности;Ведение документации;внимательность;Пробоотбор;Инспекция концентратов цветной металлургии;отбор проб;визуальная оценка качества концентрата;казцинк;Дружелюбность;Результат;Разнорабочий;Инспекционные проверки;Желание работать и развиваться;Без опыта;Лаборант;Пробоотборщик;Заполнение документации;Цветная металлургия;,https://almaty.hh.kz/vacancy/78130427
Лаборант,79,з/п не указана,не требуется,"ТОО Олимп КДЛ, ТМ (ТОО Мырза Хан)",Вакансия опубликована 25 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, проспект Шакарима, 156/1",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/78895983
Медицинский представитель,65,з/п не указана,не требуется,"ТОО Олимп КДЛ, ТМ (ТОО Мырза Хан)",Вакансия опубликована 25 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, проспект Шакарима, 156/1",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/78218155
Инженер по качеству колбасного завода,44,до 175 000 KZT на руки,не требуется,АО Aitas KZ,Вакансия опубликована 19 мая 2023 в Усть-Каменогорске,Алматы,сменный график,"Полная занятость, сменный график",Управление качеством;Офисные программы;Высшее образование;Контроль качества;Работа с претензиями;,https://almaty.hh.kz/vacancy/80699903
