Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Бухгалтер материального стола,18,от 195 000 до 200 000 KZT на руки,ТОО Explosion Solutions,Вакансия опубликована 4 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Учет материалов;1С: Бухгалтерия и склад;Основные средства;Первичная документация;,https://almaty.hh.kz/vacancy/80079371,,Финансы
"Оператор 1С, г. Караганда",40,от 150 000 KZT до вычета налогов,ТОО RG Brands Kazakhstan,Вакансия опубликована 3 мая 2023 в Караганде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80029849,,
Бухгалтер-оператор,18,до 95 000 KZT до вычета налогов,ТОО Казахский Продукт,Вакансия опубликована 11 мая 2023 в Караганде,Алматы,полный день,Частичная занятость,"Пользователь ПК;Internet;Высокие коммуникативные навыки;Коммуникабельность, стрессоустойчивость;Материальная ответственность;Отчеты;",https://almaty.hh.kz/vacancy/80273689,,Финансы
Психолог Дефектолог / Социальный работник-Логопед,132,от 100 000 до 150 000 KZT на руки,ТОО АБИЛИТАЦИОННЫЙ ЦЕНТР АМАЛИЯ,Вакансия опубликована 15 мая 2023 в Караганде,"Караганда, улица Чехова, 17",полный день,Полная занятость,Работа в команде;Умение работать с детьми;Терпеливость;,https://almaty.hh.kz/vacancy/80424445,,
Торговый представитель,129,от 200 000 до 250 000 KZT на руки,ТОО RostFood KZ,Вакансия опубликована 11 мая 2023 в Караганде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80271140,,
Мобилограф / SMM менеджер,3,от 150 000 до 600 000 KZT до вычета налогов,ИП Русина,Вакансия опубликована 19 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Рекламная съемка;Идейность;Генерация идей;Монтаж видео;Instagram;Видеосъемка;Работа в команде;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80727744,,Менеджмент
Администратор салона красоты,8,от 80 000 до 140 000 KZT на руки,ИП КАДАРМЕНОВА Ж.О.,Вакансия опубликована 4 мая 2023 в Караганде,"Караганда, проспект Бухар Жырау, 55/6",полный день,Полная занятость,Пользователь ПК;Работа в команде;Грамотная речь;Телефонные переговоры;Консультирование клиентов по телефону;,https://almaty.hh.kz/vacancy/80108786,,
Торговый представитель,129,до 500 000 KZT до вычета налогов,ТОО Мега Вкус,Вакансия опубликована 23 мая 2023 в Караганде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80888521,,
Администратор в языковой центр InterPress IH Karaganda,8,от 150 000 до 225 000 KZT до вычета налогов,ТОО KARAGANDA ELT,Вакансия опубликована 24 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Пользователь ПК;Грамотная речь;Английский язык;Грамотность;Работа в команде;,https://almaty.hh.kz/vacancy/80935802,,
Контент-менеджер,103,от 100 000 до 160 000 KZT на руки,ИП Лебедева Л.Т.,Вакансия опубликована 25 мая 2023 в Караганде,Караганда,полный день,Полная занятость,Пользователь ПК;Работа в команде;Грамотная речь;Поиск информации в интернет;Internet;,https://almaty.hh.kz/vacancy/81018457,,Массмедиа
