Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Детский психолог,Образование и воспитание,от 103 500 тенге,ИП DARA,Вакансия опубликована 24.02.2023,Адреса нет,полный день,Проектная работа,Характеристика структуры формирующегося психического дефекта в процессуальном заболевании;,https://enbek.kz/ru/vacancy/detskii-psikholog~2949666,Молодежная практика,
Учитель физической культуры и спорта,Культура и спорт,от 103 500 тенге,ИП DARA,Вакансия опубликована 24.02.2023,Адреса нет,полный день,Проектная работа,Оценка физического состояния учащихся;,https://enbek.kz/ru/vacancy/uchitel-fizicheskoi-kultury-i-sporta~2949667,Молодежная практика,
Учитель математики (алгебра и геометрия),Образование и воспитание,от 103 500 тенге,"ИП ""KAISAR""",Вакансия опубликована 24.02.2023,Адреса нет,полный день,Проектная работа,Математический анализ;,https://enbek.kz/ru/vacancy/uchitel-matematiki-(algebra-i-geometriya)~2949346,Молодежная практика,
Сварщик,Производство,от 103 500 тенге,"ИП ""Аманкелді""",Вакансия опубликована 24.02.2023,Адреса нет,полный день,Проектная работа,Ручная дуговая сварка неплавящимся электродом в среде защитных газов;,https://enbek.kz/ru/vacancy/svarshchik~2942251,Молодежная практика,Сервисное обслуживание/производство
Бухгалтер,Финансы и бухучет,от 103 500 тенге,ИП Нургасыр,Вакансия опубликована 23.02.2023,Адреса нет,полный день,Проектная работа,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/bukhgalter~2940848,Молодежная практика,Финансы
Бухгалтер,Финансы и бухучет,от 103 500 тенге,Ғажап-Нұр Сервис,Вакансия опубликована 23.02.2023,Адреса нет,полный день,Проектная работа,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/bukhgalter~2940867,Молодежная практика,Финансы
Бухгалтер,Финансы и бухучет,от 103 500 тенге,ИП Алмуратқызы Динара,Вакансия опубликована 23.02.2023,Адреса нет,полный день,Проектная работа,Ведение установленных форм учета;,https://enbek.kz/ru/vacancy/bukhgalter~2940953,Молодежная практика,Финансы
Бухгалтер-кассир,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Атырауское учебно-производственное предприятие общественного объединения ""Казахское общество слепых""",Вакансия опубликована 22.02.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter-kassir~2936431,Молодежная практика,Финансы
Ассистент стоматолога,Медицина и фармацевтика,от 103 500 тенге,ИП MUNAR,Вакансия опубликована 22.02.2023,Адреса нет,полный день,Проектная работа,"Лечение травм зубов, повреждений мягких тканей лица и полости рта;",https://enbek.kz/ru/vacancy/assistent-stomatologa~2937275,Молодежная практика,Медицина
Воспитатель,Образование и воспитание,от 103 500 тенге,ИП Утегенова,Вакансия опубликована 21.02.2023,Адреса нет,полный день,Проектная работа,Умение выстраивать коммуникацию на нескольких языках;,https://enbek.kz/ru/vacancy/vospitatel~2932358,Молодежная практика,
Инженер-технолог (общий профиль),Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""West Dala"" ""Вест Дала""",Вакансия опубликована 21.02.2023,Адреса нет,полный день,Проектная работа,Организационно-технические мероприятия и ведение записей;,https://enbek.kz/ru/vacancy/inzhener-tekhnolog-(obshchii-profil)~2934087,Молодежная практика,Сервисное обслуживание/производство
Инженер-эколог,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""West Dala"" ""Вест Дала""",Вакансия опубликована 21.02.2023,Адреса нет,полный день,Проектная работа,"Проведение лекций, бесед, выступлений в организациях по экологической тематике;",https://enbek.kz/ru/vacancy/inzhener-ekolog~2934088,Молодежная практика,Сервисное обслуживание/производство
Юрисконсульт,Юриспруденция,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""West Dala"" ""Вест Дала""",Вакансия опубликована 21.02.2023,Адреса нет,полный день,Проектная работа,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/yuriskonsult~2934089,Молодежная практика,Юриспруденция
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""West Dala"" ""Вест Дала""",Вакансия опубликована 21.02.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~2934090,Молодежная практика,Финансы
