Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Оператор производственной линии (машинист экструдера),85,от 200 000 до 200 000 KZT на руки,ТехноНИКОЛЬ,Вакансия опубликована 15 мая 2023 в Алматы,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80430546,,Сервисное обслуживание/производство
Преподаватель информатики,132,от 150 000 до 150 000 KZT на руки,ТОО Білімді Болашақ,Вакансия опубликована 29 мая 2023 в Алматы,"Алматы, улица Мауленова, 85",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81254951,,
Менеджер по сопровождению (Техподдержка),121,от 150 000 до 200 000 KZT на руки,ТОО Smartloyalty,Вакансия опубликована 27 мая 2023 в Алматы,"Алматы, улица Саина",сменный график,Частичная занятость,Пользователь ПК;Работа в команде;Консультирование клиентов;Телефонные переговоры;Грамотная устная и письменная речь;Эффективное принятие решений;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80932775,,
Стажер в Отдел бухгалтерии,40,з/п не указана,ТОО Carlsberg Kazakhstan,Вакансия опубликована 29 мая 2023 в Алматы,"город Алматы, Райымбек батыра, улица Казыбаева, 270",полный день,Стажировка,Ответственность;Английский язык;Аналитическое мышление;Коммуникабельность;,https://almaty.hh.kz/vacancy/81219811,,
Санитарка/санитар,64,от 130 000 до 150 000 KZT на руки,ТОО DAR CLINIC,Вакансия опубликована 13 мая 2023 в Алматы,"Алматы, Алатау, Алмалы, Байконур, Театр имени Ауэзова, 121 улица Карасай Батыра",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80382918,,Медицина
Специалист по партнерским программам,71,от 50 000 руб. до вычета налогов,Atomy,Вакансия опубликована 11 мая 2023 в Алматы,Алматы,полный день,Частичная занятость,Продажи;Прямые продажи;Желание расти и развиваться;Стремление развиваться;Общение;Высокие коммуникативные навыки;Активные продажи;Лидерство;Стремление;,https://almaty.hh.kz/vacancy/80273549,,Менеджмент
Макетчик-монтажник,78,з/п не указана,ТОО IdealSolution,Вакансия опубликована 23 мая 2023 в Алматы,"Алматы, Райымбек батыра, Жетысуский район, переулок Казыбаева, 61А",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80021268,,
Специалист по прорисовке планограмм выкладки,40,з/п не указана,ТОО MAGNUM. Коммерция/Коммерция,Вакансия опубликована 11 мая 2023 в Алматы,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80302699,,
Оператор Call-centre,3,з/п не указана,ТОО MFO BNK Finance Kazakhstan,Вакансия опубликована 16 мая 2023 в Алматы,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80498075,,Менеджмент
Повар ресторана,94,от 120 000 до 180 000 руб. на руки,ТОО ISSMILE,Вакансия опубликована 20 мая 2023 в Алматы,"Алматы, Москва, 2 проспект Абая",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80767874,,
Intern in HR (Recruitment/Admin),118,з/п не указана,ТОО Caspian International Restaurants company,Вакансия опубликована 4 мая 2023 в Алматы,Алматы,полный день,Стажировка,MS PowerPoint;Analytical skills;Time management;Работа с документами;MS Excel;Communication skills;,https://almaty.hh.kz/vacancy/80085123,,Менеджмент
Менеджер по продажам,137,от 400 000 до 1 500 000 KZT на руки,ТОО АГ ТЕХНОЛОДЖИ,Вакансия опубликована 15 мая 2023 в Алматы,"Алматы, Алатау, улица Абиша Кекилбайулы, 34",полный день,Полная занятость,Грамотная речь;Консультирование;Работа с людьми;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80414593,,Финансы
Промоутер-консультант/Хостес табачной продукции,140,от 116 000 до 200 000 KZT на руки,ТОО CONTINEO,Вакансия опубликована 28 мая 2023 в Алматы,Алматы,полный день,Частичная занятость,Работа в команде;Проведение презентаций;Ведение переговоров;Грамотная речь;Активные продажи;,https://almaty.hh.kz/vacancy/80788071,,
Intern TAX Department,40,з/п не указана,ТОО ШНАЙДЕР ГРУП,Вакансия опубликована 16 мая 2023 в Алматы,"Алматы, улица Толе би, 101",гибкий график,Полная занятость,Tax Accounting;Taxes;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/80512342,,
Мерчендайзер,77,от 181 500 до 200 000 KZT до вычета налогов,ТОО Павлодар Маг 11,Вакансия опубликована 29 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Работа в команде;Проведение ревизий;Навыки работы с первичной документацией;Планирование карьеры;Сообразительность;Выкладка товаров;Стремление к профессиональному росту;,https://almaty.hh.kz/vacancy/80144637,,
Специалист Сектора администрирования кредитных договоров,40,з/п не указана,"Евразийский банк, АО",Вакансия опубликована 4 мая 2023 в Алматы,"Алматы, улица Наурызбай Батыра, 17Б",полный день,Полная занятость,Работа в команде;Работа с большим объемом информации;Электронный документооборот;,https://almaty.hh.kz/vacancy/74949815,,
Торговый представитель по городу,129,от 250 000 KZT до вычета налогов,ТОО Common Market Corporation,Вакансия опубликована 4 мая 2023 в Алматы,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/79246949,,
Учитель русского языка,132,от 80 000 до 350 000 KZT на руки,ИП СЕКСЕНАЛЫ,Вакансия опубликована 29 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Русский — C2 — В совершенстве;Казахский — B1 — Средний;,https://almaty.hh.kz/vacancy/80275697,,
Менеджер проектов,107,от 62 000 руб. на руки,ООО Евразия Консалтинг,Вакансия опубликована 29 мая 2023 в Алматы,Алматы,удаленная работа,Полная занятость,E9,https://almaty.hh.kz/vacancy/80584314,,IT
Помощник бухгалтера,18,до 150 000 KZT на руки,ТОО KZF Service,Вакансия опубликована 27 мая 2023 в Алматы,"Алматы, проспект Аль-Фараби, 17",полный день,Полная занятость,"уверенное пользование ПК, знание программ MS Office;",https://almaty.hh.kz/vacancy/78608349,,Финансы
Оператор расфасовочно-упаковочного автомата,85,от 120 000 до 150 000 KZT на руки,ИП Геологические изыскания,Вакансия опубликована 3 мая 2023 в Алматы,"Алматы, Алатау, Байконур, Театр имени Ауэзова, улица Ауэзова, 145В",полный день,Полная занятость,Умение планировать;Материальная ответственность;Работа с документами;Контроль качества;Умение работать в команде;Способность обучать других;Навыки составления отчетности;принимать решения и за их результаты отвечать самостоятельно;планировать и оптимально организовать рабочий процесс;Ответственность и пунктуальность;,https://almaty.hh.kz/vacancy/80065815,,Сервисное обслуживание/производство
Бухгалтер по ТМЦ,18,з/п не указана,ТОО Алтын Алма,Вакансия опубликована 18 мая 2023 в Алматы,"Алматы, улица Нурмакова, 75",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/73216984,,Финансы
Unreal Engine Developer,96,з/п не указана,Fntastic,Вакансия опубликована 27 мая 2023 в Алматы,Алматы,удаленная работа,Полная занятость,Unreal Engine;Unreal Engine 4;C++;Разработка компьютерных Игр;Gamedev;Game Programming;,https://almaty.hh.kz/vacancy/80399039,,IT
Помощник повара,94,от 120 000 до 150 000 KZT на руки,ИП Тарым (ИП Наметов),Вакансия опубликована 27 мая 2023 в Алматы,"Алматы, улица Орманова, 42",сменный график,Полная занятость,Работа в команде;Поиск информации в интернет;Навыки работы с первичной документацией;Работа с людьми;Поварское дело;,https://almaty.hh.kz/vacancy/80635393,,
Менеджер по работе с клиентами,72,от 100 000 до 1 400 000 KZT на руки,ТОО БЕСТ ТУР,Вакансия опубликована 27 мая 2023 в Алматы,"Алматы, Байконур, проспект Абая, 36",полный день,Полная занятость,Активные продажи;Поиск и привлечение клиентов;Туристический менеджмент;Навыки презентации;,https://almaty.hh.kz/vacancy/79445827,,
Помощник бухгалтера,18,от 80 000 KZT на руки,ТОО ELEN Consulting,Вакансия опубликована 29 мая 2023 в Алматы,"Алматы, проспект Сакена Сейфуллина, 531/107",полный день,Полная занятость,"Пользователь ПК;Ведение документации;Поиск информации в интернет;Первичные документы;Навыки работы с первичной документацией;Работа в Excel;Работа в условиях многозадачности;Коммуникабельность, стрессоустойчивость;Русский — C2 — В совершенстве;",https://almaty.hh.kz/vacancy/80300868,,Финансы
Стажер-программист 1С,96,з/п не указана,ТОО Диалог-Сервис,Вакансия опубликована 28 мая 2023 в Алматы,"Алматы, Алатау, улица Мынбаева, 46",полный день,Стажировка,E9,https://almaty.hh.kz/vacancy/80474835,,IT
Торговый представитель по г. Алматы,129,от 70 000 до 300 000 KZT до вычета налогов,ИП Clean Land,Вакансия опубликована 27 мая 2023 в Алматы,"Алматы, проспект Сакена Сейфуллина, 288",полный день,Полная занятость,Умение расставлять приоритеты;Ориентация на клиента;Работа с возражениями;Навыки продаж;Мерчандайзинг;Активные продажи;Ведение клиентской базы;Торговля;Розничная торговля;Составление отчетности;Оценка потребностей клиентов;Гибкость;Работа в условиях многозадачности;Навыки работы с возражениями;Прямые продажи;,https://almaty.hh.kz/vacancy/81072424,,
Бухгалтер,18,от 100 000 до 150 000 KZT на руки,ТОО Компания БИО,Вакансия опубликована 27 мая 2023 в Алматы,Алматы мкр Таугуль -1 ул Шалова 83а,полный день,Полная занятость,Пользователь ПК;Первичная бухгалтерская документация;1C: Бухгалтерия;,https://almaty.hh.kz/vacancy/79944721,,Финансы
Инженер,40,з/п не указана,ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL),Вакансия опубликована 29 мая 2023 в Алматы,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80309318,,
Специалист по досудебному урегулированию (младший юрист),146,от 150 000 до 300 000 KZT на руки,ТОО МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ SOFI FINANCE (СОФИ ФИНАНС),Вакансия опубликована 21 мая 2023 в Алматы,"Алматы, проспект Сакена Сейфуллина, 502",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80777867,,
"Intern, Corporate Tax (Almaty)",18,з/п не указана,ТОО KPMG,Вакансия опубликована 12 мая 2023 в Алматы,Алматы,полный день,Стажировка,E9,https://almaty.hh.kz/vacancy/79186578,,Финансы
