Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,ИП Serikovna,Вакансия опубликована 17.05.2023,Адреса нет,полный день,Проектная работа,Проведение анализа требований потребителей согласно результатам маркетинговых исследований;,https://enbek.kz/ru/vacancy/smm-menedzher~3101364,Молодежная практика,Журналистика
Помощник бухгалтера,Финансы и бухучет,от 103 500 тенге,"ИП ""АЙТХОЖАЕВА С.А.""",Вакансия опубликована 04.05.2023,Адреса нет,полный день,Проектная работа,Учет товарно-материальных ценностей;,https://enbek.kz/ru/vacancy/pomoshchnik-bukhgaltera~3069729,Первое рабочее место,Финансы
Бухгалтер,Финансы и бухучет,от 103 500 тенге,Гаухартас,Вакансия опубликована 03.05.2023,Адреса нет,полный день,Проектная работа,"Эксплуатация контрольно-кассовой техники (ККТ), выполнение расчета с покупателями;",https://enbek.kz/ru/vacancy/bukhgalter~3064550,Молодежная практика,Финансы
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,Калмекеева Сымбат Сарсенбековна,Вакансия опубликована 21.04.2023,Адреса нет,полный день,Проектная работа,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/smm-menedzher~3049736,Первое рабочее место,Журналистика
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Стома-Люкс""",Вакансия опубликована 17.04.2023,Адреса нет,полный день,Проектная работа,Сестринский уход;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~3036552,Молодежная практика,Медицина
Воспитатель,Образование и воспитание,от 103 500 тенге,"ИП ""Айша""",Вакансия опубликована 12.04.2023,Адреса нет,полный день,Проектная работа,Умение выстраивать коммуникацию на нескольких языках;,https://enbek.kz/ru/vacancy/vospitatel~3035782,Молодежная практика,
Воспитатель,Образование и воспитание,от 103 500 тенге,"ИП ""Айша""",Вакансия опубликована 07.04.2023,Адреса нет,полный день,Проектная работа,Умение выстраивать коммуникацию на нескольких языках;,https://enbek.kz/ru/vacancy/vospitatel~3025987,Молодежная практика,
Педагог-организатор,Образование и воспитание,от 103 500 тенге,"""Adele stars""",Вакансия опубликована 07.04.2023,Адреса нет,полный день,Проектная работа,Обеспечение методического сопровождения педагогического процесса;,https://enbek.kz/ru/vacancy/pedagog-organizator~3016926,Молодежная практика,
Художественный руководитель,Культура и спорт,от 103 500 тенге,"""Adele stars""",Вакансия опубликована 04.04.2023,Адреса нет,полный день,Проектная работа,Способность творчески воплощать идейно-художественный замысел режиссера;,https://enbek.kz/ru/vacancy/khudozhestvennyi-rukovoditel~3016927,Молодежная практика,
Преподаватель (в системе специального образования),Образование и воспитание,от 103 500 тенге,ИП ЖАНЖИГИТОВА АЛТЫНАЙ,Вакансия опубликована 04.04.2023,Адреса нет,полный день,Проектная работа,Организация образовательного процесса;,https://enbek.kz/ru/vacancy/prepodavatel-(v-sisteme-specialnogo-obrazovaniya)~3016866,Молодежная практика,
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,"ИП Футбольный центр ""ADS""",Вакансия опубликована 31.03.2023,Адреса нет,полный день,Проектная работа,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/smm-menedzher~3011372,Первое рабочее место,Журналистика
Web-разработчик,IT и телекоммуникации,от 103 500 тенге,Товарищество с ограниченной ответственностью «АKZHOL LUX АUTO»,Вакансия опубликована 29.03.2023,Адреса нет,полный день,Проектная работа,Размещение приложений в порталах для потенциальных покупателей;,https://enbek.kz/ru/vacancy/web-razrabotchik~2996920,Первое рабочее место,IT
Брошюровщик,Производство,от 103 500 тенге,Товарищество с ограниченной ответственностью «АKZHOL LUX АUTO»,Вакансия опубликована 29.03.2023,Адреса нет,полный день,Проектная работа,Подготовка к изданию информационных материалов;,https://enbek.kz/ru/vacancy/broshyurovshchik~2996921,Первое рабочее место,Сервисное обслуживание/производство
Шлифовщик,Производство,от 103 500 тенге,"ИП ""БекНур""",Вакансия опубликована 24.03.2023,Адреса нет,полный день,Проектная работа,Шлифование и доводка сложных деталей и инструмента с большим числом пеpеходов;,https://enbek.kz/ru/vacancy/shlifovshchik~2993293,Первое рабочее место,Сервисное обслуживание/производство
Техник-программист,IT и телекоммуникации,от 103 500 тенге,ИП Сурауханова Кундузай Ергалиевна,Вакансия опубликована 20.03.2023,Адреса нет,полный день,Проектная работа,Испытание изделий робототехники;,https://enbek.kz/ru/vacancy/tekhnik-programmist~2984310,Первое рабочее место,IT
Учитель начальных классов,Образование и воспитание,от 103 500 тенге,ИП Сурауханова Кундузай Ергалиевна,Вакансия опубликована 20.03.2023,Адреса нет,полный день,Проектная работа,Обеспечение методического сопровождения педагогического процесса;,https://enbek.kz/ru/vacancy/uchitel-nachalnykh-klassov~2984311,Первое рабочее место,
Учитель иностранного языка начального образования,Образование и воспитание,от 103 500 тенге,ИП Сурауханова Кундузай Ергалиевна,Вакансия опубликована 20.03.2023,Адреса нет,полный день,Проектная работа,Обеспечение методического сопровождения педагогического процесса;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka-nachalnogo-obrazovaniya~2984312,Первое рабочее место,
Учитель иностранного языка,Образование и воспитание,от 103 500 тенге,ИП Сурауханова Кундузай Ергалиевна,Вакансия опубликована 20.03.2023,Адреса нет,полный день,Проектная работа,Преподавание предметов на английском языке;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka~2984313,Первое рабочее место,
Детский психолог,Образование и воспитание,от 103 500 тенге,ИП Сурауханова Кундузай Ергалиевна,Вакансия опубликована 20.03.2023,Адреса нет,полный день,Проектная работа,Отбор психологического инструментария исследования;,https://enbek.kz/ru/vacancy/detskii-psikholog~2984314,Первое рабочее место,
Воспитатель,Образование и воспитание,от 103 500 тенге,ИП Сурауханова Кундузай Ергалиевна,Вакансия опубликована 20.03.2023,Адреса нет,полный день,Проектная работа,Проведение занятия для творческого развития детей;,https://enbek.kz/ru/vacancy/vospitatel~2984315,Первое рабочее место,
Административный секретарь,HR и секретариат,от 103 500 тенге,ИП Сурауханова Кундузай Ергалиевна,Вакансия опубликована 20.03.2023,Адреса нет,полный день,Проектная работа,"Учет и хранение, передача документов в подразделения;",https://enbek.kz/ru/vacancy/administrativnyi-sekretar~2984316,Первое рабочее место,Менеджмент
Педагог начальной школы,Образование и воспитание,от 103 500 тенге,ИП Сурауханова Кундузай Ергалиевна,Вакансия опубликована 20.03.2023,Адреса нет,полный день,Проектная работа,Организация учебно-воспитательного процесса;,https://enbek.kz/ru/vacancy/pedagog-nachalnoi-shkoly~2984318,Первое рабочее место,
Хореограф,Культура и спорт,от 103 500 тенге,"""Adele stars""",Вакансия опубликована 17.03.2023,Адреса нет,полный день,Проектная работа,Владение методологией творческого процесса в танцевальном коллективе;,https://enbek.kz/ru/vacancy/khoreograf~2990716,Первое рабочее место,
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,ИП Токбергенова,Вакансия опубликована 17.03.2023,Адреса нет,полный день,Проектная работа,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/smm-menedzher~2984076,Первое рабочее место,Журналистика
Консультант по торговым операциям,Финансы и бухучет,от 103 500 тенге,ИП АХМЕТОВ С.А.,Вакансия опубликована 17.03.2023,Адреса нет,полный день,Проектная работа,Заключение договоров и контрактов;,https://enbek.kz/ru/vacancy/konsultant-po-torgovym-operaciyam~2984242,Первое рабочее место,Финансы
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,ИП АХМЕТОВ С.А.,Вакансия опубликована 17.03.2023,Адреса нет,полный день,Проектная работа,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/smm-menedzher~2984243,Первое рабочее место,Журналистика
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,ИП Молдашова,Вакансия опубликована 17.03.2023,Адреса нет,полный день,Проектная работа,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/smm-menedzher~2984247,Первое рабочее место,Журналистика
Учитель иностранного языка,Образование и воспитание,от 103 500 тенге,ИП Сурауханова Кундузай Ергалиевна,Вакансия опубликована 13.03.2023,Адреса нет,полный день,Проектная работа,Преподавание предметов на английском языке;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka~2978611,Молодежная практика,
Воспитатель,Образование и воспитание,от 103 500 тенге,"Коммунальное государственное учреждение ""Общеобразовательная школа №4"" отдела образования города Жезказгана управления образования области Ұлытау",Вакансия опубликована 09.03.2023,Адреса нет,полный день,Проектная работа,Проведение воспитательных мероприятий;,https://enbek.kz/ru/vacancy/vospitatel~2965130,Молодежная практика,
Учитель начальных классов,Образование и воспитание,от 103 500 тенге,"Коммунальное государственное учреждение ""Общеобразовательная школа №4"" отдела образования города Жезказгана управления образования области Ұлытау",Вакансия опубликована 09.03.2023,Адреса нет,полный день,Проектная работа,Разработка обучающих программ;,https://enbek.kz/ru/vacancy/uchitel-nachalnykh-klassov~2965131,Молодежная практика,
Учитель математики (алгебра и геометрия),Образование и воспитание,от 103 500 тенге,"Коммунальное государственное учреждение ""Общеобразовательная школа №4"" отдела образования города Жезказгана управления образования области Ұлытау",Вакансия опубликована 09.03.2023,Адреса нет,полный день,Проектная работа,Работа с обучаемыми;,https://enbek.kz/ru/vacancy/uchitel-matematiki-(algebra-i-geometriya)~2965132,Молодежная практика,
Помощник учителя,Образование и воспитание,от 103 500 тенге,"Коммунальное государственное учреждение ""Общеобразовательная школа №4"" отдела образования города Жезказгана управления образования области Ұлытау",Вакансия опубликована 09.03.2023,Адреса нет,полный день,Проектная работа,Проведение родительских собраний;,https://enbek.kz/ru/vacancy/pomoshchnik-uchitelya~2965133,Молодежная практика,
Воспитатель,Образование и воспитание,от 103 500 тенге,"Коммунальное государственное учреждение ""Общеобразовательная школа №4"" отдела образования города Жезказгана управления образования области Ұлытау",Вакансия опубликована 09.03.2023,Адреса нет,полный день,Проектная работа,Проведение занятия для творческого развития детей;,https://enbek.kz/ru/vacancy/vospitatel~2965134,Молодежная практика,
Учитель математики (алгебра и геометрия),Образование и воспитание,от 103 500 тенге,"Коммунальное государственное учреждение ""Общеобразовательная школа №4"" отдела образования города Жезказгана управления образования области Ұлытау",Вакансия опубликована 09.03.2023,Адреса нет,полный день,Проектная работа,Планирование учебного занятия;,https://enbek.kz/ru/vacancy/uchitel-matematiki-(algebra-i-geometriya)~2965135,Молодежная практика,
