Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Делопроизводитель,HR и секретариат,от 103 500 тенге,"Коммунальное государственное казенное предприятие ""Ясли-сад ""Нұрбесік"" отдела образования по городу Кызылорда управления образования Кызылординской области""",Вакансия опубликована 10.03.2023,Адреса нет,полный день,Проектная работа,Регистрация входящей и исходящей информации;,https://enbek.kz/ru/vacancy/deloproizvoditel~2976587,Молодежная практика,Менеджмент
Логопед,Образование и воспитание,от 103 500 тенге,"Коммунальное государственное казенное предприятие ""Ясли-сад ""Нұрбесік"" отдела образования по городу Кызылорда управления образования Кызылординской области""",Вакансия опубликована 10.03.2023,Адреса нет,полный день,Проектная работа,Оценка психологического состояния учащегося;,https://enbek.kz/ru/vacancy/logoped~2976588,Молодежная практика,
Видеооператор,IT и телекоммуникации,от 103 500 тенге,ИП Арсен,Вакансия опубликована 09.03.2023,Адреса нет,полный день,Проектная работа,Умение работать в команде;,https://enbek.kz/ru/vacancy/videooperator~2974930,Молодежная практика,IT
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Мансур-Дент""",Вакансия опубликована 07.03.2023,Адреса нет,полный день,Проектная работа,Подготовка пациента к лечению;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~2971058,Молодежная практика,Медицина
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,ИП Исабекова,Вакансия опубликована 07.03.2023,Адреса нет,полный день,Проектная работа,Маркетинговая деятельность;,https://enbek.kz/ru/vacancy/smm-menedzher~2970858,Первое рабочее место,Журналистика
Психолог,Медицина и фармацевтика,от 103 500 тенге,Товарищество с ограниченной ответственностью «Детский сад «Ай - Тоша»,Вакансия опубликована 07.03.2023,Адреса нет,полный день,Проектная работа,Отбор психологического инструментария исследования;,https://enbek.kz/ru/vacancy/psikholog~2962698,Молодежная практика,Медицина
Учитель музыки,Образование и воспитание,от 103 500 тенге,Товарищество с ограниченной ответственностью «Детский сад «Ай - Тоша»,Вакансия опубликована 07.03.2023,Адреса нет,полный день,Проектная работа,Владение различными стилями и направлениями в музыке;,https://enbek.kz/ru/vacancy/uchitel-muzyki~2962699,Молодежная практика,
Логопед,Образование и воспитание,от 103 500 тенге,Товарищество с ограниченной ответственностью «Детский сад «Ай - Тоша»,Вакансия опубликована 07.03.2023,Адреса нет,полный день,Проектная работа,Работа с учащимися с особыми потребностями;,https://enbek.kz/ru/vacancy/logoped~2962700,Молодежная практика,
Воспитатель,Образование и воспитание,от 103 500 тенге,Товарищество с ограниченной ответственностью «Детский сад «Ай - Тоша»,Вакансия опубликована 07.03.2023,Адреса нет,полный день,Проектная работа,Знание методов диагностики личностного потенциала обучающего;,https://enbek.kz/ru/vacancy/vospitatel~2962701,Молодежная практика,
Финансист,Финансы и бухучет,от 103 500 тенге,"Коммунальное государственное учреждение ""Кызылординский городской отдел предпринимательства, промышленности и туризма"" акимата города Кызылорда",Вакансия опубликована 06.03.2023,Адреса нет,полный день,Проектная работа,Финансовое планирование;,https://enbek.kz/ru/vacancy/finansist~2968307,Молодежная практика,Финансы
