Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Графический дизайнер,IT и телекоммуникации,от 103 500 тенге,ИП Омаров СД,Вакансия опубликована 19.04.2023,Адреса нет,полный день,Проектная работа,художник;,https://enbek.kz/ru/vacancy/graficheskii-dizainer~3050279,Молодежная практика,IT
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Достық-СҚО""",Вакансия опубликована 17.04.2023,Адреса нет,полный день,Проектная работа,Оказание лечебно-профилактической помощи;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~3046807,Первое рабочее место,Медицина
Администратор клиники,Медицина и фармацевтика,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Достық-СҚО""",Вакансия опубликована 17.04.2023,Адреса нет,полный день,Проектная работа,Регистрация входящей и исходящей информации;,https://enbek.kz/ru/vacancy/administrator-kliniki~3046808,Первое рабочее место,Медицина
Врач-терапевт,Медицина и фармацевтика,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Достық-СҚО""",Вакансия опубликована 17.04.2023,Адреса нет,полный день,Проектная работа,"Оказание квалифицированной, скорой и других видов медицинской помощи;",https://enbek.kz/ru/vacancy/vrach-terapevt~3046809,Первое рабочее место,Медицина
"Санитар, санитарка",Медицина и фармацевтика,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Достық-СҚО""",Вакансия опубликована 17.04.2023,Адреса нет,полный день,Проектная работа,Контроль за соблюдением санитарных норм;,"https://enbek.kz/ru/vacancy/sanitar,-sanitarka~3046810",Первое рабочее место,Медицина
Врач-терапевт,Медицина и фармацевтика,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Достық-СҚО""",Вакансия опубликована 17.04.2023,Адреса нет,полный день,Проектная работа,Подготовка пациента к лечению;,https://enbek.kz/ru/vacancy/vrach-terapevt~3046817,Молодежная практика,Медицина
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Достық-СҚО""",Вакансия опубликована 17.04.2023,Адреса нет,полный день,Проектная работа,Амбулаторный прием и обслуживание больных на дому;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~3046818,Молодежная практика,Медицина
Учитель музыки,Образование и воспитание,от 103 500 тенге,ИП Могунова,Вакансия опубликована 17.04.2023,Адреса нет,полный день,Проектная работа,Владение различными стилями и направлениями в музыке;,https://enbek.kz/ru/vacancy/uchitel-muzyki~3046789,Молодежная практика,
Детский психолог,Образование и воспитание,от 103 500 тенге,ИП Могунова,Вакансия опубликована 17.04.2023,Адреса нет,полный день,Проектная работа,Отбор психологического инструментария исследования;,https://enbek.kz/ru/vacancy/detskii-psikholog~3046790,Молодежная практика,
Воспитатель,Образование и воспитание,от 103 500 тенге,ИП Могунова,Вакансия опубликована 17.04.2023,Адреса нет,полный день,Проектная работа,Знание методов диагностики личностного потенциала обучающего;,https://enbek.kz/ru/vacancy/vospitatel~3046791,Молодежная практика,
Логопед-дефектолог,Образование и воспитание,от 103 500 тенге,"Логопедический кабинет ""Говоруша""",Вакансия опубликована 17.04.2023,Адреса нет,полный день,Проектная работа,Оказание помощи инвалидам и лицам с ограниченными возможностями здоровья;,https://enbek.kz/ru/vacancy/logoped-defektolog~3045597,Молодежная практика,
Инструктор по физической культуре,Образование и воспитание,от 103 500 тенге,"Логопедический кабинет ""Говоруша""",Вакансия опубликована 17.04.2023,Адреса нет,полный день,Проектная работа,Планирование тренировочного процесса;,https://enbek.kz/ru/vacancy/instruktor-po-fizicheskoi-kulture~3045598,Молодежная практика,
Детский психолог,Медицина и фармацевтика,от 103 500 тенге,"Логопедический кабинет ""Говоруша""",Вакансия опубликована 17.04.2023,Адреса нет,полный день,Проектная работа,Исследование динамики психических нарушений;,https://enbek.kz/ru/vacancy/detskii-psikholog~3045603,Первое рабочее место,Медицина
Инструктор по физической культуре,Образование и воспитание,от 103 500 тенге,"Логопедический кабинет ""Говоруша""",Вакансия опубликована 17.04.2023,Адреса нет,полный день,Проектная работа,Проведение групповых и индивидуальных занятий;,https://enbek.kz/ru/vacancy/instruktor-po-fizicheskoi-kulture~3045604,Первое рабочее место,
Помощник юриста,Юриспруденция,от 103 500 тенге,"Северо-Казахстанский областной филиал общественного объединения ""Партия ""AMANAT""",Вакансия опубликована 03.04.2023,Адреса нет,полный день,Проектная работа,"Разработка положений о сделках (договорах), связанных с приобретением или отчуждением имущества;",https://enbek.kz/ru/vacancy/pomoshchnik-yurista~3012627,Молодежная практика,Юриспруденция
Делопроизводитель,HR и секретариат,от 103 500 тенге,"Северо-Казахстанский филиал акционерного общества ""Казахстанская аграрная экспертиза""",Вакансия опубликована 29.03.2023,Адреса нет,полный день,Проектная работа,Ведение документации и формирование отчетности;,https://enbek.kz/ru/vacancy/deloproizvoditel~3003801,Молодежная практика,Менеджмент
Специалист по кадрам,HR и секретариат,от 103 500 тенге,"Коммунальное государственное учреждение ""Специализированная база акимата Северо-Казахстанской области"" коммунального государственного учреждения ""Аппарат акима Северо-Казахстанской области""",Вакансия опубликована 17.03.2023,Адреса нет,полный день,Проектная работа,Заключение трудовых договоров;,https://enbek.kz/ru/vacancy/specialist-po-kadram~2983341,Молодежная практика,Менеджмент
Юрист,Юриспруденция,от 103 500 тенге,"Коммунальное государственное учреждение ""Специализированная база акимата Северо-Казахстанской области"" коммунального государственного учреждения ""Аппарат акима Северо-Казахстанской области""",Вакансия опубликована 17.03.2023,Адреса нет,полный день,Проектная работа,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/yurist~2983342,Молодежная практика,Юриспруденция
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Коммунальное государственное учреждение ""Специализированная база акимата Северо-Казахстанской области"" коммунального государственного учреждения ""Аппарат акима Северо-Казахстанской области""",Вакансия опубликована 17.03.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~2983343,Молодежная практика,Финансы
Помощник юриста,Юриспруденция,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Центр правовой защиты и консалтинга""",Вакансия опубликована 14.03.2023,Адреса нет,полный день,Проектная работа,"Регистрация юридических лиц, эмиссий ценных акций;",https://enbek.kz/ru/vacancy/pomoshchnik-yurista~2980523,Молодежная практика,Юриспруденция
Разработчик программного обеспечения,IT и телекоммуникации,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Центр правовой защиты и консалтинга""",Вакансия опубликована 14.03.2023,Адреса нет,полный день,Проектная работа,Составление алгоритма программного кода;,https://enbek.kz/ru/vacancy/razrabotchik-programmnogo-obespecheniya~2980525,Молодежная практика,IT
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Центр правовой защиты и консалтинга""",Вакансия опубликована 14.03.2023,Адреса нет,полный день,Проектная работа,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/smm-menedzher~2980526,Молодежная практика,Журналистика
Учитель русского языка и литературы,Образование и воспитание,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Учебно-репетиторский центр ""Учазия""""",Вакансия опубликована 14.03.2023,Адреса нет,полный день,Проектная работа,Работа с обучаемыми;,https://enbek.kz/ru/vacancy/uchitel-russkogo-yazyka-i-literatury~2982678,Молодежная практика,
Учитель физической культуры и спорта,Образование и воспитание,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Учебно-репетиторский центр ""Учазия""""",Вакансия опубликована 14.03.2023,Адреса нет,полный день,Проектная работа,Оказание первой медицинской помощи;,https://enbek.kz/ru/vacancy/uchitel-fizicheskoi-kultury-i-sporta~2982679,Молодежная практика,
Учитель казахского языка и литературы,Образование и воспитание,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Учебно-репетиторский центр ""Учазия""""",Вакансия опубликована 14.03.2023,Адреса нет,полный день,Проектная работа,Работа с обучаемыми;,https://enbek.kz/ru/vacancy/uchitel-kazakhskogo-yazyka-i-literatury~2982680,Молодежная практика,
Вожатый,Образование и воспитание,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Учебно-репетиторский центр ""Учазия""""",Вакансия опубликована 14.03.2023,Адреса нет,полный день,Проектная работа,Проведение групповых и индивидуальных занятий;,https://enbek.kz/ru/vacancy/vozhatyi~2982682,Первое рабочее место,
Учитель иностранного языка,Образование и воспитание,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Учебно-репетиторский центр ""Учазия""""",Вакансия опубликована 14.03.2023,Адреса нет,полный день,Проектная работа,Работа с обучаемыми;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka~2982683,Первое рабочее место,
Помощник юриста,Юриспруденция,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Петропавловский электротехнический завод""",Вакансия опубликована 14.03.2023,Адреса нет,полный день,Проектная работа,"Регистрация юридических лиц, эмиссий ценных акций;",https://enbek.kz/ru/vacancy/pomoshchnik-yurista~2972073,Молодежная практика,Юриспруденция
Логопед-дефектолог,Образование и воспитание,от 103 500 тенге,"Общественное объединение ""Мой ребенок""",Вакансия опубликована 07.03.2023,Адреса нет,полный день,Проектная работа,Работа с учащимися с особыми потребностями;,https://enbek.kz/ru/vacancy/logoped-defektolog~2970657,Молодежная практика,
Детский психолог,Образование и воспитание,от 103 500 тенге,"Общественное объединение ""Мой ребенок""",Вакансия опубликована 07.03.2023,Адреса нет,полный день,Проектная работа,Оценка психологического состояния учащегося;,https://enbek.kz/ru/vacancy/detskii-psikholog~2970658,Молодежная практика,
Помощник бухгалтера,Финансы и бухучет,от 103 500 тенге,ИП ГАСАНОВ З.М.,Вакансия опубликована 07.03.2023,Адреса нет,полный день,Проектная работа,Организация бухгалтерского учета и финансово-хозяйственной деятельности;,https://enbek.kz/ru/vacancy/pomoshchnik-bukhgaltera~2970528,Молодежная практика,Финансы
PR-менеджер,Маркетинг и СМИ,от 103 500 тенге,ИП ГАСАНОВ З.М.,Вакансия опубликована 07.03.2023,Адреса нет,полный день,Проектная работа,Проведение рекламных презентаций для клиентов;,https://enbek.kz/ru/vacancy/pr-menedzher~2970530,Первое рабочее место,Журналистика
