Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости
Переводчик (письменный),Наука и консалтинг,от 138 000 тенге,техническое и профессиональное,"Республиканское государственное учреждение ""Управление по делам обороны Ауэзовского района города Алматы"" Министерства обороны Республики Казахстан",Вакансия опубликована 15.03.2023,Адреса нет,полный рабочий день,временная,Компьютерная грамотность;,https://enbek.kz/ru/vacancy/perevodchik-(pismennyi)~2986713,Молодежная практика
Координатор (менеджер) программ и проектов,Образование и воспитание,от 138 000 тенге,высшее,"Некоммерческое Акционерное общество ""Казахский национальный женский педагогический университет""",Вакансия опубликована 15.03.2023,Адреса нет,полный рабочий день,временная,Составление и оформление технической документации по выполненным работам;,https://enbek.kz/ru/vacancy/koordinator-(menedzher)-programm-i-proektov~2986060,Молодежная практика
Переводчик (письменный),Наука и консалтинг,от 138 000 тенге,техническое и профессиональное,ИП Бекжанов,Вакансия опубликована 15.03.2023,Адреса нет,полный рабочий день,временная,Компьютерная грамотность;,https://enbek.kz/ru/vacancy/perevodchik-(pismennyi)~2985269,Молодежная практика
Педагог-организатор,Образование и воспитание,от 138 000 тенге,высшее,"Коммунальное государственное учреждение ""Общеобразовательная школа №145 имени Аль-Фараби"" Управления образования города Алматы",Вакансия опубликована 14.03.2023,Адреса нет,полный рабочий день,временная,Обеспечение методического сопровождения педагогического процесса;,https://enbek.kz/ru/vacancy/pedagog-organizator~2983033,Молодежная практика
Учитель музыки,Образование и воспитание,от 138 000 тенге,высшее,"Коммунальное государственное учреждение ""Общеобразовательная школа №145 имени Аль-Фараби"" Управления образования города Алматы",Вакансия опубликована 14.03.2023,Адреса нет,полный рабочий день,временная,Развитие творческих способностей учащихся;,https://enbek.kz/ru/vacancy/uchitel-muzyki~2983005,Молодежная практика
Помощник юриста,Юриспруденция,от 138 000 тенге,техническое и профессиональное,"Товарищество с ограниченной ответственностью ""Tashkent City""",Вакансия опубликована 14.03.2023,Адреса нет,полный рабочий день,временная,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/pomoshchnik-yurista~2982181,Молодежная практика
Специалист по системе менеджмента качества,Наука и консалтинг,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""Concierge Service TMT""",Вакансия опубликована 13.03.2023,Адреса нет,полный рабочий день,временная,Устранение неисправностей в работе обслуживаемого оборудования;,https://enbek.kz/ru/vacancy/specialist-po-sisteme-menedzhmenta-kachestva~2981030,Молодежная практика
Технолог-конструктор,Производство,от 138 000 тенге,техническое и профессиональное,Толебаева Анар Дуйсембекқызы,Вакансия опубликована 10.03.2023,Адреса нет,полный рабочий день,временная,Руководство ремонтными работами и контроль за соблюдением мер безопасности;,https://enbek.kz/ru/vacancy/tekhnolog-konstruktor~2978088,Молодежная практика
Юрисконсульт,Юриспруденция,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Потребительский кооператив собственников квартир ""Абылай хан""",Вакансия опубликована 10.03.2023,Адреса нет,полный рабочий день,временная,Рассмотрение жалоб и претензий по спорным вопросам;,https://enbek.kz/ru/vacancy/yuriskonsult~2978061,Первое рабочее место
Няня в детском саду,Образование и воспитание,от 138 000 тенге,техническое и профессиональное,"Товарищество с ограниченной ответственностью ""ZAM-ZAM.KZ""",Вакансия опубликована 10.03.2023,Адреса нет,полный рабочий день,временная,Поддержание дисциплины в группе;,https://enbek.kz/ru/vacancy/nyanya-v-detskom-sadu~2977553,Молодежная практика
Художник-гример,Культура и спорт,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),Эмильда,Вакансия опубликована 10.03.2023,Адреса нет,полный рабочий день,временная,Поддержания внешней формы в соответствии с характером исполняемых произведений;,https://enbek.kz/ru/vacancy/khudozhnik-grimer~2977150,Первое рабочее место
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),Учебный Центр Жарқын болашақ,Вакансия опубликована 10.03.2023,Адреса нет,полный рабочий день,временная,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/smm-menedzher~2977144,Первое рабочее место
SMM-менеджер,Маркетинг и СМИ,от 138 000 тенге,техническое и профессиональное,"ИП ""Zakazat.kz""",Вакансия опубликована 10.03.2023,Адреса нет,полный рабочий день,временная,Разработка маркетинговых мероприятий для продвижения товара;,https://enbek.kz/ru/vacancy/smm-menedzher~2977132,Молодежная практика
Художник,Культура и спорт,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"ИП ""Zakazat.kz""",Вакансия опубликована 10.03.2023,Адреса нет,полный рабочий день,временная,Инициирование творческих идей художественных проектов;,https://enbek.kz/ru/vacancy/khudozhnik~2977128,Первое рабочее место
Техник-программист,IT и телекоммуникации,от 138 000 тенге,техническое и профессиональное,"Общественный фонд ""Мерейлі аналар""",Вакансия опубликована 10.03.2023,Адреса нет,полный рабочий день,временная,Проведение технического обслуживания компьютеров и периферийного оборудования и их эксплуатация;,https://enbek.kz/ru/vacancy/tekhnik-programmist~2976849,Молодежная практика
Ассистент (общий профиль),HR и секретариат,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Товарищество с ограниченной ответственностью ""СТРОЙТРАНС-Б""",Вакансия опубликована 09.03.2023,Адреса нет,полный рабочий день,временная,"Прием и доставка (вручение) корреспонденции, уведомлений, извещений;",https://enbek.kz/ru/vacancy/assistent-(obshchii-profil)~2974316,Первое рабочее место
Психолог,Медицина и фармацевтика,от 138 000 тенге,высшее,ИП ASLDAN,Вакансия опубликована 09.03.2023,Адреса нет,полный рабочий день,временная,Оценка психологического состояния учащегося;,https://enbek.kz/ru/vacancy/psikholog~2973819,Молодежная практика
Маркетолог,Маркетинг и СМИ,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""Kerbez Medical""",Вакансия опубликована 08.03.2023,Адреса нет,полный рабочий день,временная,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/marketolog~2971939,Молодежная практика
Бренд-менеджер,Маркетинг и СМИ,от 138 000 тенге,техническое и профессиональное,"Товарищество с ограниченной ответственностью ""ПАРАСАТ Центр поддержки предпринимательства""",Вакансия опубликована 07.03.2023,Адреса нет,полный рабочий день,временная,Умение выстраивать коммуникацию на нескольких языках;,https://enbek.kz/ru/vacancy/brend-menedzher~2970673,Молодежная практика
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Товарищество с ограниченной ответственностью ""Bilim Club""",Вакансия опубликована 05.03.2023,Адреса нет,полный рабочий день,временная,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/smm-menedzher~2967037,Первое рабочее место
Няня в детском саду,Образование и воспитание,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Товарищество с ограниченной ответственностью ""ЛИМПОПО""",Вакансия опубликована 02.03.2023,Адреса нет,полный рабочий день,временная,Проведение воспитательных мероприятий;,https://enbek.kz/ru/vacancy/nyanya-v-detskom-sadu~2963592,Первое рабочее место
Няня в детском саду,Образование и воспитание,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Товарищество с ограниченной ответственностью ""АльДамиРам""",Вакансия опубликована 02.03.2023,Адреса нет,полный рабочий день,временная,Игра с детьми;,https://enbek.kz/ru/vacancy/nyanya-v-detskom-sadu~2963585,Первое рабочее место
Помощник бухгалтера,Финансы и бухучет,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""Республиканский научно- производственный и информационный центр ""Казэкология""",Вакансия опубликована 02.03.2023,Адреса нет,полный рабочий день,временная,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/pomoshchnik-bukhgaltera~2962869,Молодежная практика
Маркетолог,Маркетинг и СМИ,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""Республиканский научно- производственный и информационный центр ""Казэкология""",Вакансия опубликована 02.03.2023,Адреса нет,полный рабочий день,временная,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/marketolog~2962815,Молодежная практика
Помощник юриста,Юриспруденция,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""DAUA-1""",Вакансия опубликована 02.03.2023,Адреса нет,полный рабочий день,временная,Проверка соответствия законодательству документов;,https://enbek.kz/ru/vacancy/pomoshchnik-yurista~2962448,Молодежная практика
Учитель начальных классов,Образование и воспитание,от 138 000 тенге,высшее,"ИП ""AL'KA""",Вакансия опубликована 02.03.2023,Адреса нет,полный рабочий день,временная,Организация учебно-воспитательного процесса;,https://enbek.kz/ru/vacancy/uchitel-nachalnykh-klassov~2962158,Молодежная практика
Диспетчер энергетик,Энергетика,от 138 000 тенге,техническое и профессиональное,ИП Зере,Вакансия опубликована 02.03.2023,Адреса нет,полный рабочий день,временная,"Подготовка, проверка и ремонт устройств электроустановок;",https://enbek.kz/ru/vacancy/dispetcher-energetik~2962788,Молодежная практика
Учитель физической культуры и спорта,Образование и воспитание,от 138 000 тенге,высшее,"Коммунальное государственное учреждение ""Общеобразовательная школа №157"" Управления образования города Алматы",Вакансия опубликована 01.03.2023,Адреса нет,полный рабочий день,временная,Планирование тренировочного процесса;,https://enbek.kz/ru/vacancy/uchitel-fizicheskoi-kultury-i-sporta~2960686,Молодежная практика
Радиотехник,IT и телекоммуникации,от 138 000 тенге,техническое и профессиональное,"Филиал некоммерческого акционерного общества ""Государственная корпорация"" Правительство для граждан"" по городу Алматы",Вакансия опубликована 01.03.2023,Адреса нет,полный рабочий день,временная,ТО радиотехнического оборудования и средств связи;,https://enbek.kz/ru/vacancy/radiotekhnik~2959337,Молодежная практика
Монтажник информационно-коммуникационного оборудования,IT и телекоммуникации,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Товарищество с ограниченной ответственностью ""HyperOptic QZ""",Вакансия опубликована 28.02.2023,Адреса нет,полный рабочий день,временная,Монтаж кабельных сетей;,https://enbek.kz/ru/vacancy/montazhnik-informacionno-kommunikacionnogo-oborudovaniya~2955843,Первое рабочее место
Филолог,Наука и консалтинг,от 138 000 тенге,высшее,Частный судебный исполнитель,Вакансия опубликована 28.02.2023,Адреса нет,полный рабочий день,временная,Определение способов практического использования научных результатов;,https://enbek.kz/ru/vacancy/filolog~2955213,Молодежная практика
Учитель начальных классов,Образование и воспитание,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""ISANA KZ""",Вакансия опубликована 27.02.2023,Адреса нет,полный рабочий день,временная,Проведение занятия для творческого развития детей;,https://enbek.kz/ru/vacancy/uchitel-nachalnykh-klassov~2954595,Молодежная практика
Детский психолог,Образование и воспитание,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""ISANA KZ""",Вакансия опубликована 27.02.2023,Адреса нет,полный рабочий день,временная,Отбор психологического инструментария исследования;,https://enbek.kz/ru/vacancy/detskii-psikholog~2954591,Молодежная практика
Педагог начальной школы,Образование и воспитание,от 138 000 тенге,техническое и профессиональное,ИП СВЕТА,Вакансия опубликована 27.02.2023,Адреса нет,полный рабочий день,временная,Организация учебно-воспитательного процесса;,https://enbek.kz/ru/vacancy/pedagog-nachalnoi-shkoly~2954543,Молодежная практика
Помощник бухгалтера,Финансы и бухучет,от 138 000 тенге,техническое и профессиональное,ИП Макашева,Вакансия опубликована 24.02.2023,Адреса нет,полный рабочий день,временная,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/pomoshchnik-bukhgaltera~2950547,Молодежная практика
Учитель начальных классов,Образование и воспитание,от 138 000 тенге,техническое и профессиональное,Global Kishkentai,Вакансия опубликована 24.02.2023,Адреса нет,полный рабочий день,временная,Организация учебно-воспитательного процесса;,https://enbek.kz/ru/vacancy/uchitel-nachalnykh-klassov~2949555,Молодежная практика
Режиссер,Культура и спорт,от 138 000 тенге,высшее,ИП Консьерж Сервис,Вакансия опубликована 23.02.2023,Адреса нет,полный рабочий день,временная,"Применение современных программ для монтажа, редактирования видео и аудио информации;",https://enbek.kz/ru/vacancy/rezhisser~2948986,Молодежная практика
Офис-менеджер,HR и секретариат,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Палата Оценщиков ""Саморегулируемая организация ""Содружество Оценщиков Казахстана""",Вакансия опубликована 23.02.2023,Адреса нет,полный рабочий день,временная,Подготовка писем и обращений;,https://enbek.kz/ru/vacancy/ofis-menedzher~2948672,Первое рабочее место
