Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости
Воспитатель,Образование и воспитание,от 138 000 тенге,техническое и профессиональное,"Товарищество с ограниченной ответственностью ""Школа Данышпан""",Вакансия опубликована 17.02.2023,Адреса нет,полный рабочий день,временная,Умение выстраивать коммуникацию на нескольких языках;,https://enbek.kz/ru/vacancy/vospitatel~2935525,Молодежная практика
Учитель музыки,Образование и воспитание,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),Lighting Бекболатова,Вакансия опубликована 17.02.2023,Адреса нет,полный рабочий день,временная,Профессиональная игра на инструменте;,https://enbek.kz/ru/vacancy/uchitel-muzyki~2935197,Первое рабочее место
Помощник юриста,Юриспруденция,от 138 000 тенге,техническое и профессиональное,Частный судебный исполнитель Калыбеков Муратхан Есенгелдиевич,Вакансия опубликована 17.02.2023,Адреса нет,полный рабочий день,временная,"Регистрация юридических лиц, эмиссий ценных акций;",https://enbek.kz/ru/vacancy/pomoshchnik-yurista~2935189,Молодежная практика
Дизайнер промышленный,Производство,от 138 000 тенге,техническое и профессиональное,"Товарищество с ограниченной ответственностью ""Институт сейсмологии""",Вакансия опубликована 16.02.2023,Адреса нет,полный рабочий день,временная,Разработка дизайна новой продукции;,https://enbek.kz/ru/vacancy/dizainer-promyshlennyi~2932999,Молодежная практика
Графический дизайнер,IT и телекоммуникации,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""Сети-Сервис""",Вакансия опубликована 16.02.2023,Адреса нет,полный рабочий день,временная,Дизайн и макетирование Web-страниц;,https://enbek.kz/ru/vacancy/graficheskii-dizainer~2932709,Молодежная практика
Юрист,Юриспруденция,от 138 000 тенге,техническое и профессиональное,"Товарищество с ограниченной ответственностью ""PGS Energy""",Вакансия опубликована 16.02.2023,Адреса нет,полный рабочий день,временная,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/yurist~2932707,Молодежная практика
Воспитатель,Образование и воспитание,от 138 000 тенге,высшее,"Филиал №2 Товарищества с ограниченной ответственностью ""ВЦ Ақбота"" в городе Алматы",Вакансия опубликована 16.02.2023,Адреса нет,полный рабочий день,временная,Умение выстраивать коммуникацию на нескольких языках;,https://enbek.kz/ru/vacancy/vospitatel~2931602,Молодежная практика
Преподаватель по физической культуре,Образование и воспитание,от 138 000 тенге,техническое и профессиональное,"Товарищество с ограниченной ответственностью ""Детство Тур Сервис""",Вакансия опубликована 15.02.2023,Адреса нет,полный рабочий день,временная,Проведение групповых и индивидуальных занятий;,https://enbek.kz/ru/vacancy/prepodavatel-po-fizicheskoi-kulture~2930506,Молодежная практика
Метеоролог,Наука и консалтинг,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""Qamqor Kazakhstan""",Вакансия опубликована 15.02.2023,Адреса нет,полный рабочий день,временная,Наблюдение за метеорологической обстановкой;,https://enbek.kz/ru/vacancy/meteorolog~2930246,Молодежная практика
Бухгалтер,Финансы и бухучет,от 138 000 тенге,техническое и профессиональное,"Товарищество с ограниченной ответственностью ""ЖанХан Коммерц""",Вакансия опубликована 15.02.2023,Адреса нет,полный рабочий день,временная,Организация бухгалтерского учета и финансово-хозяйственной деятельности;,https://enbek.kz/ru/vacancy/bukhgalter~2927905,Молодежная практика
Техник-программист,IT и телекоммуникации,от 138 000 тенге,высшее,"Республиканское государственное учреждение ""Управление государственных доходов по Жетысускому району Департамента государственных доходов по городу Алматы Комитета государственных доходов Министерства финансов Республики Казахстан""",Вакансия опубликована 14.02.2023,Адреса нет,полный рабочий день,временная,Проведение технического обслуживания компьютеров и периферийного оборудования и их эксплуатация;,https://enbek.kz/ru/vacancy/tekhnik-programmist~2925974,Молодежная практика
Пекарь,Производство,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),ИП Assem,Вакансия опубликована 14.02.2023,Адреса нет,полный рабочий день,временная,Приготовление дрожжевого и пресного теста;,https://enbek.kz/ru/vacancy/pekar~2925892,Первое рабочее место
"Арматурщик (производство цемента, железобетонных конструкций)",Строительство и архитектура,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Товарищество с ограниченной ответственностью фирма ""ЖЕНИС""",Вакансия опубликована 14.02.2023,Адреса нет,полный рабочий день,временная,Сборка пространственных каркасов;,"https://enbek.kz/ru/vacancy/armaturshchik-(proizvodstvo-cementa,-zhelezobetonnykh-konstrukcii)~2925113",Первое рабочее место
Машинист крана (крановщик),Строительство и архитектура,от 138 000 тенге,техническое и профессиональное,"Товарищество с ограниченной ответственностью фирма ""ЖЕНИС""",Вакансия опубликована 14.02.2023,Адреса нет,полный рабочий день,временная,Управление башенными портально-стреловыми кранами;,https://enbek.kz/ru/vacancy/mashinist-krana-(kranovshchik)~2925111,Молодежная практика
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Товарищество с ограниченной ответственностью ""AQ ESENTAI DMD""",Вакансия опубликована 13.02.2023,Адреса нет,полный рабочий день,временная,Подготовка пациента к лечению;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~2924968,Первое рабочее место
Финансист,Финансы и бухучет,от 138 000 тенге,техническое и профессиональное,"государственное учреждение ""Управление полиции Наурызбайского района Департамента полиции города Алматы Министерства внутренних дел Республики Казахстан""",Вакансия опубликована 13.02.2023,Адреса нет,полный рабочий день,временная,Финансовое планирование;,https://enbek.kz/ru/vacancy/finansist~2923254,Молодежная практика
Инженер по автоматизации,IT и телекоммуникации,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""qBots""",Вакансия опубликована 13.02.2023,Адреса нет,полный рабочий день,временная,Работа с информационными системами и базами данных;,https://enbek.kz/ru/vacancy/inzhener-po-avtomatizacii~2922437,Молодежная практика
Филолог,Маркетинг и СМИ,от 138 000 тенге,высшее,"Коммунальное государственное учреждение ""Аппарат акима Ауэзовского района города Алматы""",Вакансия опубликована 13.02.2023,Адреса нет,полный рабочий день,временная,Редактирование и исправление переведенного материала;,https://enbek.kz/ru/vacancy/filolog~2922210,Молодежная практика
Учитель казахского языка и литературы,Образование и воспитание,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),Lighting Бекболатова,Вакансия опубликована 12.02.2023,Адреса нет,полный рабочий день,временная,Преподавание предметов на казахском языке;,https://enbek.kz/ru/vacancy/uchitel-kazakhskogo-yazyka-i-literatury~2921869,Первое рабочее место
Хореограф,Культура и спорт,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),Нурсултан Аскарулы атындагы орталык,Вакансия опубликована 11.02.2023,Адреса нет,полный рабочий день,временная,Проведение занятия для творческого развития детей;,https://enbek.kz/ru/vacancy/khoreograf~2921819,Первое рабочее место
Бухгалтер,Финансы и бухучет,от 138 000 тенге,техническое и профессиональное,"Общественное объединение ""DIAK""",Вакансия опубликована 11.02.2023,Адреса нет,полный рабочий день,временная,"Ведение кассовых, организационно-распорядительных, отчетных документов;",https://enbek.kz/ru/vacancy/bukhgalter~2921729,Молодежная практика
Преподаватель (в системе дошкольного воспитания и обучения),Образование и воспитание,от 138 000 тенге,техническое и профессиональное,"Товарищество с ограниченной ответственностью ""Биржан К""",Вакансия опубликована 11.02.2023,Адреса нет,полный рабочий день,временная,Проведение занятия для творческого развития детей;,https://enbek.kz/ru/vacancy/prepodavatel-(v-sisteme-doshkolnogo-vospitaniya-i-obucheniya)~2921685,Молодежная практика
Преподаватель (в системе дошкольного воспитания и обучения),Образование и воспитание,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""Биржан К""",Вакансия опубликована 10.02.2023,Адреса нет,полный рабочий день,временная,Умение выстраивать коммуникацию на нескольких языках;,https://enbek.kz/ru/vacancy/prepodavatel-(v-sisteme-doshkolnogo-vospitaniya-i-obucheniya)~2921513,Молодежная практика
Помощник учителя,Образование и воспитание,от 138 000 тенге,высшее,ИП Данилова,Вакансия опубликована 10.02.2023,Адреса нет,полный рабочий день,временная,Подготовка рабочего места учителя;,https://enbek.kz/ru/vacancy/pomoshchnik-uchitelya~2920313,Молодежная практика
Бухгалтер,Финансы и бухучет,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Товарищество с ограниченной ответственностью ""Центр ""Leader-Service""",Вакансия опубликована 10.02.2023,Адреса нет,полный рабочий день,временная,Организация бухгалтерского учета и финансово-хозяйственной деятельности;,https://enbek.kz/ru/vacancy/bukhgalter~2920137,Первое рабочее место
Помощник юриста,Юриспруденция,от 138 000 тенге,высшее,"Республиканское государственное учреждение ""Управление государственных доходов по Алатаускому району Департамента государственных доходов по городу Алматы Комитета государственных доходов Министерства финансов Республики Казахстан""",Вакансия опубликована 10.02.2023,Адреса нет,полный рабочий день,временная,Проверка соответствия законодательству документов;,https://enbek.kz/ru/vacancy/pomoshchnik-yurista~2919672,Молодежная практика
Эколог,Производство,от 138 000 тенге,высшее,MANSUR GROUP,Вакансия опубликована 10.02.2023,Адреса нет,полный рабочий день,временная,"Проведение лекций, бесед, выступлений в организациях по экологической тематике;",https://enbek.kz/ru/vacancy/ekolog~2919531,Молодежная практика
Административный секретарь,HR и секретариат,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Товарищество с ограниченной ответственностью ""JS Consulting""",Вакансия опубликована 10.02.2023,Адреса нет,полный рабочий день,временная,"Учет и хранение, передача документов в подразделения;",https://enbek.kz/ru/vacancy/administrativnyi-sekretar~2919363,Первое рабочее место
Фармацевт (средней квалификации),Медицина и фармацевтика,от 138 000 тенге,техническое и профессиональное,"Товарищество с ограниченной ответственностью ""ФАРМАКОМ""",Вакансия опубликована 09.02.2023,Адреса нет,полный рабочий день,временная,Ведение химико-фармацевтической документации;,https://enbek.kz/ru/vacancy/farmacevt-(srednei-kvalifikacii)~2918560,Молодежная практика
Монтажник окон,Строительство и архитектура,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Товарищество с ограниченной ответственностью ""Plastok""",Вакансия опубликована 09.02.2023,Адреса нет,полный рабочий день,временная,Проверка готовности художественно-декорационного оформления;,https://enbek.kz/ru/vacancy/montazhnik-okon~2918486,Первое рабочее место
Врач-стоматолог,Медицина и фармацевтика,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью """"L-STOM""""",Вакансия опубликована 09.02.2023,Адреса нет,полный рабочий день,временная,"Лечение кариеса, некариозных поражений твердых тканей временных, постоянных зубов с несформированными корнями;",https://enbek.kz/ru/vacancy/vrach-stomatolog~2918111,Молодежная практика
Архитектор-дизайнер,Строительство и архитектура,от 138 000 тенге,техническое и профессиональное,"Товарищество с ограниченной ответственностью ""Вокруг Sveta KZ""",Вакансия опубликована 09.02.2023,Адреса нет,полный рабочий день,временная,Разработка проектной документации;,https://enbek.kz/ru/vacancy/arkhitektor-dizainer~2916999,Молодежная практика
Учитель русского языка и литературы,Образование и воспитание,от 138 000 тенге,техническое и профессиональное,ИП ӘШКЕН,Вакансия опубликована 08.02.2023,Адреса нет,полный рабочий день,временная,,https://enbek.kz/ru/vacancy/uchitel-russkogo-yazyka-i-literatury~2912554,Молодежная практика
Слесарь по ремонту автомобилей,Производство,от 138 000 тенге,техническое и профессиональное,ИП САЛКЕЕВА Б.А.,Вакансия опубликована 08.02.2023,Адреса нет,полный рабочий день,временная,Осмотр легкового автомобиля и подготовка к поездке;,https://enbek.kz/ru/vacancy/slesar-po-remontu-avtomobilei~2912498,Молодежная практика
Преподаватель (в системе дошкольного воспитания и обучения),Образование и воспитание,от 138 000 тенге,высшее,IQ Study,Вакансия опубликована 07.02.2023,Адреса нет,полный рабочий день,временная,Умение выстраивать коммуникацию на нескольких языках;,https://enbek.kz/ru/vacancy/prepodavatel-(v-sisteme-doshkolnogo-vospitaniya-i-obucheniya)~2909773,Молодежная практика
Техник по технологии производства,Производство,от 138 000 тенге,техническое и профессиональное,Qanat oner-bilim ortalygy,Вакансия опубликована 07.02.2023,Адреса нет,полный рабочий день,временная,Контроль и анализ технологических процессов производства;,https://enbek.kz/ru/vacancy/tekhnik-po-tekhnologii-proizvodstva~2908787,Молодежная практика
Техник (общий профиль),Производство,от 138 000 тенге,высшее,"коммунальное государственное учреждение ""Аппарат акима Турксибского района города Алматы""",Вакансия опубликована 06.02.2023,Адреса нет,полный рабочий день,временная,Контроль качества входящего сырья;,https://enbek.kz/ru/vacancy/tekhnik-(obshchii-profil)~2907433,Молодежная практика
Специалист по системе менеджмента качества,Наука и консалтинг,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""Корпорация AFILTER.KZ""",Вакансия опубликована 06.02.2023,Адреса нет,полный рабочий день,временная,Автоматизация процессов и поддержка существующих систем аналитики;,https://enbek.kz/ru/vacancy/specialist-po-sisteme-menedzhmenta-kachestva~2906280,Молодежная практика
Учитель изобразительного искусства,Образование и воспитание,от 138 000 тенге,техническое и профессиональное,ИП АIZER,Вакансия опубликована 06.02.2023,Адреса нет,полный рабочий день,временная,Разработка эскизов рисунков;,https://enbek.kz/ru/vacancy/uchitel-izobrazitelnogo-iskusstva~2905683,Молодежная практика
Помощник юриста,Юриспруденция,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""Skynet print""",Вакансия опубликована 06.02.2023,Адреса нет,полный рабочий день,временная,"Регистрация юридических лиц, эмиссий ценных акций;",https://enbek.kz/ru/vacancy/pomoshchnik-yurista~2905621,Молодежная практика
Бухгалтер (средней квалификации),Финансы и бухучет,от 138 000 тенге,техническое и профессиональное,Әбдіразақ,Вакансия опубликована 05.02.2023,Адреса нет,полный рабочий день,временная,Учет товарно-материальных ценностей;,https://enbek.kz/ru/vacancy/bukhgalter-(srednei-kvalifikacii)~2904689,Молодежная практика
Менеджер проекта,Производство,от 138 000 тенге,техническое и профессиональное,Billion Filters,Вакансия опубликована 04.02.2023,Адреса нет,полный рабочий день,временная,Участие в специализированных выставках и конференциях;,https://enbek.kz/ru/vacancy/menedzher-proekta~2904445,Молодежная практика
Педагог-профориентатор,Образование и воспитание,от 138 000 тенге,техническое и профессиональное,ИП АЙНУР,Вакансия опубликована 03.02.2023,Адреса нет,полный рабочий день,временная,Сопровождение в социальной профессиональной ориентации;,https://enbek.kz/ru/vacancy/pedagog-proforientator~2902557,Молодежная практика
Преподаватель колледжа в области языковых дисциплин,Образование и воспитание,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Частное Учреждение ""Международный казахско-китайский языковой колледж""",Вакансия опубликована 03.02.2023,Адреса нет,полный рабочий день,временная,Ведение учебной документации;,https://enbek.kz/ru/vacancy/prepodavatel-kolledzha-v-oblasti-yazykovykh-disciplin~2901280,Первое рабочее место
Делопроизводитель,HR и секретариат,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Алматинский городской филиал общественного объединения ""Партия ""AMANAT""",Вакансия опубликована 31.01.2023,Адреса нет,полный рабочий день,временная,Регистрация входящей и исходящей информации;,https://enbek.kz/ru/vacancy/deloproizvoditel~2921311,Первое рабочее место
Архивариус,HR и секретариат,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Республиканское государственное учреждение ""Архив Президента Республики Казахстан""",Вакансия опубликована 27.01.2023,Адреса нет,полный рабочий день,временная,"Проведение инвентаризации (архивы, библиотеки, музеи);",https://enbek.kz/ru/vacancy/arkhivarius~2836475,Первое рабочее место
Работник архива,HR и секретариат,от 138 000 тенге,высшее,"Республиканское государственное учреждение ""Архив Президента Республики Казахстан""",Вакансия опубликована 27.01.2023,Адреса нет,полный рабочий день,временная,Регистрация входящей и исходящей информации;,https://enbek.kz/ru/vacancy/rabotnik-arkhiva~2836466,Молодежная практика
Бухгалтер (средней квалификации),Финансы и бухучет,от 138 000 тенге,техническое и профессиональное,"ИП ""Абитаева А.О.""",Вакансия опубликована 23.01.2023,Адреса нет,полный рабочий день,временная,Учет расходования утвержденных смет;,https://enbek.kz/ru/vacancy/bukhgalter-(srednei-kvalifikacii)~2845028,Молодежная практика
Административный секретарь,HR и секретариат,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""Rise Agency""",Вакансия опубликована 23.01.2023,Адреса нет,полный рабочий день,временная,Встреча и учет посетителей;,https://enbek.kz/ru/vacancy/administrativnyi-sekretar~2846635,Молодежная практика
Бухгалтер,Финансы и бухучет,от 138 000 тенге,техническое и профессиональное,"ИП ""Marc""",Вакансия опубликована 19.01.2023,Адреса нет,полный рабочий день,временная,Ведение установленных форм учета;,https://enbek.kz/ru/vacancy/bukhgalter~2846610,Молодежная практика
Делопроизводитель,HR и секретариат,от 138 000 тенге,высшее,"Некоммерческое акционерное общество ""Казахский национальный педагогический университет имени Абая""",Вакансия опубликована 19.01.2023,Адреса нет,полный рабочий день,временная,Организация документооборота;,https://enbek.kz/ru/vacancy/deloproizvoditel~2849765,Молодежная практика
Юрист,Юриспруденция,от 138 000 тенге,высшее,"Некоммерческое акционерное общество ""Казахский национальный педагогический университет имени Абая""",Вакансия опубликована 19.01.2023,Адреса нет,полный рабочий день,временная,Обслуживание физических и юридических лиц;,https://enbek.kz/ru/vacancy/yurist~2849764,Молодежная практика
Рекламный агент,Наука и консалтинг,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Товарищество с ограниченной ответственностью ""reach group ltd""",Вакансия опубликована 18.01.2023,Адреса нет,полный рабочий день,временная,Выбор форм и методов рекламы;,https://enbek.kz/ru/vacancy/reklamnyi-agent~2860763,Первое рабочее место
Воспитатель,Образование и воспитание,от 138 000 тенге,техническое и профессиональное,"Товарищество с ограниченной ответственностью ""Чудо сад""",Вакансия опубликована 18.01.2023,Адреса нет,полный рабочий день,временная,Умение выстраивать коммуникацию на нескольких языках;,https://enbek.kz/ru/vacancy/vospitatel~2843773,Молодежная практика
Переводчик (письменный),Наука и консалтинг,от 138 000 тенге,высшее,"ИП ""ГАЛИЛЕО""",Вакансия опубликована 18.01.2023,Адреса нет,полный рабочий день,временная,Компьютерная грамотность;,https://enbek.kz/ru/vacancy/perevodchik-(pismennyi)~2843374,Молодежная практика
Бухгалтер,Финансы и бухучет,от 138 000 тенге,техническое и профессиональное,Ким И.В.,Вакансия опубликована 18.01.2023,Адреса нет,полный рабочий день,временная,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/bukhgalter~2847644,Молодежная практика
Конструктор одежды,Производство,от 138 000 тенге,техническое и профессиональное,Dinara sheber,Вакансия опубликована 18.01.2023,Адреса нет,полный рабочий день,временная,Формирование базы данных оборудования лекал для создания выкроек и одежды;,https://enbek.kz/ru/vacancy/konstruktor-odezhdy~2848035,Молодежная практика
Бухгалтер,Финансы и бухучет,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""ЭКО продукт1""",Вакансия опубликована 18.01.2023,Адреса нет,полный рабочий день,временная,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/bukhgalter~2848214,Молодежная практика
Помощник бухгалтера,Финансы и бухучет,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""ЭКО продукт1""",Вакансия опубликована 18.01.2023,Адреса нет,полный рабочий день,временная,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/pomoshchnik-bukhgaltera~2848215,Молодежная практика
Журналист,Маркетинг и СМИ,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""Блог-платформа YourVision""",Вакансия опубликована 18.01.2023,Адреса нет,полный рабочий день,временная,русский и казахский языки;,https://enbek.kz/ru/vacancy/zhurnalist~2848319,Молодежная практика
Учитель математики (алгебра и геометрия),Образование и воспитание,от 138 000 тенге,высшее,ИП Kasem,Вакансия опубликована 18.01.2023,Адреса нет,полный рабочий день,временная,Планирование учебного занятия;,https://enbek.kz/ru/vacancy/uchitel-matematiki-(algebra-i-geometriya)~2848573,Молодежная практика
Видеооператор,IT и телекоммуникации,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),ИП Kasem,Вакансия опубликована 18.01.2023,Адреса нет,полный рабочий день,временная,"Монтаж, озвучивание, синхронизация и согласование всех звуковых материалов;",https://enbek.kz/ru/vacancy/videooperator~2848576,Первое рабочее место
Художник компьютерной графики,IT и телекоммуникации,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),ИП Kasem,Вакансия опубликована 18.01.2023,Адреса нет,полный рабочий день,временная,Выбор форм и методов рекламы в мультимедийных изданиях;,https://enbek.kz/ru/vacancy/khudozhnik-kompyuternoi-grafiki~2848577,Первое рабочее место
Швея,Производство,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),АйТем,Вакансия опубликована 18.01.2023,Адреса нет,полный рабочий день,временная,Изготовление форм для плиссирования и гофрирования;,https://enbek.kz/ru/vacancy/shveya~2849595,Первое рабочее место
Швея,Производство,от 138 000 тенге,техническое и профессиональное,АйТем,Вакансия опубликована 18.01.2023,Адреса нет,полный рабочий день,временная,Работы по пошиву изделий по индивидуальным заказам;,https://enbek.kz/ru/vacancy/shveya~2849598,Молодежная практика
Воспитатель,Образование и воспитание,от 138 000 тенге,техническое и профессиональное,"Товарищество с ограниченной ответственностью ""Центр Белый лебедь""",Вакансия опубликована 18.01.2023,Адреса нет,полный рабочий день,временная,Проведение воспитательных мероприятий;,https://enbek.kz/ru/vacancy/vospitatel~2849928,Молодежная практика
Помощник учителя,Образование и воспитание,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"ИП ""Млечный Путь""",Вакансия опубликована 17.01.2023,Адреса нет,полный рабочий день,временная,Подготовка рабочего места учителя;,https://enbek.kz/ru/vacancy/pomoshchnik-uchitelya~2842920,Первое рабочее место
Врач-стоматолог,Медицина и фармацевтика,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""Центр эстетической стоматологии ""MediSa""",Вакансия опубликована 17.01.2023,Адреса нет,полный рабочий день,временная,"Лечение кариеса, некариозных поражений твердых тканей временных, постоянных зубов с несформированными корнями;",https://enbek.kz/ru/vacancy/vrach-stomatolog~2843996,Молодежная практика
Бухгалтер,Финансы и бухучет,от 138 000 тенге,высшее,Samgau  Company,Вакансия опубликована 17.01.2023,Адреса нет,полный рабочий день,временная,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~2844293,Молодежная практика
Бухгалтер,Финансы и бухучет,от 138 000 тенге,высшее,ИП Aisha,Вакансия опубликована 17.01.2023,Адреса нет,полный рабочий день,временная,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~2844421,Молодежная практика
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 138 000 тенге,техническое и профессиональное,"Филиал Товарищества с ограниченной ответственностью ""КДЛ ОЛИМП"" в городе Алматы",Вакансия опубликована 17.01.2023,Адреса нет,полный рабочий день,временная,Подготовка пациента к лечению;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~2845828,Молодежная практика
Учитель иностранного языка,Образование и воспитание,от 138 000 тенге,техническое и профессиональное,"Товарищество с ограниченной ответственностью ""STEL.KZ""",Вакансия опубликована 17.01.2023,Адреса нет,полный рабочий день,временная,Ведение учебной документации;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka~2845947,Молодежная практика
Программист 1С,IT и телекоммуникации,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""AVITIM""",Вакансия опубликована 17.01.2023,Адреса нет,полный рабочий день,временная,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/programmist-1s~2846097,Молодежная практика
Юрисконсульт,Юриспруденция,от 138 000 тенге,высшее,Частный судебный исполнитель Толеужанов Бакытжан Толеужанович,Вакансия опубликована 17.01.2023,Адреса нет,полный рабочий день,временная,Ведение и составление документов;,https://enbek.kz/ru/vacancy/yuriskonsult~2846152,Молодежная практика
Техник-программист,IT и телекоммуникации,от 138 000 тенге,техническое и профессиональное,"Товарищество с ограниченной ответственностью ""IT Support group""",Вакансия опубликована 17.01.2023,Адреса нет,полный рабочий день,временная,"Исправление неисправностей компьютеров, периферийного оборудования и программного обеспечения;",https://enbek.kz/ru/vacancy/tekhnik-programmist~2846205,Молодежная практика
Бухгалтер,Финансы и бухучет,от 138 000 тенге,высшее,ИП BAGYT,Вакансия опубликована 17.01.2023,Адреса нет,полный рабочий день,временная,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/bukhgalter~2846238,Молодежная практика
Юрист,Юриспруденция,от 138 000 тенге,высшее,Частный судебный исполнитель,Вакансия опубликована 17.01.2023,Адреса нет,полный рабочий день,временная,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/yurist~2846442,Молодежная практика
Маркетолог,Маркетинг и СМИ,от 138 000 тенге,техническое и профессиональное,"Общественный фонд ""Social Development Center""",Вакансия опубликована 17.01.2023,Адреса нет,полный рабочий день,временная,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/marketolog~2846452,Молодежная практика
Бухгалтер,Финансы и бухучет,от 138 000 тенге,техническое и профессиональное,КЕНЖАБАЕВА ФЕРУЗА АСАБАЕВНА,Вакансия опубликована 17.01.2023,Адреса нет,полный рабочий день,временная,Ведение установленных форм учета;,https://enbek.kz/ru/vacancy/bukhgalter~2846461,Молодежная практика
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 138 000 тенге,техническое и профессиональное,"Товарищество с ограниченной ответственностью ""Toto Pectore""",Вакансия опубликована 17.01.2023,Адреса нет,полный рабочий день,временная,Надлежащее выполнение врачебных назначений медицинскими сестрами;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~2846703,Молодежная практика
Филолог,Наука и консалтинг,от 138 000 тенге,высшее,Государственный фонд развития молодежной политики города Алматы,Вакансия опубликована 17.01.2023,Адреса нет,полный рабочий день,временная,Научно-исследовательская деятельность;,https://enbek.kz/ru/vacancy/filolog~2846764,Молодежная практика
Журналист,Маркетинг и СМИ,от 138 000 тенге,высшее,Государственный фонд развития молодежной политики города Алматы,Вакансия опубликована 17.01.2023,Адреса нет,полный рабочий день,временная,"Поиск, сбор и анализ информации;",https://enbek.kz/ru/vacancy/zhurnalist~2846765,Молодежная практика
Учитель физической культуры и спорта,Образование и воспитание,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),Ип Бал-Рай,Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Планирование тренировочного процесса;,https://enbek.kz/ru/vacancy/uchitel-fizicheskoi-kultury-i-sporta~2838372,Первое рабочее место
Воспитатель,Образование и воспитание,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Товарищество с ограниченной ответственностью ""Ақ Қайың 2017""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Знание методов диагностики личностного потенциала обучающего;,https://enbek.kz/ru/vacancy/vospitatel~2838382,Первое рабочее место
Тренер,Культура и спорт,от 138 000 тенге,высшее,"Общественное объединение ""Федерация Қазақ күресі города Алматы ""Алатау""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Проведение групповых и индивидуальных занятий;,https://enbek.kz/ru/vacancy/trener~2838804,Молодежная практика
Воспитатель,Образование и воспитание,от 138 000 тенге,техническое и профессиональное,"Товарищество с ограниченной ответственностью ""АМИНА 2018""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Умение выстраивать коммуникацию на нескольких языках;,https://enbek.kz/ru/vacancy/vospitatel~2838945,Молодежная практика
Воспитатель,Образование и воспитание,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""ИМРАН-компани""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Проведение воспитательных мероприятий;,https://enbek.kz/ru/vacancy/vospitatel~2838958,Молодежная практика
