Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Электрогазосварщик,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""R.W.S. Concrete"" (Р.В.С. Конкрит)",Вакансия опубликована 27.01.2023,Адреса нет,полный день,Проектная работа,Электросварка на автоматических и полуавтоматических машинах;,https://enbek.kz/ru/vacancy/elektrogazosvarshchik~2881756,Первое рабочее место,Сервисное обслуживание/производство
Электрослесарь по обслуживанию и ремонту электротехнического оборудования,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""R.W.S. Concrete"" (Р.В.С. Конкрит)",Вакансия опубликована 27.01.2023,Адреса нет,полный день,Проектная работа,Выполнение электро-слесарных работ;,https://enbek.kz/ru/vacancy/elektroslesar-po-obsluzhivaniyu-i-remontu-elektrotekhnicheskogo-oborudovaniya~2883448,Молодежная практика,Сервисное обслуживание/производство
Электрогазосварщик,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""R.W.S. Concrete"" (Р.В.С. Конкрит)",Вакансия опубликована 27.01.2023,Адреса нет,полный день,Проектная работа,сварка изделий из металла;,https://enbek.kz/ru/vacancy/elektrogazosvarshchik~2883449,Молодежная практика,Сервисное обслуживание/производство
"Формовщик в производстве изделий, конструкций и строительных материалов",Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""R.W.S. Concrete"" (Р.В.С. Конкрит)",Вакансия опубликована 27.01.2023,Адреса нет,полный день,Проектная работа,изготовление изделий;,"https://enbek.kz/ru/vacancy/formovshchik-v-proizvodstve-izdelii,-konstrukcii-i-stroitelnykh-materialov~2883450",Молодежная практика,Сервисное обслуживание/производство
"Формовщик в производстве изделий, конструкций и строительных материалов",Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""R.W.S. Concrete"" (Р.В.С. Конкрит)",Вакансия опубликована 27.01.2023,Адреса нет,полный день,Проектная работа,формовщик;,"https://enbek.kz/ru/vacancy/formovshchik-v-proizvodstve-izdelii,-konstrukcii-i-stroitelnykh-materialov~2883453",Первое рабочее место,Сервисное обслуживание/производство
Электрослесарь по обслуживанию и ремонту электротехнического оборудования,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""R.W.S. Concrete"" (Р.В.С. Конкрит)",Вакансия опубликована 27.01.2023,Адреса нет,полный день,Проектная работа,Выполнение электромонтажных работ;,https://enbek.kz/ru/vacancy/elektroslesar-po-obsluzhivaniyu-i-remontu-elektrotekhnicheskogo-oborudovaniya~2883454,Первое рабочее место,Сервисное обслуживание/производство
Помощник юриста,Юриспруденция,от 103 500 тенге,Филиал республиканского государственного учреждения «Администратор судов по Павлодарской области Департамента по обеспечению деятельности судов при Верховном Суде Республики Казахстан (аппарата Верховного Суда Республики Казахстан)» - Канцелярия Экибастузского городского суда,Вакансия опубликована 26.01.2023,Адреса нет,полный день,Проектная работа,Ведение делопроизводства;,https://enbek.kz/ru/vacancy/pomoshchnik-yurista~2881590,Первое рабочее место,Юриспруденция
Менеджер по онлайн-продажам,Маркетинг и СМИ,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ATLANT TREID""",Вакансия опубликована 25.01.2023,Адреса нет,полный день,Проектная работа,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/menedzher-po-onlain-prodazham~2867146,Молодежная практика,Журналистика
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ATLANT TREID""",Вакансия опубликована 25.01.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~2867147,Молодежная практика,Финансы
Видеооператор,Маркетинг и СМИ,от 103 500 тенге,"Молодежное Общественное Объединение ""Екібастұз жастары""",Вакансия опубликована 23.01.2023,Адреса нет,полный день,Проектная работа,"Монтаж, озвучивание, синхронизация и согласование всех звуковых материалов;",https://enbek.kz/ru/vacancy/videooperator~2869582,Молодежная практика,Журналистика
