Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Специалист по информационной безопасности,IT и телекоммуникации,от 138 000 тенге,КЕНЖАБАЕВА ФЕРУЗА АСАБАЕВНА,Вакансия опубликована 29.05.2023,Адреса нет,полный день,Проектная работа,Ввод системы защиты информации в эксплуатацию;,https://enbek.kz/ru/vacancy/specialist-po-informacionnoi-bezopasnosti~3124737,Молодежная практика,IT
Экономист,Финансы и бухучет,от 138 000 тенге,"ИП""Engineering""",Вакансия опубликована 29.05.2023,Адреса нет,полный день,Проектная работа,Контроль финансово-экономической деятельности организации;,https://enbek.kz/ru/vacancy/ekonomist~3122535,Молодежная практика,Финансы
Логопед-дефектолог,Образование и воспитание,от 138 000 тенге,"Товарищество с ограниченной ответственностью ""Little Step Almaty""",Вакансия опубликована 26.05.2023,Адреса нет,полный день,Проектная работа,Оценка психологического состояния учащегося;,https://enbek.kz/ru/vacancy/logoped-defektolog~3120523,Молодежная практика,
Бухгалтер,Финансы и бухучет,от 138 000 тенге,"Товарищество с ограниченной ответственностью ""Интернет Бухгалтерия""",Вакансия опубликована 25.05.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~3118666,Молодежная практика,Финансы
Маркетолог,Маркетинг и СМИ,от 138 000 тенге,"Коммунальное государственное учреждение ""Центр общественного развития города Алматы"" Управления общественного развития города Алматы",Вакансия опубликована 25.05.2023,Адреса нет,полный день,Проектная работа,Проведение анализа требований потребителей согласно результатам маркетинговых исследований;,https://enbek.kz/ru/vacancy/marketolog~3118564,Молодежная практика,Журналистика
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 138 000 тенге,"Товарищество с ограниченной ответственностью ""Trinity sportmed""",Вакансия опубликована 23.05.2023,Адреса нет,полный день,Проектная работа,Сестринский уход;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~3111875,Молодежная практика,Медицина
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"ИП ""Consult Infinity""",Вакансия опубликована 22.05.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~3112826,Первое рабочее место,Финансы
Юрисконсульт,Юриспруденция,от 138 000 тенге,МЫРЗАЛЫ ЕРБОЛ ТӨЛЕГЕНҰЛЫ,Вакансия опубликована 22.05.2023,Адреса нет,полный день,Проектная работа,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/yuriskonsult~3108689,Молодежная практика,Юриспруденция
Техник-проектировщик,Строительство и архитектура,от 138 000 тенге,"Товарищество с ограниченной ответственностью ""PROFPROEKTIR""",Вакансия опубликована 18.05.2023,Адреса нет,полный день,Проектная работа,Подготовка проектной документации;,https://enbek.kz/ru/vacancy/tekhnik-proektirovshchik~3105063,Молодежная практика,Строительство и архитектура
Учитель биологии,Образование и воспитание,от 138 000 тенге,"Общественное объединение ""Федерация Восточных единоборств Спортивный клуб ""КАБЫЛАН""",Вакансия опубликована 16.05.2023,Адреса нет,полный день,Проектная работа,Систематизация результатов физико-химического анализа;,https://enbek.kz/ru/vacancy/uchitel-biologii~3098987,Молодежная практика,
Журналист,Маркетинг и СМИ,от 138 000 тенге,ИП Әділбаев,Вакансия опубликована 16.05.2023,Адреса нет,полный день,Проектная работа,Вести переговоры;,https://enbek.kz/ru/vacancy/zhurnalist~3097736,Молодежная практика,Журналистика
Модельер-конструктор,Производство,от 138 000 тенге,"Товарищество с ограниченной ответственностью ""Попутный Ветер""",Вакансия опубликована 15.05.2023,Адреса нет,полный день,Проектная работа,Построение модельных конструкций и лекал (трикотаж и головные уборы);,https://enbek.kz/ru/vacancy/modeler-konstruktor~3095285,Молодежная практика,Сервисное обслуживание/производство
Маркетолог,Маркетинг и СМИ,от 138 000 тенге,"Общественное объединение инвалидов ""Seriktestik Adildik Tendik""",Вакансия опубликована 15.05.2023,Адреса нет,полный день,Проектная работа,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/marketolog~3094207,Молодежная практика,Журналистика
Учитель иностранного языка,Образование и воспитание,от 138 000 тенге,ИП Кубелекова Карлыгаш Габиевна,Вакансия опубликована 12.05.2023,Адреса нет,полный день,Проектная работа,Преподавание предметов на английском языке;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka~3093061,Молодежная практика,
Оператор-телефонист,IT и телекоммуникации,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""БиоТрэйд""",Вакансия опубликована 11.05.2023,Адреса нет,полный день,Проектная работа,Регистрация входящей и исходящей информации;,https://enbek.kz/ru/vacancy/operator-telefonist~3089021,Молодежная практика,IT
Юрист,Юриспруденция,от 138 000 тенге,"Частный фонд ""Таңғы шуақ""",Вакансия опубликована 06.05.2023,Адреса нет,полный день,Проектная работа,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/yurist~3082440,Молодежная практика,Юриспруденция
Пианист,Культура и спорт,от 138 000 тенге,"Творческая организация ""Central""",Вакансия опубликована 05.05.2023,Адреса нет,полный день,Проектная работа,Профессиональная игра на инструменте;,https://enbek.kz/ru/vacancy/pianist~3082362,Молодежная практика,
Маркетолог,Маркетинг и СМИ,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""IT DASS Solutions""",Вакансия опубликована 05.05.2023,Адреса нет,полный день,Проектная работа,Проведение переговоров и формирование коммерческих документов и соглашений;,https://enbek.kz/ru/vacancy/marketolog~3082070,Первое рабочее место,Журналистика
Филолог,Маркетинг и СМИ,от 138 000 тенге,"Товарищество с ограниченной ответственностью ""КБК ЛОГИСТИК""",Вакансия опубликована 04.05.2023,Адреса нет,полный день,Проектная работа,Редактирование и исправление переведенного материала;,https://enbek.kz/ru/vacancy/filolog~3078984,Молодежная практика,Журналистика
Преподаватель (в системе специального образования),Образование и воспитание,от 138 000 тенге,Sapsan,Вакансия опубликована 04.05.2023,Адреса нет,полный день,Проектная работа,Выявление причин возникновения дефектов;,https://enbek.kz/ru/vacancy/prepodavatel-(v-sisteme-specialnogo-obrazovaniya)~3078690,Молодежная практика,
Швея,Производство,от 138 000 тенге,ИП Інжу өнер орталығы,Вакансия опубликована 03.05.2023,Адреса нет,полный день,Проектная работа,Подготовка эскизов и лекал;,https://enbek.kz/ru/vacancy/shveya~3093389,Молодежная практика,Сервисное обслуживание/производство
Инженер по автоматизации,IT и телекоммуникации,от 138 000 тенге,"Товарищество с ограниченной ответственностью ""ЛайфПрод""",Вакансия опубликована 03.05.2023,Адреса нет,полный день,Проектная работа,"Оцифровка рабочих чертежей в печатную форму, а карт и др. изображений – в цифровую;",https://enbek.kz/ru/vacancy/inzhener-po-avtomatizacii~3074941,Молодежная практика,IT
Преподаватель (в системе дошкольного воспитания и обучения),Образование и воспитание,от 138 000 тенге,"Товарищество с ограниченной ответственностью ""ZAM-ZAM.KZ""",Вакансия опубликована 03.05.2023,Адреса нет,полный день,Проектная работа,Проведение занятия для творческого развития детей;,https://enbek.kz/ru/vacancy/prepodavatel-(v-sisteme-doshkolnogo-vospitaniya-i-obucheniya)~3082523,Молодежная практика,
