Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Координатор (менеджер) программ и проектов,Образование и воспитание,от 91 890 тенге,"ИП ""Коркем""",Вакансия опубликована 26.03.2023,Адреса нет,полный день,Проектная работа,"Проведение переговоров, мероприятий, семинаров, тренингов;",https://enbek.kz/ru/vacancy/koordinator-(menedzher)-programm-i-proektov~2996907,Молодежная практика,
Учитель начальных классов,Образование и воспитание,от 103 500 тенге,"ИП ""КУДАЙБЕРГЕНОВ С.Б""",Вакансия опубликована 25.03.2023,Адреса нет,полный день,Проектная работа,Организация учебно-воспитательного процесса;,https://enbek.kz/ru/vacancy/uchitel-nachalnykh-klassov~2996731,Молодежная практика,
Инструктор по лечебной физкультуре,Медицина и фармацевтика,от 103 500 тенге,"ИП ""Коркем""",Вакансия опубликована 24.03.2023,Адреса нет,полный день,Проектная работа,Реализация реабилитационных программ;,https://enbek.kz/ru/vacancy/instruktor-po-lechebnoi-fizkulture~2996482,Первое рабочее место,Медицина
Дефектоскопист,Производство,от 91 890 тенге,"Товарищество с ограниченной ответственностью ""Научно производственная фирма ""Мунайгаз инжиниринг Лтд""",Вакансия опубликована 24.03.2023,Адреса нет,полный день,Проектная работа,Ультразвуковая диагностика;,https://enbek.kz/ru/vacancy/defektoskopist~2994542,Первое рабочее место,Сервисное обслуживание/производство
Историк,Наука и консалтинг,от 103 500 тенге,"Государственное учреждение ""Управление культуры, архивов и документации Актюбинской области""",Вакансия опубликована 16.03.2023,Адреса нет,полный день,Проектная работа,Научно-исследовательская деятельность;,https://enbek.kz/ru/vacancy/istorik~2980804,Молодежная практика,Наука
Экономист,Финансы и бухучет,от 103 500 тенге,"Государственное учреждение ""Управление культуры, архивов и документации Актюбинской области""",Вакансия опубликована 16.03.2023,Адреса нет,полный день,Проектная работа,Контроль финансово-экономической деятельности организации;,https://enbek.kz/ru/vacancy/ekonomist~2980808,Молодежная практика,Финансы
Логопед-дефектолог,Образование и воспитание,от 103 500 тенге,ИП ЖУМАБАЕВА ЛАУРА МУРАТОВНА,Вакансия опубликована 14.03.2023,Адреса нет,полный день,Проектная работа,Оценка психологического состояния учащегося;,https://enbek.kz/ru/vacancy/logoped-defektolog~2984155,Молодежная практика,
Юрист,Юриспруденция,от 103 500 тенге,"Государственное учреждение ""Отдел жилищно-коммунального хозяйства, пассажирского транспорта и автомобильных дорог города Актобе""",Вакансия опубликована 14.03.2023,Адреса нет,полный день,Проектная работа,Рассмотрение жалоб и претензий по спорным вопросам;,https://enbek.kz/ru/vacancy/yurist~2985035,Молодежная практика,Юриспруденция
Ассистент (общий профиль),HR и секретариат,от 103 500 тенге,ИП РУБИН,Вакансия опубликована 14.03.2023,Адреса нет,полный день,Проектная работа,"Прием и доставка (вручение) корреспонденции, уведомлений, извещений;",https://enbek.kz/ru/vacancy/assistent-(obshchii-profil)~2983201,Молодежная практика,Менеджмент
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,ИП РУБИН,Вакансия опубликована 14.03.2023,Адреса нет,полный день,Проектная работа,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/smm-menedzher~2983142,Молодежная практика,Журналистика
Маркетолог,Маркетинг и СМИ,от 103 500 тенге,ИП Сердалы,Вакансия опубликована 14.03.2023,Адреса нет,полный день,Проектная работа,Проведение переговоров и формирование коммерческих документов и соглашений;,https://enbek.kz/ru/vacancy/marketolog~2975442,Молодежная практика,Журналистика
Бухгалтер,Финансы и бухучет,от 103 500 тенге,ИП Сердалы,Вакансия опубликована 14.03.2023,Адреса нет,полный день,Проектная работа,Начисление и перечисление налоговых и других обязательных платежей;,https://enbek.kz/ru/vacancy/bukhgalter~2975443,Молодежная практика,Финансы
Юрист,Юриспруденция,от 103 500 тенге,"Государственное учреждение ""Управление экономики и бюджетного планирования Актюбинской области""",Вакансия опубликована 10.03.2023,Адреса нет,полный день,Проектная работа,Умение выстраивать коммуникацию с физическими и юридическими лицами;,https://enbek.kz/ru/vacancy/yurist~2968717,Молодежная практика,Юриспруденция
Техник-программист,IT и телекоммуникации,от 103 500 тенге,"Государственное учреждение ""Управление экономики и бюджетного планирования Актюбинской области""",Вакансия опубликована 10.03.2023,Адреса нет,полный день,Проектная работа,ТО компьютеров и периферийного оборудования и их эксплуатация;,https://enbek.kz/ru/vacancy/tekhnik-programmist~2968718,Молодежная практика,IT
Финансист,Финансы и бухучет,от 103 500 тенге,"Государственное учреждение ""Управление экономики и бюджетного планирования Актюбинской области""",Вакансия опубликована 10.03.2023,Адреса нет,полный день,Проектная работа,Организация финансово-экономической и производственно-хозяйственной деятельности;,https://enbek.kz/ru/vacancy/finansist~2968719,Молодежная практика,Финансы
Экономист,Финансы и бухучет,от 103 500 тенге,"Государственное учреждение ""Управление экономики и бюджетного планирования Актюбинской области""",Вакансия опубликована 10.03.2023,Адреса нет,полный день,Проектная работа,Бюджетное планирование;,https://enbek.kz/ru/vacancy/ekonomist~2968720,Молодежная практика,Финансы
