Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Логопед,Образование и воспитание,от 103 500 тенге,ИП Салахутдинова Анастасия Анатольевна,Вакансия опубликована 12.04.2023,Адреса нет,полный день,Проектная работа,Выявление причин возникновения дефектов;,https://enbek.kz/ru/vacancy/logoped~3027937,Первое рабочее место,
Помощник юриста,Юриспруденция,от 103 500 тенге,ЧСИ КАРАТАЛОВ,Вакансия опубликована 11.04.2023,Адреса нет,полный день,Проектная работа,подготовка проектов процессуальных и иных документов;,https://enbek.kz/ru/vacancy/pomoshchnik-yurista~3023218,Молодежная практика,Юриспруденция
Швея,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""KAZPROMTEX SERVICE""",Вакансия опубликована 11.04.2023,Адреса нет,полный день,Проектная работа,Работа на швейном оборудовании различного типа;,https://enbek.kz/ru/vacancy/shveya~3023413,Молодежная практика,Сервисное обслуживание/производство
Юрист,Юриспруденция,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Учебный центр Renaissance""",Вакансия опубликована 10.04.2023,Адреса нет,полный день,Проектная работа,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/yurist~3021236,Молодежная практика,Юриспруденция
Швея,Производство,от 103 500 тенге,ИП Айзере,Вакансия опубликована 07.04.2023,Адреса нет,полный день,Проектная работа,Работа на швейном оборудовании различного типа;,https://enbek.kz/ru/vacancy/shveya~3025713,Первое рабочее место,Сервисное обслуживание/производство
Учитель иностранного языка,Образование и воспитание,от 103 500 тенге,Kingdom Education,Вакансия опубликована 07.04.2023,Адреса нет,полный день,Проектная работа,Преподавание предметов на английском языке;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka~3025598,Молодежная практика,
Педагог начальной школы,Образование и воспитание,от 103 500 тенге,Kingdom Education,Вакансия опубликована 07.04.2023,Адреса нет,полный день,Проектная работа,Проведение занятия для творческого развития детей;,https://enbek.kz/ru/vacancy/pedagog-nachalnoi-shkoly~3025599,Молодежная практика,
Бухгалтер-ревизор,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Совместное предприятие ""Юта""",Вакансия опубликована 06.04.2023,Адреса нет,полный день,Проектная работа,Ведение производственного аудита;,https://enbek.kz/ru/vacancy/bukhgalter-revizor~3020921,Молодежная практика,Финансы
Санитарный фельдшер,Медицина и фармацевтика,от 103 500 тенге,ИП МАҒЗИ,Вакансия опубликована 03.04.2023,Адреса нет,полный день,Проектная работа,"Санитарный надзор, организация и проведение противоэпидемических мероприятий;",https://enbek.kz/ru/vacancy/sanitarnyi-feldsher~3014987,Первое рабочее место,Медицина
Слесарь по контрольно-измерительным приборам и автоматике,Производство,от 103 500 тенге,"ИП  ""ЭнБиС- сервис""",Вакансия опубликована 03.04.2023,Адреса нет,полный день,Проектная работа,Диагностика  и наладка работ измерительных приборов и оборудования;,https://enbek.kz/ru/vacancy/slesar-po-kontrolno-izmeritelnym-priboram-i-avtomatike~3012720,Первое рабочее место,Сервисное обслуживание/производство
