Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Учитель казахского языка,132,з/п не указана,ТОО Зерделі,Вакансия опубликована 29 мая 2023 в Астане,Алматы,полный день,Полная занятость,Казахский язык;Умение работать с людьми;Образованность;Толерантность;Коммуникабельность;,https://almaty.hh.kz/vacancy/81210731,,
Ученик ювелира-монтировщика,40,от 120 000 KZT до вычета налогов,ООО Костромской ювелирный завод Каратов,Вакансия опубликована 2 мая 2023 в Астане,Алматы,полный день,Стажировка,Работа в команде;Работа с большим объемом информации;Обучение и развитие;,https://almaty.hh.kz/vacancy/79060975,,
Хостес в Ресторан Del Papa,140,от 150 000 до 150 000 KZT на руки,ТОО AB Restaurants,Вакансия опубликована 2 мая 2023 в Астане,"Астана, проспект Кабанбай батыра, 34",полный день,Полная занятость,Грамотная речь;Пользователь ПК;Работа в команде;Деловое общение;Грамотность;,https://almaty.hh.kz/vacancy/79979870,,
Менеджер по заявкам,71,от 180 000 до 180 000 KZT на руки,ТОО Nurali Tattileri,Вакансия опубликована 29 мая 2023 в Астане,"Астана, улица Динмухамеда Кунаева, 12/1",полный день,Полная занятость,Казахский — A1 — Начальный;Русский — A1 — Начальный;,https://almaty.hh.kz/vacancy/81080013,,Менеджмент
Промоутер (электросамокаты),40,от 160 000 до 170 000 KZT на руки,ТОО Jet Sharing,Вакансия опубликована 29 мая 2023 в Астане,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80846806,,
Помощник юриста,145,от 330 000 KZT на руки,ТОО Правовые Партнеры,Вакансия опубликована 25 мая 2023 в Астане,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80080302,,
Администратор капсульного отеля Флэтс,8,от 140 000 до 150 000 KZT на руки,ТОО Анклав01,Вакансия опубликована 27 мая 2023 в Астане,"Астана, улица Малика Габдуллина, 17/1",полный день,Полная занятость,Пользователь ПК;Грамотная речь;Работа с людьми;Телефонные переговоры;Навыки межличностного общения;Английский язык;Английский — B1 — Средний;Казахский — C1 — Продвинутый;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/81131644,,
Продавец-кассир,8,от 200 000 до 320 000 KZT на руки,ИП Индивидуальные пельмени,Вакансия опубликована 28 мая 2023 в Астане,Астана,полный день,Полная занятость,Казахский — C2 — В совершенстве;Английский — A1 — Начальный;,https://almaty.hh.kz/vacancy/80505076,,
Администратор,8,от 180 000 до 220 000 KZT на руки,ИП Language Training Center,Вакансия опубликована 29 мая 2023 в Астане,"Нур-Султан (Астана), улица Бигельдинова, 6",полный день,Полная занятость,Документооборот;Умение работать в команде;Навыки межличностного общения;Пользователь ПК;Навыки составления отчетности;,https://almaty.hh.kz/vacancy/81256173,,
Мастер по коррекции фигуры,56,от 350 000 до 450 000 KZT до вычета налогов,ИП Винокурова Е.А,Вакансия опубликована 23 мая 2023 в Астане,"Нур-Султан (Астана), улица Малика Габдуллина, 12Б",полный день,Полная занятость,Грамотная речь;Расстановка приоритетов;Умение работать в коллективе;Навыки улаживания конфликтов;Опрятность;Готовность обучаться;Ориентация на клиента;Чистоплотность;Дружелюбность;Продажа услуг;Консультация;Опыт работы с клиентами;,https://almaty.hh.kz/vacancy/69337687,,Медицина
Фасовщица/фасовщик,85,до 150 000 KZT на руки,ТОО JFOOD KAZAKHSTAN,Вакансия опубликована 11 мая 2023 в Астане,"Нур-Султан (Астана), проспект Аль-Фараби, 39",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80299111,,Сервисное обслуживание/производство
Помощник Интернет-Маркетолога,40,от 100 000 до 300 000 KZT до вычета налогов,ТОО BanStroy KZ,Вакансия опубликована 5 мая 2023 в Астане,"Нур-Султан (Астана), улица Иманжусипа Кутпанова, 20",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80145181,,
Менеджер-администратор,8,з/п не указана,Корпоративный фонд University Medical Center,Вакансия опубликована 25 мая 2023 в Астане,"Нур-Султан (Астана), улица Сыганак, 46",полный день,Полная занятость,Организаторские навыки;Работа в команде;Грамотная речь;Управление персоналом;Деловая коммуникация;Английский язык;Административная поддержка руководителя;Руководство коллективом;Исполнение личных поручений руководителя;Административное управление;,https://almaty.hh.kz/vacancy/81011934,,
Помощник бухгалтера,18,от 250 000 до 300 000 KZT на руки,ТОО АМК-Метиз,Вакансия опубликована 12 мая 2023 в Астане,"Алматы, улица Бекмаханова, 96/4",полный день,Полная занятость,Первичная документация;Пользователь ПК;1С: Бухгалтерия;,https://almaty.hh.kz/vacancy/80343708,,Финансы
