Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,Яндекс Крауд,Вакансия опубликована 29 мая 2023 в Атырау,Алматы,удаленная работа,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80298742,,
Mechanical Work Pack Preparator,40,з/п не указана,"Сичим С.п.А Казахстан, Филиал",Вакансия опубликована 29 мая 2023 в Атырау,Алматы,полный день,Полная занятость,MS PowerPoint;Time management;Quality Control;Quality Management;,https://almaty.hh.kz/vacancy/81199485,,
QC Assistant/Welding Inspector (not qualified),40,з/п не указана,ТОО Air Energi Caspian LLP trading as Airswift,Вакансия опубликована 29 мая 2023 в Атырау,Алматы,полный день,Полная занятость,Welder;Welding;Quality Control;English;,https://almaty.hh.kz/vacancy/81203783,,
Электромонтажник/монтажник,143,от 395 000 до 620 000 KZT на руки,ЗАО ЭнергоСтрой,Вакансия опубликована 29 мая 2023 в Атырау,"Екатеринбург, Геологическая, Площадь 1905 года, Чкаловская, улица Начдива Васильева, 3А",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/77752420,,Сервисное обслуживание/производство
Translator (+ admin ),93,з/п не указана,ТОО B.W.Kazakhstan,Вакансия опубликована 24 мая 2023 в Атырау,Алматы,полный день,Полная занятость,"Пользователь ПК;Грамотная речь;Английский язык;Письменный перевод;MS Outlook;Technical Translation;Fluent English;Administrating Skills;Editing;Правильно расставлять приоритеты;Казахский язык;Коммуникабельность, ответственность;",https://almaty.hh.kz/vacancy/80926831,,
Администратор салона красоты,8,от 140 000 до 250 000 KZT на руки,ИП ZMG.KZ,Вакансия опубликована 26 мая 2023 в Атырау,"Атырау, улица Шокана Валиханова, 23А",полный день,Полная занятость,Активные продажи;Управление продажами;Поиск и привлечение клиентов;MS PowerPoint;Пользователь ПК;Работа в команде;Обучение персонала;Телефонные переговоры;Мотивация персонала;Руководство коллективом;Деловая коммуникация;Деловое общение;Прямые продажи;Планирование продаж;Навыки продаж;Подбор персонала;Навыки презентации;Деловая переписка;Составление договоров;Креативность;Исполнение личных поручений руководителя;Организация корпоративных мероприятий;Прием и распределение звонков;Организация работы приемной;1С: Салон красоты;Работа с кассой;Работа с жалобами клиентов;Многозадачность;Деловой этикет;Грамотная речь;,https://almaty.hh.kz/vacancy/81075960,,
Визитный мерчандайзер (подработка),77,до 26 000 KZT на руки,ТОО БТЛ МЫ (Планограмма),Вакансия опубликована 12 мая 2023 в Атырау,Алматы,гибкий график,Частичная занятость,Мерчендайзинг;Мерчандайзинг;Мобильный мерчандайзинг;Работа с магазинами эконом-класса;Работа с федеральными сетями;Блочная выкладка товара;Выкладка товаров;Линейная выкладка товара;Ведение отчетности;Локальные сети;Русский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80335428,,
Мерчендайзер КА,77,до 265 000 KZT на руки,ТОО CONTINEO,Вакансия опубликована 29 мая 2023 в Атырау,Алматы,полный день,Полная занятость,Работа в команде;Деловое общение;Навыки составления отчетности;,https://almaty.hh.kz/vacancy/81093377,,
SMM-менеджер,3,от 80 000 до 100 000 KZT на руки,ТОО PROFF TIME,Вакансия опубликована 10 мая 2023 в Атырау,Алматы,полный день,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80225328,,Менеджмент
Практикант в отдел кадров,40,з/п не указана,ТОО Bolashak Atyrau,Вакансия опубликована 16 мая 2023 в Атырау,Алматы,полный день,Стажировка,E9,https://almaty.hh.kz/vacancy/80479809,,
Рекрутер / менеджер по подбору персонала,118,от 200 000 до 500 000 KZT до вычета налогов,Workle Pro,Вакансия опубликована 25 мая 2023 в Атырау,Алматы,удаленная работа,Частичная занятость,Подбор персонала;Рекрутмент;,https://almaty.hh.kz/vacancy/81024374,,Менеджмент
Администратор ресепшен,8,до 140 000 KZT на руки,ТОО Reikartz Hotel Group (РХМ Казахстан),Вакансия опубликована 28 мая 2023 в Атырау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81036788,,
Администратор,8,от 150 000 до 150 000 KZT до вычета налогов,ИП Flatro,Вакансия опубликована 12 мая 2023 в Атырау,Алматы,сменный график,Полная занятость,Пользователь ПК;Грамотная речь;Английский язык;Работа с клиентами;Прием посетителей;Поиск информации в интернет;исполнение поручений руководителя;Работа в условиях многозадачности;Английский — A2 — Элементарный;,https://almaty.hh.kz/vacancy/79203660,,
Рекрутер / менеджер по подбору персонала,118,от 200 000 до 500 000 KZT до вычета налогов,Workle Pro,Вакансия опубликована 25 мая 2023 в Атырау,Алматы,удаленная работа,Частичная занятость,Подбор персонала;Рекрутмент;,https://almaty.hh.kz/vacancy/81012719,,Менеджмент
Помощник юриста,145,от 35 000 руб. на руки,BY business group,Вакансия опубликована 28 мая 2023 в Атырау,"Атырау, проспект Мухтара Ауэзова, 58",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81188159,,
Кухонный работник,40,от 160 000 до 160 000 KZT на руки,ТОО ЮСС Супорт Сервисез,Вакансия опубликована 3 мая 2023 в Атырау,Жылыойский район,полный день,Полная занятость,Пользователь ПК;Работа в команде;Общественное питание;Управление производством;,https://almaty.hh.kz/vacancy/80019358,,
Тайный покупатель ( подработка ),40,до 70 000 KZT на руки,ООО 4Service Holdings GmbH,Вакансия опубликована 18 мая 2023 в Атырау,Алматы,полный день,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80655765,,
Менеджер по ценообразованию (можно без опыта),40,до 150 000 KZT до вычета налогов,ТОО Идеал Трейд Маркет,Вакансия опубликована 25 мая 2023 в Атырау,Алматы,полный день,Полная занятость,MS PowerPoint;Работа с большим объемом информации;Ценообразование;,https://almaty.hh.kz/vacancy/80413713,,
Администратор офиса,8,от 100 000 до 160 000 KZT до вычета налогов,ИП Алимгалиева Г.Т.,Вакансия опубликована 2 мая 2023 в Атырау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/79966775,,
Специалист по тендерам,119,з/п не указана,ТОО Сервисный центр КазТурбоРемонт,Вакансия опубликована 18 мая 2023 в Атырау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80627628,,Менеджмент
Консультант в Центральное ЦБО,40,з/п не указана,АО Jusan Bank,Вакансия опубликована 23 мая 2023 в Атырау,Алматы,полный день,Полная занятость,Ориентация на клиента;Планирование карьеры;Оценка потребностей клиентов;Творческое мышление;Способность быстро обучаться;Умение работать с клиентами;Способность работать с документами;Умение быстро усваивать новую информацию;,https://almaty.hh.kz/vacancy/79854691,,
Piping engineer,40,з/п не указана,ТОО Tenaz Management,Вакансия опубликована 5 мая 2023 в Атырау,"Атырау, проспект Азаттык, 2",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80132812,,
Директор филиала МО,137,от 250 000 до 350 000 KZT до вычета налогов,ТОО МФО LFTech (ТМ Деньги Маркет),Вакансия опубликована 2 мая 2023 в Атырау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/79987129,,Финансы
"Администратор ресепшен (со знанием английского языка), п. Тенгиз",40,з/п не указана,ТОО Caspian Offshore Construction Realty,Вакансия опубликована 18 мая 2023 в Атырау,Алматы,Вахтовый метод,Полная занятость,E9,https://almaty.hh.kz/vacancy/80657305,,
Хостес,140,от 100 000 KZT до вычета налогов,ТОО Компания CP Hotels Atyrau,Вакансия опубликована 6 мая 2023 в Атырау,"Атырау, улица Сатпаева, 15б",полный день,Полная занятость,Навыки межличностного общения;Грамотность;Стандарты гостеприимства;Английский язык;Работа в команде;,https://almaty.hh.kz/vacancy/78970967,,
Мерчендайзер на канал А в г. Атырау,40,от 170 000 KZT на руки,ТОО RG Brands Kazakhstan,Вакансия опубликована 16 мая 2023 в Атырау,Алматы,полный день,Полная занятость,Мерчандайзинг;Выкладка товаров;,https://almaty.hh.kz/vacancy/80502465,,
Торговый представитель,129,от 300 000 до 350 000 KZT до вычета налогов,ИП Кучменко И.А.,Вакансия опубликована 29 мая 2023 в Атырау,Алматы,полный день,Полная занятость,Работа в команде;Грамотная речь;Способность обучать других;Торговля;Хорошая память;Опрятность;,https://almaty.hh.kz/vacancy/80187125,,
Кредитный менеджер (г. Атырау),40,от 120 000 до 150 000 KZT до вычета налогов,ТОО МФО Экспресс займ,Вакансия опубликована 12 мая 2023 в Атырау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80332366,,
Территориальный агент Beeline,40,от 100 000 до 250 000 KZT на руки,"Beeline, ТМ",Вакансия опубликована 22 мая 2023 в Атырау,Алматы,полный день,Частичная занятость,Поиск и привлечение клиентов;Консультация клиентов;Грамотная речь;,https://almaty.hh.kz/vacancy/76496024,,
Консультант,40,з/п не указана,АО Народный банк Казахстана,Вакансия опубликована 26 мая 2023 в Атырау,Алматы,полный день,Полная занятость,Деловая этика;Навыки работы с возражениями;работа с физическими лицами;Ориентация на результат;Организационные навыки;Грамотная речь;Грамотность;Русский язык;Казахский язык;Высокая энергичность и инициативность;Умение организовывать работу;Умение находить общий язык;,https://almaty.hh.kz/vacancy/78684082,,
Инженер по обслуживанию медицинской техники,111,до 300 000 KZT до вычета налогов,ТОО TeDeCo,Вакансия опубликована 1 мая 2023 в Атырау,"Атырау, микрорайон Нурсая, 73/2",полный день,Полная занятость,Умение работать в команде;Стремление к профессиональному росту;Работа с компьютером;Грамотная устная речь;Русский — C1 — Продвинутый;Казахский — A1 — Начальный;,https://almaty.hh.kz/vacancy/79955966,,Сервисное обслуживание/производство
Ассистент менеджера,40,з/п не указана,АО Народный банк Казахстана,Вакансия опубликована 17 мая 2023 в Атырау,Алматы,полный день,Полная занятость,"Пользователь ПК;Составление договоров;Точность и внимательность к деталям;Деловая переписка;Работа с документами длительного хранения;Высшее образование;Умение работать в условиях многозадачности;Коммуникабельность, ответственность;",https://almaty.hh.kz/vacancy/80587487,,
Эксперт-оценщик,40,от 160 000 до 160 000 KZT на руки,ТОО М-Ломбард,Вакансия опубликована 10 мая 2023 в Атырау,Алматы,полный день,Полная занятость,Работа в команде;Грамотная речь;Обучение персонала;Ориентация на результат;Умение работать в команде;,https://almaty.hh.kz/vacancy/78649652,,
Proposal Administrator,40,з/п не указана,"Сичим С.п.А Казахстан, Филиал",Вакансия опубликована 24 мая 2023 в Атырау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/79408870,,
Администратор торгового зала,8,от 140 000 KZT на руки,ТОО Урал-Кров-Авто Плюс,Вакансия опубликована 15 мая 2023 в Атырау,"Атырау, улица Сырыма Датова, 106",полный день,Полная занятость,Грамотная речь;Работа в команде;CRM;Клиентоориентированность;Грамотность;Активные продажи;Навыки продаж;Деловая коммуникация;Мобильность;Продажи физическим лицам;Ведение клиентской базы;Развитие продаж;Обучение и развитие;Демонстрация автомобилей;Организаторские навыки;,https://almaty.hh.kz/vacancy/78807414,,
Координатор тайных покупателей,40,от 80 000 до 200 000 KZT на руки,ООО 4Service Holdings GmbH,Вакансия опубликована 18 мая 2023 в Атырау,Алматы,удаленная работа,Полная занятость,E9,https://almaty.hh.kz/vacancy/80657167,,
Техничка/уборщик,40,з/п не указана,ТОО ФЕНИКС ИНТЕРНЕШНЛ РЕСОРСИЗ КАСПИАН,Вакансия опубликована 25 мая 2023 в Атырау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81043480,,
Менеджер по закупкам,66,з/п не указана,ТОО Идеал Трейд Маркет,Вакансия опубликована 24 мая 2023 в Атырау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80862457,,Менеджмент
Представитель по обслуживанию торговых аппаратов (подработка),129,з/п не указана,ТОО Торговая Компания Сатурн,Вакансия опубликована 18 мая 2023 в Атырау,Алматы,полный день,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80630132,,
